Election_Type,State_Name,Constituency_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Age,District_Name,PC_Name,PC_No,CandID,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,17,1,2019,4,0,4,1,KULDEEP RAI SHARMA,M,INC,95308,GEN,207296,318471,GEN,,16,65.09,45.98,no,1407,0.68,2.38,GEAN64836,,3482,TRUE,4,INC,3482,ANDAMAN & NICOBAR ISLANDS,TRUE,TRUE,1,FALSE,FALSE,TRUE,,,,,,Graduate Professional,Business,,Social Work,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,17,1,2019,4,0,4,2,VISHAL JOLLY,M,BJP,93901,,207296,318471,GEN,,16,65.09,45.3,no,88560,42.72,2.38,5,,1605,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,Graduate Professional,Liberal Profession or Professional,Lawyer,,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,17,1,2019,4,0,4,3,PARITOSH KUMAR HALDAR,M,IND,5341,,207296,318471,GEN,,16,65.09,2.58,yes,2502,1.21,2.38,10,,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,Post Graduate,Agriculture,,,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,17,1,2019,4,0,4,4,SANJAY MESHACK,M,AAAP,2839,GEN,207296,318471,GEN,,16,65.09,1.37,yes,353,0.17,2.38,GEAN14920,,13,TRUE,2,AAAP,13,ANDAMAN & NICOBAR ISLANDS,TRUE,TRUE,0,FALSE,FALSE,TRUE,,,,,,12th Pass,Business,,Politics,Municipality Member
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,17,1,2019,4,0,4,5,PRAKASH MINJ,M,BSP,2486,,207296,318471,GEN,,16,65.09,1.2,yes,765,0.37,2.38,4,,16651,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,Post Graduate,Social Work,,,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,17,1,2019,4,0,4,6,AYAN MANDAL,M,AITC,1721,,207296,318471,GEN,,16,65.09,0.83,yes,309,0.15,2.38,1,,18228,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,Graduate,Business,,,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,17,1,2019,4,0,4,7,NOTA,,NOTA,1412,,207296,318471,GEN,,16,65.09,0.68,yes,418,0.2,2.38,,,5897,TRUE,,,,,,,,,FALSE,FALSE,,,,,,,,,,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,17,1,2019,4,0,4,8,HENRY,M,IND,994,,207296,318471,GEN,,16,65.09,0.48,yes,80,0.04,2.38,15,,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,10th Pass,Agriculture,,,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,17,1,2019,4,0,4,9,K VENKAT RAM BABU,M,IND,914,,207296,318471,GEN,,16,65.09,0.44,yes,296,0.14,2.38,13,,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,10th Pass,Small Business or Self-employed,Self-employed,,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,17,1,2019,4,0,4,10,MINATI BISWAS,F,IND,618,,207296,318471,GEN,,16,65.09,0.3,yes,143,0.07,2.38,11,,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,8th Pass,Small Business or Self-employed,Self-employed,,
