,Candidate,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,State,Constituency,Year,Candidate_Type,Votes,Valid_Votes,Vote_Share_Percentage,Party_ID
2699,kuldeepraisharma,INC,0,Graduate Professional,52,132233012.0,80450870,1,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,GEN,95308,207296,45.98,3482
695,ayanmandal,AITC,0,Graduate,30,7270440.0,1500000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,,1721,207296,0.83,18228
1102,cgsajikumar,All India Hindustan Congress Party,0,12th Pass,48,120000.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,GEN,212,207296,0.1,662
1259,curasheed,IND,0,12th Pass,34,202808.0,1700000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,,273,207296,0.13,10809
1907,gourchandramajumder,IND,0,Graduate,52,6062000.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,GEN,221,207296,0.11,10809
2068,henry,IND,0,10th Pass,50,56459.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,,994,207296,0.48,10809
2595,kkalimuthu,IND,0,8th Pass,66,5850000.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,,275,207296,0.13,10809
2752,kvenkatrambabu,IND,0,10th Pass,45,352000.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,,914,207296,0.44,10809
3215,minatibiswas,IND,0,8th Pass,51,3198500.0,400000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,SC,23297,1484035,1.57,3482
3813,paritoshkumarhaldar,IND,0,Post Graduate,61,19916000.0,1311000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,,5341,207296,2.58,10809
4024,prakashminj,BSP,0,Post Graduate,43,1250000.0,240000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,,2486,207296,1.2,16651
5014,sanjaymeshack,AAP,0,12th Pass,49,99887782.0,1791076,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,GEN,2839,207296,1.37,13
1210,chintaanuradha,YSRCP,0,Graduate,46,85993362.0,2431407,1,andhra_pradesh,amalapuram,2019,SC,485958,1232895,39.42,8615
2214,jangagoutham,INC,0,Graduate,49,14768500.0,0,0,andhra_pradesh,amalapuram,2019,SC,7887,1232895,0.64,3482
3347,morthasivaramakrishna,Pyramid Party of India,0,Graduate,29,,0,0,andhra_pradesh,amalapuram,2019,SC,1954,1232895,0.16,6298
3423,muralikrishnakanderi,India Praja Bandhu Party,0,Others,41,12796.0,0,0,andhra_pradesh,amalapuram,2019,SC,1804,1232895,0.15,3331
3784,panthagadavijayachakravarthy,RPI(Khobragade),0,Post Graduate,65,550000.0,0,0,andhra_pradesh,amalapuram,2019,SC,1804,1232895,0.15,14880
4781,revusudhakar,IND,0,10th Pass,34,11000.0,0,0,andhra_pradesh,amalapuram,2019,SC,2775,1232895,0.23,10809
