,Candidate,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,State,Constituency,Year,Candidate_Type,Votes,Valid_Votes,Vote_Share_Percentage,Party_ID
1829,manoranjanbhakta,INC,0,Post Graduate,65,5926740.0,272061,1,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004,GEN,85794,153825,55.77,3482
131,akbiswas,BSP,0,Graduate,61,7876500.0,65000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004,GEN,1122,153825,0.73,16651
353,asitbarandutta,IND,0,Graduate,50,3070000.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004,GEN,523,153825,0.34,10809
594,bishnupadaray,BJP,0,Graduate,54,1250619.0,128710,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004,GEN,55294,153825,35.95,1605
794,deepakbiswas,IND,0,Not Given,28,3000.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004,GEN,1186,153825,0.77,10809
993,drshanmugam,LJNSP,0,Doctorate,66,6166416.0,67070,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004,GEN,691,153825,0.45,5029
1147,gourchandramajumder,IND,0,Graduate,37,36200.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004,GEN,543,153825,0.35,10809
1580,kkalimuthu,IND,1,8th Pass,51,472440.0,73878,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004,GEN,387,153825,0.25,10809
1596,kperumal,SWD,0,Literate,65,7752141.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004,GEN,298,153825,0.19,12952
2138,nkpnair,CPI(ML)(L),0,Literate,49,772588.0,188000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004,GEN,1448,153825,0.94,2472
2817,rsumabharathy,NCP,1,Not Given,40,59977.0,35000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004,GEN,2364,153825,1.54,5792
3373,tapankumarbepari,CPM,0,Post Graduate,46,2435276.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004,GEN,4175,153825,2.71,14635
