,Candidate,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,State,Constituency,Year,Candidate_Type,Votes,Valid_Votes,Vote_Share_Percentage,Party_ID
981,bishnupadaray,BJP,1,Graduate,64,5658980.0,175115,1,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,90969,190328,47.8,1605
358,anitamondal,AITC,1,Graduate,48,5471073.0,6000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,2283,190328,1.2,18228
419,apandian,AIFB,0,12th Pass,41,859410.0,350000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,225,190328,0.12,3040
1058,cgsajikumar,IND,0,12th Pass,41,50000.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,334,190328,0.18,10809
2544,kgdas,CPI(M),0,12th Pass,70,4221392.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,1777,190328,0.93,14635
2721,kuldeepraisharma,INC,0,Graduate Professional,46,31594826.0,5034619,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,83157,190328,43.69,3482
3725,nkannan,IND,0,8th Pass,35,32400.0,549313,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,314,190328,0.16,10809
3727,nkpnair,CPI(ML)L,0,10th Pass,59,5287805.0,43642,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,436,190328,0.23,9890
4091,prakashminj,IND,0,Post Graduate,38,308000.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,ST,1587,190328,0.83,10809
4264,raghubirsingh,SP,1,8th Pass,49,1128697.0,20000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,379,190328,0.2,7425
4887,rsumabharatthy,NCP,0,Post Graduate,49,1380999.0,253000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,1151,190328,0.6,5792
5054,sanjaymeshack,AAP,0,10th Pass,43,57497526.0,633088,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,3737,190328,1.96,13
5130,saravanan,IND,0,Graduate,38,236000.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,847,190328,0.45,10809
135,aithabathulajogeswaravenkatabutchimaheswararao,INC,1,Post Graduate,63,12625844.0,2504500,0,andhra_pradesh,amalapuram,2014,SC,12182,1120927,1.09,3482
1735,geddamsampadarao,BSP,1,Graduate Professional,44,1174000.0,100000,0,andhra_pradesh,amalapuram,2014,SC,7219,1120927,0.64,16651
2642,konkivenkatarao,Republican Paksha (Khoripa),0,Others,53,31500.0,5000,0,andhra_pradesh,amalapuram,2014,SC,3233,1120927,0.29,6935
2751,kunchepedasatyanarayana,Pyramid Party of India,0,5th Pass,43,1240000.0,140000,0,andhra_pradesh,amalapuram,2014,SC,4560,1120927,0.41,6298
426,appalarajusadaram,IND,0,Graduate,60,31500.0,0,0,andhra_pradesh,anakapalle,2014,GEN,3228,1148072,0.28,10809
2639,kondarajujampana,Jai Samaikyandhra Party,0,12th Pass,47,4121000.0,0,0,andhra_pradesh,anakapalle,2014,GEN,6261,1148072,0.55,16138
5137,sarisaleelaprasannakumari,Pyramid Party of India,0,8th Pass,0,370000.0,0,0,andhra_pradesh,anakapalle,2014,GEN,2875,1148072,0.25,6298
299,ananthavenkataramireddy,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,57,26301000.0,0,0,andhra_pradesh,anantapur,2014,GEN,548297,1212145,45.23,8615
1009,boyaanilkumar,Jai Samaikyandhra Party,0,8th Pass,26,605000.0,300000,0,andhra_pradesh,anantapur,2014,GEN,2800,1212145,0.23,16138
1781,glalitha,SUCI(C),1,Graduate Professional,51,58683.0,0,0,andhra_pradesh,anantapur,2014,GEN,952,1212145,0.08,8082
3941,pavankumar,Pyramid Party of India,0,Graduate,27,50000.0,0,0,andhra_pradesh,anantapur,2014,GEN,2076,1212145,0.17,6298
5321,shaikmohammadshafi,IND,0,Post Graduate,54,14386694.0,1760200,0,andhra_pradesh,anantapur,2014,GEN,3031,1212145,0.25,10809
2646,kothapalligeetha,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,43,65147467.0,43261606,1,andhra_pradesh,araku,2014,ST,413191,909614,45.42,8615
1873,gummidisandhyarani,TDP,0,Graduate,41,2587354.0,0,0,andhra_pradesh,araku,2014,ST,321793,909614,35.38,8300
2452,kangalabaludora,IND,0,5th Pass,59,650000.0,0,0,andhra_pradesh,araku,2014,ST,23215,909614,2.55,10809
3227,midiyambaburao,CPI(M),0,Graduate Professional,63,2230750.0,0,0,andhra_pradesh,araku,2014,ST,38898,909614,4.28,14635
4973,sallangiratnam,IND,0,Graduate,35,1485000.0,0,0,andhra_pradesh,araku,2014,ST,7688,909614,0.85,10809
2983,malyadrisriram,TDP,0,Post Graduate,60,45359744.0,0,1,andhra_pradesh,bapatla,2014,SC,578145,1184634,48.8,8300
783,bandelanageswararao,IND,0,10th Pass,31,40000.0,0,0,andhra_pradesh,bapatla,2014,SC,668,1184634,0.06,10809
1600,edachennaiah,AAP,0,Others,39,60000.0,50000,0,andhra_pradesh,bapatla,2014,SC,3948,1184634,0.33,13
1663,gaddethyagaraju,IND,0,Graduate,0,1185000.0,100000,0,andhra_pradesh,bapatla,2014,SC,749,1184634,0.06,10809
1798,gogulamudinarasimharao,IND,0,10th Pass,34,1262200.0,733400,0,andhra_pradesh,bapatla,2014,SC,720,1184634,0.06,10809
3511,nakkalaveeranjaneyulu,IND,0,Post Graduate,39,190000.0,0,0,andhra_pradesh,bapatla,2014,SC,615,1184634,0.05,10809
3814,panabakalakshmi,INC,0,Post Graduate,56,65782130.0,1682000,0,andhra_pradesh,bapatla,2014,SC,23072,1184634,1.95,3482
4756,ratnababumamidi,IND,0,Post Graduate,29,95240.0,0,0,andhra_pradesh,bapatla,2014,SC,1206,1184634,0.1,10809
3551,naramallisivaprasad,TDP,0,Graduate Professional,62,14878003.0,0,1,andhra_pradesh,chittoor,2014,SC,594862,1198915,49.62,8300
4031,ppushparaj,Jai Samaikyandhra Party,0,Graduate Professional,57,841732.0,0,0,andhra_pradesh,chittoor,2014,SC,5740,1198915,0.48,16138
5025,sanjappa,IND,0,10th Pass,43,1360000.0,2500000,0,andhra_pradesh,chittoor,2014,SC,4321,1198915,0.36,10809
1202,cvsaradadevi,IND,0,Graduate,53,3120000.0,400000,0,andhra_pradesh,eluru,2014,GEN,2721,1201697,0.23,10809
2333,juluribhaskaraveeravenkataanilkumargupta,IND,1,12th Pass,34,2741859.0,0,0,andhra_pradesh,eluru,2014,GEN,751,1201697,0.06,10809
3471,musunurinageswararao,INC,0,8th Pass,61,17420000.0,0,0,andhra_pradesh,eluru,2014,GEN,11770,1201697,0.98,3482
2238,jayadevgalla,TDP,0,Graduate,48,6830581361.0,202334283,1,andhra_pradesh,guntur,2014,GEN,618417,1244926,49.68,8300
5,abburikoteswararao,Pyramid Party of India,0,10th Pass,49,17620000.0,3800000,0,andhra_pradesh,guntur,2014,GEN,1636,1244926,0.13,6298
37,abdulwaheedshaik,INC,0,10th Pass,44,7654500.0,7000000,0,andhra_pradesh,guntur,2014,GEN,46818,1244926,3.76,3482
473,arudalavenkateswararao,IND,0,5th Pass,41,400000.0,50000,0,andhra_pradesh,guntur,2014,GEN,908,1244926,0.07,10809
734,balashowryvallabhaneni,Yuvajana Sramika Rythu Congress Party,0,Graduate,45,794017805.0,483766785,0,andhra_pradesh,guntur,2014,GEN,549306,1244926,44.12,8615
990,bitravenkatasivannarayana,IND,0,10th Pass,36,7663330.0,712920,0,andhra_pradesh,guntur,2014,GEN,1169,1244926,0.09,10809
1613,emanichandrasekharrao,Navodyam Party,0,Graduate,47,135000.0,0,0,andhra_pradesh,guntur,2014,SC,1455,1244926,0.12,5841
2974,mallelababurao,BSP,0,Post Graduate,60,6413204.0,1062915,0,andhra_pradesh,guntur,2014,SC,4223,1244926,0.34,16651
2975,mallelavenkatarao,Jai Samaikyandhra Party,0,12th Pass,48,6907000.0,1350000,0,andhra_pradesh,guntur,2014,SC,5608,1244926,0.45,16138
2691,kristappanimmala,TDP,2,Graduate,57,40793638.0,998480,1,andhra_pradesh,hindupur,2014,GEN,604291,1177257,51.33,8300
277,amudalasubramanyam,Rayalaseema Parirakshana Samithi,0,Post Graduate,0,745000.0,110000,0,andhra_pradesh,hindupur,2014,GEN,4521,1177257,0.38,16463
428,appireddygarikondareddy,IND,0,12th Pass,41,155000.0,0,0,andhra_pradesh,hindupur,2014,GEN,1257,1177257,0.11,10809
1153,chintasarathkumarreddy,IND,0,Graduate,31,1285000.0,870000,0,andhra_pradesh,hindupur,2014,GEN,1275,1177257,0.11,10809
1577,duddukuntasreedharreddy,Yuvajana Sramika Rythu Congress Party,0,Graduate,43,420913035.0,34291359,0,andhra_pradesh,hindupur,2014,GEN,506966,1177257,43.06,8615
2652,kpeddareddi,IND,3,10th Pass,48,33018797.0,9883924,0,andhra_pradesh,hindupur,2014,GEN,1152,1177257,0.1,10809
1680,gajjalaramasubbareddy,Pyramid Party of India,0,10th Pass,61,535800.0,0,0,andhra_pradesh,kadapa,2014,GEN,1821,1200662,0.15,6298
4950,sajidhussain,AAP,0,12th Pass,50,54632098.0,10840808,0,andhra_pradesh,kadapa,2014,GEN,3401,1200662,0.28,13
446,arjunaraoyegupati,CPI(ML)L,1,5th Pass,57,620000.0,21000,0,andhra_pradesh,kakinada,2014,SC,1495,1099999,0.14,9890
1059,chagantisuryanarayanamurty,IND,0,10th Pass,49,99344.0,0,0,andhra_pradesh,kakinada,2014,GEN,1236,1099999,0.11,10809
1435,donamneelakantam,IND,0,Post Graduate,43,651495.0,65000,0,andhra_pradesh,kakinada,2014,SC,1697,1099999,0.15,10809
1439,donkaleelavathi,IND,0,5th Pass,62,50000.0,0,0,andhra_pradesh,kakinada,2014,GEN,3756,1099999,0.34,10809
2630,kolavenkataprasadvarma,RJD,0,10th Pass,48,1000.0,0,0,andhra_pradesh,kakinada,2014,GEN,3473,1099999,0.32,12103
2752,kuncheramadas,IND,0,Post Graduate,69,202000.0,0,0,andhra_pradesh,kakinada,2014,SC,1122,1099999,0.1,10809
3219,merlabhavanisankaraprasad,IND,0,5th Pass,52,2700000.0,950000,0,andhra_pradesh,kakinada,2014,GEN,910,1099999,0.08,10809
3389,mothasarada,Republican Party of India (Khobragade),0,10th Pass,33,,0,0,andhra_pradesh,kakinada,2014,SC,6836,1099999,0.62,14880
4036,prabhakararaomadiki,IND,0,Post Graduate,45,1350000.0,112550,0,andhra_pradesh,kakinada,2014,SC,496,1099999,0.05,10809
4872,rokkamdayakar,Republican Paksha (Khoripa),1,Post Graduate,45,1500000.0,0,0,andhra_pradesh,kakinada,2014,SC,1837,1099999,0.17,6935
1044,buttarenuka,Yuvajana Sramika Rythu Congress Party,1,10th Pass,42,2426240513.0,312279927,1,andhra_pradesh,kurnool,2014,GEN,472782,1065732,44.36,8615
1258,dchandbasha,IND,0,Post Graduate,37,5717000.0,0,0,andhra_pradesh,kurnool,2014,GEN,2605,1065732,0.24,10809
2641,kondiparthivenkatprasad,RPI,0,Graduate,37,9557285.0,1300000,0,andhra_pradesh,kurnool,2014,GEN,1614,1065732,0.15,6911
2648,kothurusatyanarayanagupta,IND,0,Post Graduate,47,3087000.0,560000,0,andhra_pradesh,kurnool,2014,GEN,2021,1065732,0.19,10809
2650,kotlajayasuryaprakashreddy,INC,0,Graduate,62,48182614.0,3000000,0,andhra_pradesh,kurnool,2014,GEN,116603,1065732,10.94,3482
3731,noorahmedmadani,Socialistic Democratic Party,0,Post Graduate,55,370000.0,0,0,andhra_pradesh,kurnool,2014,GEN,11393,1065732,1.07,12552
2636,konakallanarayanarao,TDP,0,12th Pass,64,34850000.0,9800000,1,andhra_pradesh,machilipatnam,2014,GEN,587280,1141065,51.47,8300
2190,jampanasrinivasagoud,IND,1,10th Pass,48,1372180.0,212000,0,andhra_pradesh,machilipatnam,2014,GEN,931,1141065,0.08,10809
2440,kammilisrinivas,Jai Samaikyandhra Party,0,Graduate Professional,42,499399880.0,22800000,0,andhra_pradesh,machilipatnam,2014,GEN,7692,1141065,0.67,16138
2634,kolusuparthasarathy,Yuvajana Sramika Rythu Congress Party,6,12th Pass,48,59930668.0,3851887,0,andhra_pradesh,machilipatnam,2014,GEN,506223,1141065,44.36,8615
3291,mohammadishaq,IND,0,10th Pass,41,11149954.0,5133921,0,andhra_pradesh,machilipatnam,2014,GEN,1770,1141065,0.16,10809
3853,parasasrinivasarao,IND,1,10th Pass,35,368316.0,140000,0,andhra_pradesh,machilipatnam,2014,GEN,3399,1141065,0.3,10809
1052,byramaiah,INC,0,Post Graduate,48,5279000.0,630000,0,andhra_pradesh,nandyal,2014,GEN,16378,1204956,1.36,3482
3397,mramanareddy,IND,0,8th Pass,50,320000.0,0,0,andhra_pradesh,nandyal,2014,GEN,5400,1204956,0.45,10809
