,Unnamed: 0,Election_Type,State_Name,Assembly_No,Constituency_No,Year,month,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Margin,Margin_Percentage,Party_ID,MyNeta_education
4080,4080,GE,maharashtra,16,13,2014,4.0,1,ahirhansrajgangaram,M,BJP,508049,GEN,1109743,1753690,chandrapur,63.28,45.78,236269,21.29,1605,10th Pass
1811,1811,GE,gujarat,16,12,2014,4.0,2,ahirvikrambhaiarjanbhaimadam,M,INC,309123,GEN,852643,1470952,jamnagar,57.97,36.25,300527,35.25,3482,Graduate
3479,3479,GE,madhya_pradesh,16,6,2014,4.0,2,ahirwardrkamleshverma,M,INC,214248,SC,766321,1528863,tikamgarh,50.12,27.96,166751,21.76,3482,Doctorate
3490,3490,GE,madhya_pradesh,16,6,2014,4.0,13,ahirwarramcharan,M,PHRC,3094,SC,766321,1528863,tikamgarh,50.12,0.4,864,0.11,6098,12th Pass
3481,3481,GE,madhya_pradesh,16,6,2014,4.0,4,ahirwarsewakram,M,BSP,23975,SC,766321,1528863,tikamgarh,50.12,3.13,8781,1.15,16651,12th Pass
2504,2504,GE,jharkhand,16,7,2014,4.0,17,ahmadhussainansari,M,JDP,3120,GEN,1143902,1890021,dhanbad,60.52,0.27,26,0.0,11044,Graduate Professional
4113,4113,GE,maharashtra,16,14,2014,4.0,15,ahmadparveziqbalahmadnurmohammad,M,SP,3262,GEN,1032949,1755292,yavatmal-washim,58.85,0.32,748,0.07,7425,Graduate
198,198,GE,andhra_pradesh,16,12,2014,4.0,22,ahmedansarisyed,M,IND,504,GEN,1195765,1564513,vijayawada,76.43,0.04,81,0.01,10809,
8574,8574,GE,west_bengal,16,12,2014,4.0,4,ahmedrazia,F,INC,74789,GEN,1247914,1476783,krishnanagar,84.5,5.99,67012,5.37,3482,Graduate
8275,8275,GE,uttar_pradesh,16,77,2014,4.0,35,ahmedsohelsiddiqui,M,IND,937,GEN,1030685,1766487,varanasi,58.35,0.09,59,0.01,10809,12th Pass
2228,2228,GE,haryana,16,9,2014,4.0,23,ahshanali,M,IND,455,GEN,1320620,1844906,gurgaon,71.58,0.03,0,0.0,10809,Graduate
5791,5791,GE,tamil_nadu,16,3,2014,4.0,12,airudayadass,M,IND,976,GEN,1071409,1795776,chennai_south,59.66,0.09,111,0.01,10809,Graduate
106,106,GE,andhra_pradesh,16,7,2014,4.0,3,aithabathulajogeswaravenkatabutchimaheswararao,M,INC,12182,SC,1120927,1357865,amalapuram,82.55,1.09,2251,0.2,3482,Graduate Professional
8306,8306,GE,uttar_pradesh,16,79,2014,4.0,8,ajad,M,GGP,6762,GEN,1007627,1720661,mirzapur,58.56,0.67,1975,0.2,3129,Literate
483,483,GE,assam,16,7,2014,4.0,18,ajadali,M,IND,2385,GEN,1511729,1922270,gauhati,78.64,0.16,110,0.01,10809,Others
5795,5795,GE,tamil_nadu,16,3,2014,4.0,16,ajaiganesh,M,LSP,518,GEN,1071409,1795776,chennai_south,59.66,0.05,7,0.0,5107,Graduate
7537,7537,GE,uttar_pradesh,16,36,2014,4.0,2,ajayagrawal,M,BJP,173721,GEN,825136,1594954,rae_bareli,51.73,21.05,110088,13.34,1605,Graduate Professional
313,313,GE,andhra_pradesh,16,21,2014,4.0,3,ajayakumarveena,M,INC,14319,GEN,1200662,1550440,kadapa,77.44,1.19,8261,0.69,3482,Graduate
8005,8005,GE,uttar_pradesh,16,63,2014,4.0,13,ajaydhar,M,IND,4079,GEN,1056078,1743131,maharajganj,60.59,0.39,327,0.03,10809,
8693,8693,GE,west_bengal,16,21,2014,4.0,12,ajayghosh,M,SUCI,2529,GEN,1261296,1555914,diamond_harbour,81.06,0.2,673,0.05,8082,Post Graduate
5404,5404,GE,rajasthan,16,3,2014,4.0,10,ajaykumar,M,IND,2938,GEN,1131104,1753825,churu,64.49,0.26,608,0.05,10809,Post Graduate
7389,7389,GE,uttar_pradesh,16,28,2014,4.0,1,ajaykumar,M,BJP,398578,GEN,1077868,1679466,kheri,64.18,36.98,110274,10.23,1605,Graduate Professional
2550,2550,GE,jharkhand,16,9,2014,4.0,2,ajaykumar,M,JVM,364277,GEN,1049140,1581665,jamshedpur,66.33,34.72,226168,21.56,4736,Post Graduate
641,641,GE,bihar,16,5,2014,4.0,14,ajaykumar,M,IND,5454,GEN,900588,1574914,sitamarhi,57.18,0.61,762,0.08,10809,12th Pass
8658,8658,GE,west_bengal,16,18,2014,4.0,9,ajaykumarbain,M,SUCI,6532,GEN,1273771,1490596,basirhat,85.45,0.51,556,0.04,8082,Graduate
5011,5011,GE,odisha,16,16,2014,4.0,4,ajaykumarbehera,M,CPI,18099,SC,1131932,1499673,jagatsinghpur,75.48,1.6,10475,0.93,2444,Post Graduate
5182,5182,GE,punjab,16,4,2014,4.0,25,ajaykumarbhagat,M,IND,692,SC,1040762,1551497,jalandhar,67.08,0.07,0,0.0,10809,12th Pass
2489,2489,GE,jharkhand,16,7,2014,4.0,2,ajaykumardubey,M,INC,250537,GEN,1143902,1890021,dhanbad,60.52,21.9,140352,12.27,3482,12th Pass
1486,1486,GE,delhi,16,1,2014,4.0,12,ajaykumarkhemka,M,kajp,1643,GEN,981863,1447230,chandni_chowk,67.84,0.17,90,0.01,4746,Graduate
8291,8291,GE,uttar_pradesh,16,78,2014,4.0,8,ajaykumarmaurya,M,PMSP,5808,GEN,981866,1834598,bhadohi,53.52,0.59,987,0.1,11906,Post Graduate
