,Candidate,Party,CriminalCases,Education,Age,Gender,TotalAssets,Liabilities,Winner,State,Constituency,Year,Category,Votes,ValidVotes,VoteSharePercentage,PartyID
345,durgeswardeka,CPM,0,Post Graduate,54,M,33000.0,0,0,assam,barpeta,2009,GEN,36045,901169,4.0,14635
346,golaphussainmazumder,IND,0,Post Graduate,35,M,50000.0,0,0,assam,barpeta,2009,GEN,3760,901169,0.42,10809
347,kandarpalahkar,RVNP,0,Graduate,53,M,6692000.0,1218632,0,assam,barpeta,2009,GEN,3782,901169,0.42,6362
348,mdamirali,RJD,0,Post Graduate,42,M,2711656.0,23000,0,assam,barpeta,2009,GEN,4399,901169,0.49,12103
349,mddilirkhan,MUL,0,Graduate,42,M,50200.0,0,0,assam,barpeta,2009,GEN,1549,901169,0.17,5501
350,muijuddinmahmud,LJP,0,Graduate Professional,52,M,3228904.0,0,0,assam,barpeta,2009,GEN,2258,901169,0.25,5029
351,badruddinajmal,AUDF,0,Literate,54,M,303520991.0,0,1,assam,dhubri,2009,GEN,202062,688546,29.35,988
352,aloksen,SP,0,Graduate,37,M,1199442.0,0,0,assam,dhubri,2009,GEN,9109,1046983,0.87,7425
353,anwarhussain,INC,0,Graduate Professional,62,M,1285167.0,679449,0,assam,dhubri,2009,GEN,356401,1046983,34.04,3482
354,arundas,RWS,0,10th Pass,39,M,59900.0,0,0,assam,dhubri,2009,GEN,81617,1046983,7.8,6394
355,minharalimandal,IND,0,Post Graduate,61,M,1455000.0,0,0,assam,dhubri,2009,GEN,14426,1046983,1.38,10809
356,nurmahammad,IND,0,Graduate Professional,61,M,576834.0,0,0,assam,dhubri,2009,GEN,5929,1046983,0.57,10809
357,shahjahanali,IND,0,Post Graduate,39,M,2839317.0,0,0,assam,dhubri,2009,GEN,5357,1046983,0.51,10809
358,solemanali,IND,0,Graduate,45,M,540879.0,0,0,assam,dhubri,2009,GEN,20328,1046983,1.94,10809
359,francisdhan,IND,0,Post Graduate,40,M,11500.0,0,0,assam,dibrugarh,2009,GEN,5840,750274,0.78,10809
360,imtiazhussain,IND,0,Graduate,31,M,218500.0,0,0,assam,dibrugarh,2009,GEN,3889,750274,0.52,10809
361,lakhicharanswansi,IND,0,Literate,34,M,245000.0,0,0,assam,dibrugarh,2009,GEN,6055,750274,0.81,10809
362,niharikaborpatragohaingogoi,JMM,0,Graduate,30,F,353000.0,0,0,assam,dibrugarh,2009,GEN,3224,750274,0.43,4653
363,simaghosh,IND,0,10th Pass,40,F,63000.0,0,0,assam,dibrugarh,2009,GEN,20816,750274,2.77,10809
364,bijoyachakravarty,BJP,0,Post Graduate,70,F,1870000.0,0,1,assam,gauhati,2009,GEN,496047,1108827,44.74,1605
365,akshayrajkhowa,NCP,0,12th Pass,49,M,3084000.0,1556000,0,assam,gauhati,2009,GEN,11093,1108827,1.0,5792
366,ambubora,RCPI(R),0,Others,79,M,1082947.0,0,0,assam,gauhati,2009,GEN,7788,1108827,0.7,6897
367,amitbarua,IND,0,Not Given,42,M,12696939.0,494815,0,assam,gauhati,2009,GEN,3698,1108827,0.33,10809
368,brijeshroy,IND,0,8th Pass,30,M,366581.0,0,0,assam,gauhati,2009,SC,6109,1108827,0.55,10809
369,captrobinbordoloi,INC,0,Graduate,67,M,10085459.0,630549,0,assam,gauhati,2009,GEN,484192,1108827,43.67,3482
370,deepakkalita,SP,0,Post Graduate,34,M,8262477.0,404727,0,assam,gauhati,2009,GEN,3613,1108827,0.33,7425
371,devakantaramchiary,IND,0,Graduate Professional,46,M,1735171.0,505851,0,assam,gauhati,2009,ST,4590,1108827,0.41,10809
372,kazinekibahmed,IND,0,Not Given,51,M,350000.0,0,0,assam,gauhati,2009,GEN,3839,1108827,0.35,10809
373,rinagayarydas,IND,0,Graduate,41,F,6360000.0,80900,0,assam,gauhati,2009,ST,11083,1108827,1.0,10809
374,sonaborali,AUDF,0,Post Graduate,58,M,3028500.0,0,0,assam,gauhati,2009,GEN,73316,1108827,6.61,988
375,bijoykrishnahandique,INC,0,Post Graduate,77,M,15428123.0,0,1,assam,jorhat,2009,GEN,362320,763455,47.46,3482
376,abinashkishoreborah,RWS,0,10th Pass,30,M,160000.0,268817,0,assam,jorhat,2009,GEN,5631,763455,0.74,6394
377,birennanda,JMM,0,12th Pass,48,M,305000.0,0,0,assam,jorhat,2009,GEN,3437,763455,0.45,4653
