,Unnamed: 0,Unnamed: 0.1,Election_Type,Assembly_No,Constituency_No,Year,month,Position,Candidate,State_Name,Constituency_Name,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Turnout_Percentage,Vote_Share_Percentage,Margin,Margin_Percentage,Party_ID,MyNeta_education
1199,1199,1199,GE,14,5,2004,4.0,6,bashirahmed,delhi,chandni_chowk,M,IND,235,GEN,179007,337462,53.05,0.13,67,0.04,10809,Doctorate
1677,1677,1677,GE,14,5,2004,4.0,13,bashirahmedsheikh,jammu_and_kashmir,udhampur,M,SAP,2122,GEN,608074,1348721,45.09,0.35,264,0.04,7575,
3919,3919,3919,GE,14,16,2004,4.0,9,baskara,tamil_nadu,salem,M,IND,829,GEN,741437,1251141,59.26,0.11,82,0.01,10809,
4006,4006,4006,GE,14,24,2004,4.0,9,baskarans,tamil_nadu,madurai,M,IND,1062,GEN,739680,1344023,55.03,0.14,312,0.04,10809,
3716,3716,3716,GE,14,3,2004,4.0,16,baskarans,tamil_nadu,madras_south,M,IND,555,SC,934548,1949904,47.93,0.06,2,0.0,10809,
5702,5702,5702,GE,14,16,2004,4.0,1,basudebbarman,west_bengal,mathurapur,M,CPM,440862,SC,907785,1113351,81.54,48.56,82028,9.04,14635,Post Graduate
5092,5092,5092,GE,14,53,2004,4.0,4,basudeo,uttar_pradesh,chail,M,AD,18237,SC,555376,1484115,37.42,3.28,420,0.08,954,12th Pass
902,902,902,GE,14,36,2004,4.0,10,basudeohajarika,bihar,bikramganj,M,SAP,2028,GEN,733986,1298849,56.51,0.28,141,0.02,7575,8th Pass
5673,5673,5673,GE,14,12,2004,4.0,5,basudevbachhar,west_bengal,nabadwip,M,IND,11139,SC,1177771,1389486,84.76,0.95,2821,0.24,10809,8th Pass
121,121,121,GE,14,18,2004,4.0,2,bathulavijayabharathi,andhra_pradesh,ongole,F,TDP,340563,GEN,799109,1063995,75.1,42.62,335822,42.02,8300,
3885,3885,3885,GE,14,13,2004,4.0,9,bayasahamedaj,tamil_nadu,dharmapuri,M,IND,3085,GEN,709991,1295521,54.8,0.43,241,0.03,10809,
5716,5716,5716,GE,14,17,2004,4.0,9,bechumondal,west_bengal,diamond_harbour,M,IND,3411,GEN,836540,1102946,75.85,0.41,819,0.1,10809,Post Graduate
2426,2426,2426,GE,14,8,2004,4.0,10,bedprakashpandey,madhya_pradesh,satna,M,IND,2620,GEN,610602,1324818,46.09,0.43,1,0.0,10809,
317,317,317,GE,14,39,2008,,6,bellaiahnayaktejavath,andhra_pradesh,warangal,M,IND,6363,,843434,1247939,67.59,0.75,0,0.0,10809,
311,311,311,GE,14,39,2004,4.0,10,bellaiahtejavath,andhra_pradesh,warangal,M,IND,5594,ST,921872,1215167,75.86,0.61,0,0.0,10809,Not Given
4213,4213,4213,GE,14,39,2004,4.0,1,bellarminav,tamil_nadu,nagercoil,M,CPM,410091,GEN,673555,1110014,60.68,60.88,164294,24.39,14635,Post Graduate
5172,5172,5172,GE,14,59,2004,4.0,7,benchelalkori,uttar_pradesh,ghatampur,M,LP(S),3411,SC,504766,1207492,41.8,0.68,914,0.18,4917,
5046,5046,5046,GE,14,51,2004,4.0,3,benimadhavbind,uttar_pradesh,phulpur,M,BJP,151509,GEN,755222,1409517,53.58,20.06,71121,9.42,1605,Graduate
4648,4648,4648,GE,14,26,2004,4.0,1,beniprasadverma,uttar_pradesh,kaiserganj,M,SP,219920,GEN,569950,1272807,44.78,38.59,12660,2.22,7425,Graduate Professional
2882,2882,2882,GE,14,20,2004,4.0,9,beniwalesalimgangubhai,maharashtra,washim,M,IND,2668,GEN,720723,1151886,62.57,0.37,232,0.03,10809,Literate
4211,4211,4211,GE,14,38,2004,4.0,17,benjamin,tamil_nadu,tiruchendur,M,IND,476,GEN,631008,1031560,61.17,0.08,67,0.01,10809,
2233,2233,2233,GE,14,14,2004,4.0,2,bennybehanan,kerala,idukki,M,INC,284521,GEN,729426,1034338,70.52,39.01,226231,31.01,3482,Graduate
368,368,368,GE,14,2,2004,4.0,7,benubhusonnath,assam,silchar,M,IND,1720,GEN,608233,879243,69.18,0.28,47,0.01,10809,8th Pass
3279,3279,3279,GE,14,19,2004,4.0,5,benudharbehera,odisha,dhenkanal,M,RPI,14642,SC,790367,1174787,67.28,1.85,0,0.0,6911,
985,985,985,GE,14,1,2004,4.0,7,bernadate,chhattisgarh,surguja,F,JMM,5909,ST,676699,1387483,48.77,0.87,218,0.03,4653,
413,413,413,GE,14,7,2004,4.0,9,bhabaniboro,assam,gauhati,F,IND,2554,ST,881775,1441360,61.18,0.29,88,0.01,10809,12th Pass
5934,5934,5934,GE,14,41,2004,4.0,5,bhabotoshmandal,west_bengal,bolpur,M,BSP,6561,SC,770059,1035012,74.4,0.85,1046,0.14,16651,Others
2027,2027,2027,GE,14,13,2004,4.0,7,bhadrappa,karnataka,bangalore_south,M,IND,1755,GEN,800649,1620352,49.41,0.22,0,0.0,10809,Graduate Professional
2078,2078,2078,GE,14,21,2005,,6,bhadreshivappa,karnataka,shimoga,M,IND,8737,,747319,1286181,58.1,1.17,3596,0.48,10809,
1552,1552,1552,GE,14,7,2004,4.0,12,bhagatbalkishansaini,haryana,mahendragarh,M,IND,1439,GEN,849305,1429015,59.43,0.17,531,0.06,10809,Literate
4660,4660,4660,GE,14,27,2004,4.0,2,bhagatrammishra,uttar_pradesh,bahraich,M,BSP,162615,GEN,549537,1423646,38.6,29.59,18835,3.43,16651,Post Graduate
1954,1954,1954,GE,14,2,2004,4.0,7,bhagavanreddyb,karnataka,gulbarga,M,IND,6749,GEN,827894,1439006,57.53,0.82,2481,0.3,10809,Graduate
3515,3515,3515,GE,14,6,2004,4.0,6,bhagchandjain,rajasthan,jaipur,M,IND,1491,GEN,881075,1896856,46.45,0.17,120,0.01,10809,
2559,2559,2559,GE,14,17,2008,,11,bhagcharan,madhya_pradesh,betul,M,IND,3734,,656051,1090804,60.14,0.57,1875,0.29,10809,
4934,4934,4934,GE,14,44,2004,4.0,9,bhagirathi,uttar_pradesh,jaunpur,M,SBS,4303,SC,713014,1515676,47.04,0.6,36,0.01,12540,
3192,3192,3192,GE,14,1,2004,4.0,2,bhagirathimajhi,odisha,mayurbhanj,M,BJP,252557,ST,695997,990544,70.26,36.29,109398,15.72,1605,Graduate
3507,3507,3507,GE,14,5,2004,4.0,5,bhagirathsinghkharratemahan,rajasthan,sikar,M,ABHM,9530,GEN,779471,1476344,52.8,1.22,1458,0.19,268,
3380,3380,3380,GE,14,7,2004,4.0,4,bhagsingh,punjab,ropar,M,SAD(M),27393,SC,790221,1345244,58.74,3.47,12196,1.54,17026,Not Given
2624,2624,2624,GE,14,24,2004,4.0,5,bhagwanbadole,madhya_pradesh,khargone,M,BSP,11594,SC,652254,1287299,50.67,1.78,3312,0.51,16651,Post Graduate
4729,4729,4729,GE,14,32,2004,4.0,7,bhagwandas,uttar_pradesh,khalilabad,M,IND,4025,SC,700715,1397045,50.16,0.57,1135,0.16,10809,
216,216,216,GE,14,30,2004,4.0,9,bhagwandas,andhra_pradesh,hyderabad,M,IND,3189,GEN,986737,1770725,55.73,0.32,228,0.02,10809,Others
503,503,503,GE,14,3,2004,4.0,9,bhagwanlalsah,bihar,motihari,M,IND,1634,GEN,679090,1221716,55.58,0.24,140,0.02,10809,Literate
569,569,569,GE,14,10,2004,4.0,2,bhagwanlalsahani,bihar,muzaffarpur,M,RJD,360434,GEN,784096,1237345,63.37,45.97,345539,44.07,12103,Doctorate
4309,4309,4309,GE,14,5,2004,4.0,9,bhagwansahay,uttar_pradesh,sambhal,M,RSBP,1952,GEN,759384,1249017,60.8,0.26,196,0.03,12378,
5350,5350,5350,GE,14,71,2004,4.0,5,bhagwansahaydhangar,uttar_pradesh,hathras,M,INLD,5979,SC,492135,1212983,40.57,1.21,2025,0.41,3863,
3433,3433,3433,GE,14,11,2004,4.0,6,bhagwantsinghsamaon,punjab,bhatinda,M,CPI(ML)(L),7505,SC,763195,1285978,59.35,0.98,816,0.11,2472,Others
1006,1006,1006,GE,14,3,2004,4.0,15,bhagwatiprasadshuklaguruji,chhattisgarh,janjgir,M,BPSGKD,1689,GEN,717698,1374418,52.22,0.24,195,0.03,9465,Not Given
5009,5009,5009,GE,14,49,2007,,1,bhailal,uttar_pradesh,robertsganj,M,BSP,219601,,769641,1579700,48.72,28.53,339,0.04,16651,
2498,2498,2498,GE,14,14,2004,4.0,8,bhairakeshpramukhdhaiaksharsonkar,madhya_pradesh,jabalpur,M,IND,2858,SC,571395,1347885,42.39,0.5,140,0.02,10809,
5113,5113,5113,GE,14,55,2004,4.0,3,bhairoprasadmisra,uttar_pradesh,banda,M,BJP,122405,GEN,526335,1283915,40.99,23.26,83523,15.87,1605,12th Pass
3533,3533,3533,GE,14,8,2004,4.0,3,bhaishreenathgurjar,rajasthan,alwar,M,BSP,21247,GEN,542876,1262622,43.0,3.91,4620,0.85,16651,12th Pass
2566,2566,2566,GE,14,18,2004,4.0,6,bhaisunil,madhya_pradesh,hoshangabad,M,SWJP,8289,GEN,634343,1287203,49.28,1.31,938,0.15,12954,
3277,3277,3277,GE,14,19,2004,4.0,3,bhajamanbehera,odisha,dhenkanal,M,SP,32679,SC,790367,1174787,67.28,4.13,13829,1.75,7425,12th Pass
3249,3249,3249,GE,14,14,2004,4.0,2,bhaktacharandas,odisha,kalahandi,M,INC,322957,SC,754128,1132680,66.58,42.83,284588,37.74,3482,Graduate Professional
5836,5836,5836,GE,14,30,2004,4.0,8,bhaktiadhikary,west_bengal,tamluk,M,IND,3652,GEN,1035269,1185781,87.31,0.35,0,0.0,10809,Post Graduate
4738,4738,4738,GE,14,32,2008,,2,bhalchandrayadav,uttar_pradesh,khalilabad,M,SP,153761,GEN,582383,1470017,39.62,26.4,59196,10.16,7425,
4723,4723,4723,GE,14,32,2004,4.0,1,bhalchandrayadava,uttar_pradesh,khalilabad,M,BSP,234712,GEN,700715,1397045,50.16,33.5,27023,3.86,16651,Graduate
1566,1566,1566,GE,14,8,2004,4.0,12,bhalsingh,haryana,bhiwani,M,IND,1826,GEN,871144,1192271,73.07,0.21,352,0.04,10809,10th Pass
3648,3648,3648,GE,14,25,2004,4.0,7,bhanuprakash,rajasthan,nagaur,M,IND,3620,GEN,631471,1436070,43.97,0.57,0,0.0,10809,
2075,2075,2075,GE,14,21,2005,,3,bhanuprakash,karnataka,shimoga,M,BJP,148640,,747319,1286181,58.1,19.89,94062,12.59,1605,
5155,5155,5155,GE,14,58,2004,4.0,1,bhanupratapsinghverma,uttar_pradesh,jalaun,M,BJP,195228,SC,579777,1310156,44.25,33.67,26791,4.62,1605,Post Graduate
3642,3642,3642,GE,14,25,2004,4.0,1,bhanwarsinghdangawas,rajasthan,nagaur,M,BJP,284657,GEN,631471,1436070,43.97,45.08,70627,11.18,1605,12th Pass
3645,3645,3645,GE,14,25,2004,4.0,4,bhanwarsinghrathore,rajasthan,nagaur,M,IND,9888,GEN,631471,1436070,43.97,1.57,2211,0.35,10809,Not Given
36,36,36,GE,14,4,2004,4.0,4,bharanikanaramarao,andhra_pradesh,visakhapatnam,M,IND,11002,GEN,965740,1515574,63.72,1.14,5317,0.55,10809,
5197,5197,5197,GE,14,60,2007,,10,bharat,uttar_pradesh,bilhour,M,IND,2728,,669608,1410763,47.46,0.41,507,0.08,10809,
1142,1142,1142,GE,14,3,2004,4.0,3,bharatbhushannagar,delhi,outer_delhi,M,BSP,33495,GEN,1553849,3368399,46.13,2.16,29443,1.89,16651,12th Pass
1067,1067,1067,GE,14,10,2004,4.0,5,bharatbhushanpandey,chhattisgarh,durg,M,IND,8078,GEN,761815,1462883,52.08,1.06,4616,0.61,10809,12th Pass
5806,5806,5806,GE,14,25,2004,4.0,7,bharatchandramanna,west_bengal,uluberia,M,IND,4030,SC,851546,1129673,75.38,0.47,372,0.04,10809,Post Graduate
792,792,792,GE,14,28,2004,4.0,4,bharatkumaryadav,bihar,khagaria,M,KVSP,20969,GEN,676017,1196971,56.48,3.1,4831,0.71,11405,Graduate
2536,2536,2536,GE,14,16,2004,4.0,23,bharatlaldehariya,madhya_pradesh,chhindwara,M,IND,1552,SC,754637,1145107,65.9,0.21,54,0.01,10809,
2750,2750,2750,GE,14,8,2005,,5,bharatlalmohanlalbhatia,maharashtra,mumbainorthwest,M,IND,1392,,537317,1638808,32.79,0.26,520,0.1,10809,
4854,4854,4854,GE,14,40,2004,4.0,4,bharatlalrahikushwaha,uttar_pradesh,ghosi,M,BJP,53984,GEN,721582,1427284,50.56,7.48,1912,0.26,1605,Not Given
1752,1752,1752,GE,14,4,2004,4.0,12,bharatprasadsingh,jharkhand,chatra,M,IND,1710,GEN,435504,978364,44.51,0.39,214,0.05,10809,
3465,3465,3465,GE,14,1,2004,4.0,2,bharatram,rajasthan,ganganagar,M,INC,324082,SC,722938,1337857,54.04,44.83,298938,41.35,3482,Graduate
5224,5224,5224,GE,14,62,2004,4.0,9,bharatsingh,uttar_pradesh,etawah,M,RSMD,1312,GEN,703946,1264620,55.66,0.19,73,0.01,6825,
3580,3580,3580,GE,14,14,2004,4.0,8,bharatsingh,rajasthan,kota,M,ABRAHP,2801,GEN,580105,1327073,43.71,0.48,0,0.0,8751,
5571,5571,5571,GE,14,1,2004,4.0,5,bharatsinghasarkar,west_bengal,cooch_behar,M,IND,17393,SC,952563,1148934,82.91,1.83,6372,0.67,10809,12th Pass
1499,1499,1499,GE,14,5,2004,4.0,12,bharpur,haryana,rohtak,M,RLD,1849,GEN,662049,1055610,62.72,0.28,558,0.08,12169,Post Graduate
3212,3212,3212,GE,14,6,2004,4.0,1,bhartruharimahtab,odisha,cuttack,M,BJD,496750,GEN,820302,1236228,66.36,60.56,173198,21.11,9079,Post Graduate
4002,4002,4002,GE,14,24,2004,4.0,5,bhaskaranpon,tamil_nadu,madurai,M,IND,5514,GEN,739680,1344023,55.03,0.75,36,0.0,10809,
5879,5879,5879,GE,14,35,2004,4.0,3,bhaskarchandrabhadra,west_bengal,bankura,M,IND,23553,GEN,695487,1020046,68.18,3.39,2247,0.32,10809,12th Pass
2814,2814,2814,GE,14,12,2004,4.0,9,bhaskarganpatsirsat,maharashtra,nashik,M,IND,2342,GEN,656525,1522672,43.12,0.36,0,0.0,10809,10th Pass
1270,1270,1270,GE,14,2,2004,4.0,5,bhattsunilsanatbhai,gujarat,surendranagar,M,SP,6821,GEN,455554,1109656,41.05,1.5,2806,0.62,7425,
4136,4136,4136,GE,14,34,2004,4.0,1,bhavanirajenthiranmsk,tamil_nadu,ramanathapuram,F,DMK,335287,GEN,674387,1147726,58.76,49.72,109950,16.3,10192,Post Graduate
5551,5551,5551,GE,14,4,2004,4.0,9,bhawansinghbisht,uttarakhand,nainital,M,IND,2336,GEN,616628,1261688,48.87,0.38,44,0.01,10809,10th Pass
3683,3683,3683,GE,14,2,2004,4.0,6,bheemaraobr,tamil_nadu,madras_central,M,IND,1101,SC,512820,1045260,49.06,0.21,243,0.05,10809,
4842,4842,4842,GE,14,39,2008,,8,bheemrajbhar,uttar_pradesh,balia,M,RLD,4257,,541614,1521916,35.59,0.79,2522,0.47,12169,
3593,3593,3593,GE,14,17,2004,4.0,2,bherulalmeena,rajasthan,salumber,M,INC,256885,ST,629834,1279337,49.23,40.79,224652,35.67,3482,10th Pass
2819,2819,2819,GE,14,13,2004,4.0,5,bhikaharisinghbarde,maharashtra,malegaon,M,IND,14426,ST,590772,1222363,48.33,2.44,2446,0.41,10809,5th Pass
580,580,580,GE,14,10,2004,4.0,13,bhikhariram,bihar,muzaffarpur,M,IND,1361,SC,784096,1237345,63.37,0.17,75,0.01,10809,Not Given
1184,1184,1184,GE,14,4,2004,4.0,17,bhimawel,delhi,east_delhi,M,PSJP,719,GEN,1190814,2606589,45.68,0.06,47,0.0,16964,12th Pass
5589,5589,5589,GE,14,3,2004,4.0,8,bhimchandraroy,west_bengal,jalpaiguri,M,IND,13527,SC,890105,1104784,80.57,1.52,6249,0.7,10809,Graduate
2752,2752,2752,GE,14,8,2005,,7,bhimraodagdulawate,maharashtra,mumbainorthwest,M,RSPS,770,,537317,1638808,32.79,0.14,21,0.0,6792,
2839,2839,2839,GE,14,16,2007,,5,bhimraoparbatmarathe,maharashtra,erandol,M,IND,2499,GEN,441786,1261916,35.01,0.57,0,0.0,10809,
2859,2859,2859,GE,14,18,2004,4.0,3,bhimraosenujadhao,maharashtra,buldhana,M,BBM,21197,SC,761264,1196627,63.62,2.78,2956,0.39,1875,Graduate
1490,1490,1490,GE,14,5,2004,4.0,3,bhimsingh,haryana,rohtak,M,INLD,105640,GEN,662049,1055610,62.72,15.96,81412,12.3,3863,Graduate
4250,4250,4250,GE,14,1,2004,4.0,15,bhishanparsad,uttar_pradesh,bijnor,M,BRPP,2314,SC,705737,1355437,52.07,0.33,1342,0.19,1800,
4724,4724,4724,GE,14,32,2004,4.0,2,bhishmashankartiwarialiaskushaltiwari,uttar_pradesh,khalilabad,M,SP,207689,GEN,700715,1397045,50.16,29.64,30272,4.32,7425,12th Pass
4737,4737,4737,GE,14,32,2008,,1,bhishmashankeraliaskushaltiwari,uttar_pradesh,khalilabad,M,BSP,218393,GEN,582383,1470017,39.62,37.5,64632,11.1,16651,
1280,1280,1280,GE,14,3,2004,4.0,6,bhokalkasamabubhai,gujarat,jamnagar,M,IND,3739,GEN,433441,1072175,40.43,0.86,2014,0.46,10809,
4810,4810,4810,GE,14,38,2004,4.0,6,bhola,uttar_pradesh,salempur,M,IND,9067,GEN,669623,1484606,45.1,1.35,3027,0.45,10809,
4806,4806,4806,GE,14,38,2004,4.0,2,bholapandey,uttar_pradesh,salempur,M,INC,179317,GEN,669623,1484606,45.1,26.78,47304,7.06,3482,Doctorate
1916,1916,1916,GE,14,13,2007,,12,bholaram,jharkhand,palamu,M,IND,3604,SC,676950,1366537,49.54,0.53,913,0.13,10809,
1902,1902,1902,GE,14,13,2004,4.0,12,bholaram,jharkhand,palamau,M,IND,4233,SC,641543,1289313,49.76,0.66,72,0.01,10809,
939,939,939,GE,14,39,2004,4.0,4,bholaram,bihar,nawada,M,BSP,16359,SC,1010037,1505472,67.09,1.62,12607,1.25,16651,Not Given
505,505,505,GE,14,3,2004,4.0,11,bholasah,bihar,motihari,M,IND,1292,GEN,679090,1221716,55.58,0.19,0,0.0,10809,10th Pass
1244,1244,1244,GE,14,1,2004,4.0,7,bhonsledhumarajaram,goa,panaji,M,IND,1426,GEN,254819,425663,59.86,0.56,0,0.0,10809,Post Graduate
4720,4720,4720,GE,14,31,2004,4.0,10,bhoopnaryanurfshambhoosingh,uttar_pradesh,domariaganj,M,IND,3560,GEN,643129,1350045,47.64,0.55,29,0.0,10809,
3098,3098,3098,GE,14,41,2004,4.0,5,bhosalelaxmandharmaji,maharashtra,khed,M,BBM,5274,SC,732045,1319319,55.49,0.72,1966,0.27,1875,
2947,2947,2947,GE,14,25,2004,4.0,10,bhoyarvinodnarendra,maharashtra,chimur,M,IND,6134,SC,775523,1113832,69.63,0.79,488,0.06,10809,Graduate
407,407,407,GE,14,7,2004,4.0,3,bhrigukumarphukan,assam,gauhati,M,AGP,180856,GEN,881775,1441360,61.18,20.51,165923,18.82,978,Post Graduate
4846,4846,4846,GE,14,39,2008,,12,bhrigunathpandey,uttar_pradesh,balia,M,IND,1193,,541614,1521916,35.59,0.22,65,0.01,10809,
414,414,414,GE,14,7,2004,4.0,10,bhubaneswarbarman,assam,gauhati,M,SP,2466,GEN,881775,1441360,61.18,0.28,167,0.02,7425,8th Pass
1920,1920,1920,GE,14,14,2004,4.0,1,bhubneshwarprasadmehta,jharkhand,hazaribagh,M,CPI,356058,GEN,705439,1180058,59.78,50.47,105328,14.93,2444,12th Pass
190,190,190,GE,14,27,2004,4.0,2,bhumashobhanagireddy,andhra_pradesh,nandyal,F,TDP,346847,GEN,829976,1182240,70.2,41.79,339185,40.87,8300,12th Pass
1773,1773,1773,GE,14,5,2006,,7,bhuneshwarmahto,jharkhand,koderma,M,IND,13309,,757784,1349091,56.17,1.76,4548,0.6,10809,
1885,1885,1885,GE,14,12,2004,4.0,8,bhuneswarlohra,jharkhand,lohardaga,M,IND,4861,ST,466464,906666,51.45,1.04,873,0.19,10809,
2468,2468,2468,GE,14,11,2004,4.0,6,bhupaldaskuldeep,madhya_pradesh,shahdol,M,CPI,17346,ST,509340,1305252,39.02,3.41,477,0.09,2444,
433,433,433,GE,14,10,2004,4.0,5,bhupenchandramudoi,assam,nowgong,M,RPI,10599,GEN,786069,1149244,68.4,1.35,4983,0.63,6911,12th Pass
1443,1443,1443,GE,14,2,2004,4.0,11,bhupendersingh,haryana,kurukshetra,M,IND,2169,GEN,850858,1161933,73.23,0.25,546,0.06,10809,Graduate
5279,5279,5279,GE,14,65,2004,,11,bhupendra,uttar_pradesh,mainpuri,,IND,415,,557114,1211411,45.99,0.07,6,0.0,10809,
5008,5008,5008,GE,14,49,2004,4.0,14,bhupendra,uttar_pradesh,robertsganj,M,VP,2511,SC,724824,1661132,43.63,0.35,0,0.0,13060,
420,420,420,GE,14,8,2004,4.0,4,bhupendranathkakati,assam,mangaldoi,M,IND,15046,GEN,848938,1209839,70.17,1.77,4183,0.49,10809,Post Graduate
1882,1882,1882,GE,14,12,2004,4.0,5,bhupendranathram,jharkhand,lohardaga,M,BSP,7122,ST,466464,906666,51.45,1.53,593,0.13,16651,
406,406,406,GE,14,7,2004,4.0,2,bhupenhazarika,assam,gauhati,M,BJP,292099,SC,881775,1441360,61.18,33.13,111243,12.62,1605,Doctorate
1064,1064,1064,GE,14,10,2004,4.0,2,bhupeshbaghel,chhattisgarh,durg,M,INC,321289,GEN,761815,1462883,52.08,42.17,303354,39.82,3482,Post Graduate
977,977,977,GE,14,1,2004,4.0,16,bhupinderpal,chandigarh,chandigarh,M,IND,188,GEN,268670,527684,50.91,0.07,19,0.01,10809,12th Pass
1488,1488,1488,GE,14,5,2004,4.0,1,bhupindersingh,haryana,rohtak,M,INC,324235,GEN,662049,1055610,62.72,48.97,150435,22.72,3482,Graduate Professional
5785,5785,5785,GE,14,23,2004,4.0,11,bhusanmondal,west_bengal,calcutta_south,M,IND,1533,SC,772742,1096709,70.46,0.2,0,0.0,10809,8th Pass
1294,1294,1294,GE,14,5,2004,4.0,5,bhutiyakeshavbhaiaebhabhai,gujarat,porbandar,M,BSP,7300,GEN,490480,995027,49.29,1.49,3023,0.62,16651,
4310,4310,4310,GE,14,5,2004,4.0,10,bhuvnesh,uttar_pradesh,sambhal,M,IND,1756,GEN,759384,1249017,60.8,0.23,13,0.0,10809,
5548,5548,5548,GE,14,4,2004,4.0,6,bhuwanchandrajoshi,uttarakhand,nainital,M,UKKD,5273,GEN,616628,1261688,48.87,0.86,1767,0.29,13023,Graduate Professional
3256,3256,3256,GE,14,15,2004,4.0,5,bidyadharurma,odisha,phulbani,M,BSP,17187,SC,787293,1183731,66.51,2.18,325,0.04,16651,
5815,5815,5815,GE,14,26,2004,4.0,8,bidyutraut,west_bengal,serampore,M,IND,3021,GEN,946248,1285398,73.62,0.32,176,0.02,10809,Graduate
3234,3234,3234,GE,14,10,2004,4.0,3,bijayakumarmohapatro,odisha,aska,M,RSP,19250,GEN,680381,1254942,54.22,2.83,2854,0.42,12053,
3208,3208,3208,GE,14,4,2004,4.0,4,bijaykumarmallik,odisha,jajpur,M,BMVP,10303,SC,876208,1278758,68.52,1.18,0,0.0,9439,10th Pass
5357,5357,5357,GE,14,72,2004,4.0,1,bijendrasingh,uttar_pradesh,aligarh,M,INC,167142,GEN,633685,1341254,47.25,26.38,2791,0.44,3482,Graduate
5338,5338,5338,GE,14,70,2004,4.0,9,bijendrasingh,uttar_pradesh,mathura,M,IND,1659,GEN,602187,1277346,47.14,0.28,480,0.08,10809,
5935,5935,5935,GE,14,41,2004,4.0,6,bijoydolui,west_bengal,bolpur,M,IND,5515,SC,770059,1035012,74.4,0.72,0,0.0,10809,Post Graduate
446,446,446,GE,14,12,2004,4.0,1,bijoykrishnahandique,assam,jorhat,M,INC,223624,GEN,666835,1078149,61.85,33.54,51292,7.69,3482,Post Graduate
466,466,466,GE,14,14,2004,4.0,8,bijunarah,assam,lakhimpur,M,IND,4456,ST,800020,1126632,71.01,0.56,1508,0.19,10809,Graduate
5898,5898,5898,GE,14,38,2004,4.0,1,bikashchowdhury,west_bengal,asansol,M,CPM,369832,GEN,725198,1092141,66.4,51.0,124318,17.14,14635,Not Given
441,441,441,GE,14,11,2004,4.0,7,bikashtanti,assam,kaliabor,M,IND,10012,GEN,763083,1153483,66.15,1.31,2420,0.32,10809,Post Graduate
1849,1849,1849,GE,14,9,2007,,3,bikasmukharjee,jharkhand,jamshedpur,M,JVM(P),37443,,641038,1396230,45.91,5.84,7464,1.16,4736,
3248,3248,3248,GE,14,14,2004,4.0,1,bikramkesharideo,odisha,kalahandi,M,BJP,357079,GEN,754128,1132680,66.58,47.35,34122,4.52,1605,Graduate
3211,3211,3211,GE,14,5,2004,4.0,3,bikramkeshariroutray,odisha,kendrapara,M,IND,16556,GEN,836265,1186834,70.46,1.98,0,0.0,10809,12th Pass
5598,5598,5598,GE,14,4,2004,4.0,7,bimaldutta,west_bengal,darjeeling,M,BSP,10758,GEN,888083,1249238,71.09,1.21,2063,0.23,16651,10th Pass
3216,3216,3216,GE,14,7,2004,4.0,3,bimalenduswain,odisha,jagatsinghpur,M,IND,29404,GEN,926511,1301496,71.19,3.17,15612,1.69,10809,12th Pass
5794,5794,5794,GE,14,24,2004,4.0,9,bimalmondal,west_bengal,howrah,M,IND,2313,SC,911632,1240427,73.49,0.25,300,0.03,10809,12th Pass
2307,2307,2307,GE,14,20,2005,,9,bimamudeen,kerala,thiruvananthapuram,M,IND,764,,759237,1114280,68.14,0.1,283,0.04,10809,
5668,5668,5668,GE,14,11,2004,4.0,9,bimanbiswas,west_bengal,krishnagar,M,CPI(ML)(L),7515,GEN,930294,1117441,83.25,0.81,0,0.0,2472,12th Pass
1506,1506,1506,GE,14,5,2004,4.0,19,bimla,haryana,rohtak,F,BRPP,585,GEN,662049,1055610,62.72,0.09,119,0.02,1800,Graduate
1523,1523,1523,GE,14,5,2005,,12,bimla,haryana,rohtak(pc),F,BRP,331,GEN,531022,1065980,49.82,0.06,77,0.01,1800,
3393,3393,3393,GE,14,8,2004,4.0,9,binderkaur,punjab,patiala,F,IND,2535,SC,874131,1427103,61.25,0.29,611,0.07,10809,
1755,1755,1755,GE,14,4,2004,4.0,15,bindhyachalsingh,jharkhand,chatra,M,IND,1435,GEN,435504,978364,44.51,0.33,215,0.05,10809,
2545,2545,2545,GE,14,17,2004,4.0,5,bindiyadashryamkar,madhya_pradesh,betul,F,BSP,13922,ST,547702,1122830,48.78,2.54,2554,0.47,16651,Others
1753,1753,1753,GE,14,4,2004,4.0,13,binodbihari,jharkhand,chatra,M,IND,1496,SC,435504,978364,44.51,0.34,35,0.01,10809,
439,439,439,GE,14,11,2004,4.0,5,binodgogoi,assam,kaliabor,M,IND,20280,GEN,763083,1153483,66.15,2.66,1314,0.17,10809,Graduate
751,751,751,GE,14,25,2004,4.0,11,binodkumarthakur,bihar,katihar,M,IND,1997,GEN,704449,1158042,60.83,0.28,92,0.01,10809,Graduate
5614,5614,5614,GE,14,6,2004,4.0,4,binoymallick,west_bengal,balurghat,M,IND,19574,SC,925631,1129369,81.96,2.11,2344,0.25,10809,Post Graduate
5760,5760,5760,GE,14,21,2004,4.0,10,biplabmukherjee,west_bengal,calcutta_north_west,M,IND,1079,GEN,360117,609204,59.11,0.3,110,0.03,10809,
3650,3650,3650,GE,14,1,2004,4.0,2,birajadhikari,sikkim,sikkim,M,INC,60258,GEN,219648,281937,77.91,27.43,57042,25.97,3482,Graduate Professional
