,Unnamed: 0,Unnamed: 0.1,Election_Type,Assembly_No,Constituency_No,Year,month,Position,Candidate,State_Name,Constituency_Name,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Turnout_Percentage,Vote_Share_Percentage,Margin,Margin_Percentage,Party_ID,MyNeta_education
4226,4226,4226,GE,14,1,2004,4.0,3,amalmallik,tripura,tripura_west,M,AITC,67379,GEN,701159,1041596,67.32,9.61,56592,8.07,18228,
1424,1424,1424,GE,14,1,2004,4.0,5,amankumarnagra,haryana,ambala,M,HVP,22039,SC,847725,1199338,70.68,2.6,8747,1.03,10391,Literate
4784,4784,4784,GE,14,35,2004,4.0,10,amarjeet,uttar_pradesh,maharajganj,M,IND,3174,SC,746622,1311205,56.94,0.43,0,0.0,10809,
1144,1144,1144,GE,14,3,2004,4.0,5,amarjeetkaur,delhi,outer_delhi,F,IND,3772,GEN,1553849,3368399,46.13,0.24,35,0.0,10809,Not Given
5460,5460,5460,GE,14,79,2004,4.0,3,amarkantrana,uttar_pradesh,kairana,M,BJP,75851,GEN,816726,1220829,66.9,9.29,63340,7.76,1605,Post Graduate
4616,4616,4616,GE,14,23,2004,,12,amarnath,uttar_pradesh,akbarpur,,IND,1718,,798549,1451662,55.01,0.22,65,0.01,10809,
1670,1670,1670,GE,14,5,2004,4.0,6,amarnath,jammu_and_kashmir,udhampur,M,IJP,5031,SC,608074,1348721,45.09,0.83,1063,0.17,3430,
5086,5086,5086,GE,14,52,2004,4.0,17,amarnath,uttar_pradesh,allahabad,M,IND,1199,SC,656498,1558094,42.13,0.18,100,0.02,10809,
518,518,518,GE,14,5,2004,4.0,3,amarnathyadav,bihar,siwan,M,CPI(ML)(L),72225,GEN,637549,1054441,60.46,11.33,63226,9.92,2472,Illiterate
4510,4510,4510,GE,14,18,2004,4.0,8,amarpal,uttar_pradesh,unnao,M,IJP,2543,SC,547566,1303203,42.02,0.46,179,0.03,3430,
5301,5301,5301,GE,14,67,2004,4.0,6,amarpalsingh,uttar_pradesh,etah,M,RJD,2029,GEN,587118,1128519,52.03,0.35,979,0.17,12103,
5444,5444,5444,GE,14,78,2004,4.0,2,amarpalsingh,uttar_pradesh,muzaffarnagar,M,BJP,237220,GEN,862408,1521778,56.67,27.51,54930,6.37,1605,Graduate
3130,3130,3130,GE,14,44,2004,4.0,5,amarraghunathgaikwad,maharashtra,satara,M,BSP,13502,SC,675012,1149290,58.73,2.0,2006,0.3,16651,Not Given
5570,5570,5570,GE,14,1,2004,4.0,4,amarroypradhan,west_bengal,cooch_behar,M,IND,26755,SC,952563,1148934,82.91,2.81,9362,0.98,10809,Others
1180,1180,1180,GE,14,4,2004,4.0,13,amarsingh,delhi,east_delhi,M,LP(S),1102,GEN,1190814,2606589,45.68,0.09,241,0.02,4917,Others
4297,4297,4297,GE,14,4,2004,4.0,16,amarsinghgautam,uttar_pradesh,rampur,M,IND,1472,SC,810596,1420598,57.06,0.18,125,0.02,10809,
2102,2102,2102,GE,14,25,2004,4.0,2,amarsinhvasantraopatil,karnataka,belgaum,M,INC,326090,GEN,893902,1354182,66.01,36.48,259259,29.0,3482,Post Graduate
2526,2526,2526,GE,14,16,2004,4.0,13,amartlalraghuwar,madhya_pradesh,chhindwara,M,SVSP,5138,GEN,754637,1145107,65.9,0.68,1164,0.15,12906,10th Pass
1326,1326,1326,GE,14,10,2004,4.0,5,ambalalmafatlalchauhanarjunsinhchauhanipsretd,gujarat,ahmedabad,M,JD(U),2725,GEN,548559,1382793,39.67,0.5,875,0.16,11002,
2028,2028,2028,GE,14,14,2004,4.0,1,ambareeshmh,karnataka,mandya,M,INC,411116,GEN,857564,1198750,71.54,47.94,124438,14.51,3482,Not Given
80,80,80,GE,14,12,2004,4.0,2,ambatibrahmanaiah,andhra_pradesh,machilipatnam,M,TDP,336786,GEN,755314,993370,76.04,44.59,318309,42.14,8300,Post Graduate
2177,2177,2177,GE,14,7,2004,4.0,7,ambazhakodevelayudhan,kerala,palghat,M,CPI(ML)(L),3270,GEN,820856,1113144,73.74,0.4,0,0.0,2472,
5313,5313,5313,GE,14,68,2004,4.0,10,ambedkarihasnuramambedkari,uttar_pradesh,firozabad,M,IND,715,SC,531363,1305888,40.69,0.13,0,0.0,10809,
2869,2869,2869,GE,14,19,2004,4.0,3,ambedkarprakashyashwant,maharashtra,akola,M,BBM,187202,SC,735372,1271055,57.86,25.46,177251,24.1,1875,Post Graduate
4674,4674,4674,GE,14,28,2004,4.0,6,ameerhaiderkhan,uttar_pradesh,balrampur,M,AIMF,4874,GEN,698106,1316006,53.05,0.7,1036,0.15,726,
3894,3894,3894,GE,14,14,2004,4.0,5,ameerjans,tamil_nadu,krishnagiri,M,IND,8679,GEN,738737,1252580,58.98,1.17,2402,0.33,10809,
2317,2317,2317,GE,14,1,2004,4.0,4,ameerputhiyathanoda,lakshadweep,lakshadweep,M,SP,229,ST,31820,39033,81.52,0.72,0,0.0,7425,12th Pass
1593,1593,1593,GE,14,10,2004,4.0,7,amilal,haryana,sirsa,M,RVP,10823,SC,841682,1219935,68.99,1.29,6050,0.72,6882,Not Given
1102,1102,1102,GE,14,1,2004,4.0,7,aminbhaipatel,dadra_and_nagar_haveli,dadra_and_nagar_haveli,M,IND,1213,ST,84703,122681,69.04,1.43,55,0.06,10809,
1626,1626,1626,GE,14,4,2008,,3,aminchand,himachal_pradesh,hamirpur,M,IND,6484,,585433,1172944,49.91,1.11,1547,0.26,10809,
4980,4980,4980,GE,14,48,2004,4.0,4,amirchandpatel,uttar_pradesh,varanasi,M,BSP,59518,GEN,633077,1487696,42.55,9.4,414,0.07,16651,
4169,4169,4169,GE,14,36,2004,4.0,2,amirthaganesanr,tamil_nadu,tirunelveli,M,ADMK,203052,GEN,633782,1086290,58.34,32.04,163719,25.83,930,
4194,4194,4194,GE,14,37,2004,4.0,13,amirtharajt,tamil_nadu,tenkasi,M,IND,1041,SC,712150,1084708,65.65,0.15,0,0.0,10809,
4792,4792,4792,GE,14,36,2004,4.0,8,amiruddin,uttar_pradesh,padrauna,M,AD,7743,GEN,790050,1501706,52.61,0.98,0,0.0,954,
2220,2220,2220,GE,14,12,2004,4.0,13,amismail,kerala,muvattupuzha,M,IND,842,GEN,745871,984053,75.8,0.11,195,0.03,10809,
2616,2616,2616,GE,14,23,2004,4.0,2,amitabhmandloi,madhya_pradesh,khandwa,M,INC,233987,GEN,605295,1217726,49.71,38.66,220342,36.4,3482,Graduate Professional
5743,5743,5743,GE,14,20,2004,4.0,1,amitavanandy,west_bengal,dum_dum,M,CPM,619325,GEN,1248360,1543705,80.87,49.61,98252,7.87,14635,12th Pass
849,849,849,GE,14,32,2004,4.0,13,amitkumaralbela,bihar,patna,M,IND,1359,GEN,901616,1741220,51.78,0.15,49,0.01,10809,Graduate
1888,1888,1888,GE,14,12,2004,4.0,11,amitkumarbhagat,jharkhand,lohardaga,M,IND,2783,ST,466464,906666,51.45,0.6,273,0.06,10809,
5428,5428,5428,GE,14,76,2004,4.0,14,amitkumarjatav,uttar_pradesh,meerut,M,IND,491,SC,697484,1329974,52.44,0.07,0,0.0,10809,
5677,5677,5677,GE,14,12,2004,4.0,9,amitoshbiswas,west_bengal,nabadwip,M,IND,2037,SC,1177771,1389486,84.76,0.17,0,0.0,10809,Graduate
5719,5719,5719,GE,14,17,2004,4.0,12,amitsundarpurkait,west_bengal,diamond_harbour,M,IND,1437,GEN,836540,1102946,75.85,0.17,0,0.0,10809,
1206,1206,1206,GE,14,5,2004,4.0,13,amitwhig,delhi,chandni_chowk,M,IND,49,GEN,179007,337462,53.05,0.03,3,0.0,10809,Graduate
3206,3206,3206,GE,14,4,2004,4.0,2,amiyakantamallik,odisha,jajpur,M,INC,400711,SC,876208,1278758,68.52,45.73,387694,44.25,3482,Graduate
2935,2935,2935,GE,14,24,2004,4.0,4,amkargyanirambajirao,maharashtra,bhandara,M,IND,14575,GEN,680476,1006061,67.64,2.14,1868,0.27,10809,Graduate
765,765,765,GE,14,26,2004,4.0,11,ampyadav,bihar,banka,M,IND,1147,GEN,713888,1213614,58.82,0.16,0,0.0,10809,Not Given
3505,3505,3505,GE,14,5,2004,4.0,3,amraram,rajasthan,sikar,M,CPM,66241,GEN,779471,1476344,52.8,8.5,56467,7.24,14635,Post Graduate
5371,5371,5371,GE,14,72,2004,4.0,15,amreeksingh,uttar_pradesh,aligarh,M,IND,370,GEN,633685,1341254,47.25,0.06,5,0.0,10809,
4755,4755,4755,GE,14,32,2008,,19,amrendra,uttar_pradesh,khalilabad,M,IND,1304,,582383,1470017,39.62,0.22,171,0.03,10809,
1736,1736,1736,GE,14,3,2004,4.0,8,amrendrakumarpandit,jharkhand,godda,M,IND,5633,GEN,831356,1338939,62.09,0.68,474,0.06,10809,
5007,5007,5007,GE,14,49,2004,4.0,13,amreshchandra,uttar_pradesh,robertsganj,M,IND,3737,SC,724824,1661132,43.63,0.52,1226,0.17,10809,
457,457,457,GE,14,13,2004,4.0,6,amritborgohain,assam,dibrugarh,M,IND,6251,GEN,631240,969905,65.08,0.99,922,0.15,10809,Post Graduate
5118,5118,5118,GE,14,55,2004,4.0,8,amritlal,uttar_pradesh,banda,M,SVSP,4502,GEN,526335,1283915,40.99,0.86,678,0.13,12906,
991,991,991,GE,14,2,2004,4.0,5,amrittirkey,chhattisgarh,raigarh,M,SP,15677,ST,648435,1038634,62.43,2.42,0,0.0,7425,Not Given
1889,1889,1889,GE,14,12,2004,4.0,12,amroooraon,jharkhand,lohardaga,M,IND,2510,ST,466464,906666,51.45,0.54,52,0.01,10809,
3120,3120,3120,GE,14,42,2004,4.0,21,amtevinodramchandra,maharashtra,pune,M,IND,461,GEN,769018,1608614,47.81,0.06,207,0.03,10809,Graduate
3238,3238,3238,GE,14,11,2004,4.0,2,anadisahu,odisha,berhampur,M,BJP,304316,GEN,719379,1195391,60.18,42.3,270284,37.57,1605,Graduate
330,330,330,GE,14,41,2004,4.0,4,anageswararao,andhra_pradesh,nalgonda,M,PPOI,15736,GEN,1047866,1605163,65.28,1.5,1184,0.11,6298,Graduate
4028,4028,4028,GE,14,25,2004,4.0,16,anandakumark,tamil_nadu,periyakulam,M,IND,467,SC,700534,1056853,66.28,0.07,2,0.0,10809,
