,Candidate,Party,CriminalCases,Education,Age,Gender,TotalAssets,Liabilities,Winner,State,Constituency,Year,Category,Votes,ValidVotes,VoteSharePercentage,PartyID
0,kuldeepraisharma,INC,0,Graduate Professional,52,M,132233012.0,80450870,1,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,GEN,95308,207296,45.98,3482
1,ayanmandal,AITC,0,Graduate,30,M,7270440.0,1500000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,,1721,207296,0.83,18228
2,cgsajikumar,All India Hindustan Congress Party,0,12th Pass,48,M,120000.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,GEN,212,207296,0.1,662
3,curasheed,IND,0,12th Pass,34,M,202808.0,1700000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,,273,207296,0.13,10809
4,gourchandramajumder,IND,0,Graduate,52,M,6062000.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,GEN,221,207296,0.11,10809
5,henry,IND,0,10th Pass,50,M,56459.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,,994,207296,0.48,10809
6,kkalimuthu,IND,0,8th Pass,66,M,5850000.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,,275,207296,0.13,10809
7,kvenkatrambabu,IND,0,10th Pass,45,M,352000.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,,914,207296,0.44,10809
8,minatibiswas,IND,0,8th Pass,51,F,3198500.0,400000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,,618,207296,0.3,10809
9,paritoshkumarhaldar,IND,0,Post Graduate,61,M,19916000.0,1311000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,,5341,207296,2.58,10809
10,prakashminj,BSP,0,Post Graduate,43,M,1250000.0,240000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,,2486,207296,1.2,16651
11,sanjaymeshack,AAP,0,12th Pass,49,M,99887782.0,1791076,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2019,GEN,2839,207296,1.37,13
12,chintaanuradha,YSRCP,0,Graduate,46,F,85993362.0,2431407,1,andhra_pradesh,amalapuram,2019,SC,485958,1232895,39.42,8615
13,jangagoutham,INC,0,Graduate,49,M,14768500.0,0,0,andhra_pradesh,amalapuram,2019,SC,7887,1232895,0.64,3482
14,morthasivaramakrishna,Pyramid Party of India,0,Graduate,29,M,,0,0,andhra_pradesh,amalapuram,2019,SC,1954,1232895,0.16,6298
15,muralikrishnakanderi,India Praja Bandhu Party,0,Others,41,M,12796.0,0,0,andhra_pradesh,amalapuram,2019,SC,1804,1232895,0.15,3331
16,panthagadavijayachakravarthy,RPI(Khobragade),0,Post Graduate,65,M,550000.0,0,0,andhra_pradesh,amalapuram,2019,SC,1804,1232895,0.15,14880
17,revusudhakar,IND,0,10th Pass,34,M,11000.0,0,0,andhra_pradesh,amalapuram,2019,SC,2775,1232895,0.23,10809
18,drbeesettivenkatasatyavathi,YSRCP,0,Graduate Professional,52,F,91526244.0,11139279,1,andhra_pradesh,anakapalle,2019,GEN,586226,1238491,47.33,8615
19,adarianandkumar,TDP,0,10th Pass,43,M,410547212.0,205591400,0,andhra_pradesh,anakapalle,2019,,497034,1238491,40.13,8300
20,chintalaparthasarathi,Janasena Party,0,Post Graduate,56,M,335308506.0,110928567,0,andhra_pradesh,anakapalle,2019,,82588,1238491,6.67,17069
21,kbswaroop,Jana Jagruti Party,0,Graduate Professional,51,M,24454500.0,0,0,andhra_pradesh,anakapalle,2019,,1621,1238491,0.13,17070
22,psajaykumar,CPI(ML)(L),3,Post Graduate,57,M,1258000.0,0,0,andhra_pradesh,anakapalle,2019,,2716,1238491,0.22,2472
23,ruthalasriramamurthy,INC,0,Graduate Professional,49,M,27611641.0,0,0,andhra_pradesh,anakapalle,2019,,10121,1238491,0.82,3482
24,glalitha,SUCI(C),0,Graduate,56,F,1279676.0,0,0,andhra_pradesh,anantapur,2019,GEN,899,1342306,0.07,8082
25,hamsadevineni,BJP,0,Post Graduate,33,F,8762212.0,1700000,0,andhra_pradesh,anantapur,2019,GEN,7604,1342306,0.57,1605
26,krajivreddy,INC,0,Graduate Professional,30,M,7264263.0,1700000,0,andhra_pradesh,anantapur,2019,GEN,30079,1342306,2.24,3482
27,mvenkatesulu,Pyramid Party of India,0,10th Pass,49,M,2345567.0,312273,0,andhra_pradesh,anantapur,2019,,1048,1342306,0.08,6298
28,goddetimadhavi,YSRCP,0,Graduate Professional,26,F,141179.0,0,1,andhra_pradesh,araku,2019,ST,562190,1074538,52.32,8615
29,anumulavamsikrishna,IND,0,Post Graduate,41,M,50000.0,100000,0,andhra_pradesh,araku,2019,ST,10240,1074538,0.95,10809
30,naravasatyavathi,IND,0,10th Pass,37,F,964000.0,0,0,andhra_pradesh,araku,2019,ST,11236,1074538,1.05,10809
31,bussanagaraju,IND,1,Others,29,M,194000.0,0,0,andhra_pradesh,bapatla,2019,SC,1951,1266492,0.15,10809
32,challagalikishorekumar,BJP,1,Graduate Professional,43,M,3185877.0,0,0,andhra_pradesh,bapatla,2019,SC,10351,1266492,0.82,1605
33,chinanageswararaosadhu,Mundadugu Praja Party,0,Post Graduate,35,M,1259090.0,196000,0,andhra_pradesh,bapatla,2019,SC,466,1266492,0.04,17078
34,gaddeharibabu,Navodayam Party,0,Graduate,40,M,20000.0,100000,0,andhra_pradesh,bapatla,2019,SC,530,1266492,0.04,5841
35,gellanagamalli,IND,0,Graduate Professional,34,F,448500.0,465000,0,andhra_pradesh,bapatla,2019,SC,655,1266492,0.05,10809
36,gollababurao,IND,0,Post Graduate,46,M,78000.0,0,0,andhra_pradesh,bapatla,2019,SC,1276,1266492,0.1,10809
37,malyadrisriram,TDP,0,Post Graduate,65,M,42520353.0,598794,0,andhra_pradesh,bapatla,2019,SC,582192,1266492,45.97,8300
38,nuthakkiramarao,All India Praja Party,0,Post Graduate,71,M,72376055.0,0,0,andhra_pradesh,bapatla,2019,SC,606,1266492,0.05,18180
39,nreddeppa,YSRCP,0,Post Graduate,68,M,17355862.0,1341542,1,andhra_pradesh,chittoor,2019,SC,686792,1319472,52.05,8615
40,ahemanth,IND,0,5th Pass,28,M,50000.0,0,0,andhra_pradesh,chittoor,2019,SC,2094,1319472,0.16,10809
41,cheemalarangappa,INC,0,Graduate Professional,60,M,12832000.0,0,0,andhra_pradesh,chittoor,2019,SC,24643,1319472,1.87,3482
42,cpunyamurthy,BSP,4,Others,45,M,30323800.0,21635686,0,andhra_pradesh,chittoor,2019,SC,20062,1319472,1.52,16651
43,jayaramduggani,BJP,0,Graduate,70,M,5100000.0,0,0,andhra_pradesh,chittoor,2019,SC,10496,1319472,0.8,1605
44,naramallisivaprasad,TDP,0,Graduate Professional,68,M,69628816.0,0,0,andhra_pradesh,chittoor,2019,SC,549521,1319472,41.65,8300
45,pallipattuabhinavvishnu,Mundadugu Praja Party,0,Graduate Professional,27,M,92600.0,0,0,andhra_pradesh,chittoor,2019,SC,3445,1319472,0.26,17078
46,pramachandran,IND,0,Graduate Professional,42,M,3580500.0,2313000,0,andhra_pradesh,chittoor,2019,SC,1863,1319472,0.14,10809
47,alagaravikumar,IND,0,10th Pass,49,M,,0,0,andhra_pradesh,eluru,2019,,1648,1327923,0.12,10809
48,chinnamramakotayya,BJP,0,10th Pass,58,M,100961778.0,7713964,0,andhra_pradesh,eluru,2019,,8412,1327923,0.63,1605
49,mathebobby,RPI(A),0,12th Pass,29,M,10000.0,0,0,andhra_pradesh,eluru,2019,,1879,1327923,0.14,12285
50,jayadevgalla,TDP,0,Graduate,53,M,3051485242.0,203452417,1,andhra_pradesh,guntur,2019,GEN,587918,1351474,43.5,8300
51,aravetihazarathrao,Pyramid Party of India,0,Graduate Professional,68,M,14924686.0,180700,0,andhra_pradesh,guntur,2019,,810,1351474,0.06,6298
52,dasarikiranbabu,IND,0,8th Pass,37,M,5980980.0,2645782,0,andhra_pradesh,guntur,2019,,2909,1351474,0.22,10809
53,doppalapudiveeradas,IND,0,Graduate,60,M,5990000.0,880000,0,andhra_pradesh,guntur,2019,,629,1351474,0.05,10809
54,jayaprakashnarayanavalluru,BJP,0,Graduate Professional,44,M,39526187.0,0,0,andhra_pradesh,guntur,2019,,11841,1351474,0.88,1605
55,jeldirajamohan,All India Praja Party,0,12th Pass,61,M,4209000.0,30000,0,andhra_pradesh,guntur,2019,,437,1351474,0.03,18180
56,mannavahariprasad,CPI(ML) Red Star,0,Graduate Professional,55,M,14668071.0,107102,0,andhra_pradesh,guntur,2019,,3216,1351474,0.24,2560
57,modugulavenugopalareddy,YSRCP,3,Graduate Professional,52,M,137466129.0,1675274,0,andhra_pradesh,guntur,2019,GEN,583713,1351474,43.19,8615
58,ramaraosimhadri,Praja Shanthi Party,0,5th Pass,41,M,219000.0,0,0,andhra_pradesh,guntur,2019,,1746,1351474,0.13,6134
59,samudralachinnakotaiah,National Dalitha Dhal Party,0,10th Pass,41,M,2024577.0,1500000,0,andhra_pradesh,guntur,2019,,628,1351474,0.05,17097
60,sarabandirajusikhinam,Indian Labour Party (Ambedkar Phule),0,Post Graduate,35,M,30000.0,0,0,andhra_pradesh,guntur,2019,,1017,1351474,0.08,3457
61,shaikjaleel,Navarang Congress Party,0,5th Pass,43,M,72625000.0,0,0,andhra_pradesh,guntur,2019,,563,1351474,0.04,17092
62,shaikmastanvali,INC,1,Post Graduate,53,M,62806111.0,0,0,andhra_pradesh,guntur,2019,,14205,1351474,1.05,3482
63,kuruvagorantlamadhav,YSRCP,2,Graduate,50,M,1787356.0,730332,1,andhra_pradesh,hindupur,2019,GEN,706602,1338514,52.79,8615
64,gogulapulakuntajayanth,IND,0,Graduate,61,M,3196142.0,16710,0,andhra_pradesh,hindupur,2019,,1582,1338514,0.12,10809
65,mittaparthasarathi,BJP,2,Graduate,60,M,357849990.0,106820000,0,andhra_pradesh,hindupur,2019,,13805,1338514,1.03,1605
66,mugisuryaprakash,IND,0,Graduate,63,M,43266800.0,0,0,andhra_pradesh,hindupur,2019,,1316,1338514,0.1,10809
67,ramamohandg,IND,0,12th Pass,51,M,447500.0,0,0,andhra_pradesh,hindupur,2019,,2231,1338514,0.17,10809
68,gonapurushottamreddy,IND,4,Graduate,40,M,22473647.0,9206703,0,andhra_pradesh,kadapa,2019,GEN,1134,1228242,0.09,10809
69,gujjulaeswaraiah,CPI,1,Post Graduate,50,M,327881.0,100000,0,andhra_pradesh,kadapa,2019,,6242,1228242,0.51,2444
70,gundlakuntasreeramulu,INC,0,12th Pass,42,M,16452000.0,1130000,0,andhra_pradesh,kadapa,2019,,8341,1228242,0.68,3482
71,jakkuchennakrishnareddy,IND,1,10th Pass,44,M,24746957.0,12380000,0,andhra_pradesh,kadapa,2019,GEN,579,1228242,0.05,10809
72,nyamatullashaik,IND,0,Graduate,31,M,4909000.0,1000000,0,andhra_pradesh,kadapa,2019,,759,1228242,0.06,10809
73,pedakalavaralakshmi,Pyramid Party of India,0,Graduate Professional,43,F,11034583.0,2402564,0,andhra_pradesh,kadapa,2019,,716,1228242,0.06,6298
74,ankadisathibabu,IND,0,Illiterate,45,M,50000.0,0,0,andhra_pradesh,kakinada,2019,,1381,1234655,0.11,10809
75,appalakondavangalapudi,Mundadugu Praja Party,0,Post Graduate,28,M,514707.0,508707,0,andhra_pradesh,kakinada,2019,,2997,1234655,0.24,17078
76,donamneelakantam,All India Praja Party,0,Post Graduate,49,M,1477500.0,640000,0,andhra_pradesh,kakinada,2019,SC,980,1234655,0.08,18180
77,godugusatyanarayana,CPI(ML)(L),0,Graduate,40,M,28000.0,0,0,andhra_pradesh,kakinada,2019,,1724,1234655,0.14,2472
78,jyothulavenkateswararao,Janasena Party,0,12th Pass,62,M,173451539.0,1150000,0,andhra_pradesh,kakinada,2019,,132648,1234655,10.74,17069
79,kakiletiravindra,IND,0,10th Pass,41,M,1820000.0,750000,0,andhra_pradesh,kakinada,2019,,3327,1234655,0.27,10809
80,medisettivijayakumar,IND,8,12th Pass,53,M,46243484.0,11358500,0,andhra_pradesh,kakinada,2019,,2051,1234655,0.17,10809
81,peddimsettivenkateswararao,Jana Jagruti Party,2,12th Pass,46,M,23742000.0,0,0,andhra_pradesh,kakinada,2019,,815,1234655,0.07,17070
82,sathiveeralakshmi,Pyramid Party of India,0,Illiterate,38,F,30000.0,0,0,andhra_pradesh,kakinada,2019,,1119,1234655,0.09,6298
83,drsanjeevkumar,YSRCP,0,Post Graduate,52,M,325914387.0,62070621,1,andhra_pradesh,kurnool,2019,GEN,605462,1188327,50.95,8615
84,abdulwaris,SDPI,4,8th Pass,58,M,5110000.0,0,0,andhra_pradesh,kurnool,2019,,7293,1188327,0.61,7985
85,ahmedalikhan,INC,0,12th Pass,42,M,158831414.0,0,0,andhra_pradesh,kurnool,2019,,36500,1188327,3.07,3482
86,danduseshuyadav,SP,0,Graduate Professional,39,M,1950000.0,0,0,andhra_pradesh,kurnool,2019,GEN,3282,1188327,0.28,7425
87,devarapogumaddilety,IND,1,10th Pass,45,M,523616.0,0,0,andhra_pradesh,kurnool,2019,,1702,1188327,0.14,10809
88,gsanjeevakumar,Samajwadi Forward Bloc,0,10th Pass,38,M,160000.0,0,0,andhra_pradesh,kurnool,2019,,2107,1188327,0.18,7333
89,kasularajasekhar,Pyramid Party of India,0,10th Pass,46,M,4650560.0,1808144,0,andhra_pradesh,kurnool,2019,,1231,1188327,0.1,6298
90,kotlajayasuryaprakashreddy,TDP,0,Graduate,67,M,174762674.0,1450000,0,andhra_pradesh,kurnool,2019,GEN,456395,1188327,38.41,8300
91,mnaganna,SUCI(C),1,Illiterate,66,M,444500.0,15000,0,andhra_pradesh,kurnool,2019,,1285,1188327,0.11,8082
92,balashowryvallabhaneni,YSRCP,2,Post Graduate,50,M,990575840.0,746310844,1,andhra_pradesh,machilipatnam,2019,GEN,572850,1244570,46.03,8615
93,bandreddiramakrishna,Janasena Party,0,Post Graduate,44,M,100800000.0,37600000,0,andhra_pradesh,machilipatnam,2019,,113442,1244570,9.11,17069
94,gandhidhanekula,IND,0,10th Pass,70,M,1530000.0,700000,0,andhra_pradesh,machilipatnam,2019,,846,1244570,0.07,10809
95,gollukrishna,INC,5,Others,55,M,8795000.0,11400000,0,andhra_pradesh,machilipatnam,2019,,12310,1244570,0.99,3482
96,konakallanarayanarao,TDP,0,12th Pass,68,M,58649214.0,16809408,0,andhra_pradesh,machilipatnam,2019,GEN,512612,1244570,41.19,8300
97,nadakuditinagagayathri,IND,0,Post Graduate,38,F,8921500.0,4390000,0,andhra_pradesh,machilipatnam,2019,,774,1244570,0.06,10809
98,peramsivanageswararao,RPI(A),0,8th Pass,51,M,32000000.0,1000000,0,andhra_pradesh,machilipatnam,2019,,3627,1244570,0.29,12285
99,pochabrahmanandareddy,YSRCP,1,Post Graduate,60,M,585932911.0,177035582,1,andhra_pradesh,nandyal,2019,GEN,720888,1299093,55.49,8615
100,adinarayanainty,BJP,1,Post Graduate,67,M,33885898.0,4479155,0,andhra_pradesh,nandyal,2019,,9066,1299093,0.7,1605
101,bcramanathareddy,IND,1,Graduate,54,M,26418457.0,2329020,0,andhra_pradesh,nandyal,2019,GEN,2543,1299093,0.2,10809
102,bhumakishorreddy,IND,0,10th Pass,35,M,19574000.0,2275000,0,andhra_pradesh,nandyal,2019,GEN,4852,1299093,0.37,10809
103,csurendranathreddy,IND,0,12th Pass,54,M,925000.0,0,0,andhra_pradesh,nandyal,2019,GEN,1708,1299093,0.13,10809
104,dmahammadrafi,B. C. United Front,0,10th Pass,29,M,50000.0,190000,0,andhra_pradesh,nandyal,2019,,649,1299093,0.05,1031
105,dpjamalbasha,Anna YSR Congress Party,0,10th Pass,48,M,450000.0,70000,0,andhra_pradesh,nandyal,2019,,4089,1299093,0.31,932
106,drlakshmikanthareddychitla,IND,0,Doctorate,34,M,170000.0,90000,0,andhra_pradesh,nandyal,2019,GEN,1429,1299093,0.11,10809
107,elluribhupal,IND,0,Graduate,39,M,20000.0,20000,0,andhra_pradesh,nandyal,2019,,668,1299093,0.05,10809
108,ivpakkirreddy,IND,2,Graduate,70,M,10948558.0,390264,0,andhra_pradesh,nandyal,2019,GEN,3103,1299093,0.24,10809
109,jestadisudhakar,IND,1,10th Pass,38,M,462788.0,0,0,andhra_pradesh,nandyal,2019,,4542,1299093,0.35,10809
110,kpkambagiriswamy,IND,1,10th Pass,40,M,1400000.0,600000,0,andhra_pradesh,nandyal,2019,GEN,767,1299093,0.06,10809
111,mandrasivanandareddy,TDP,0,Graduate Professional,57,M,348903562.0,68693655,0,andhra_pradesh,nandyal,2019,GEN,470769,1299093,36.24,8300
112,poluruguruvaiah,IND,0,Illiterate,30,M,50000.0,0,0,andhra_pradesh,nandyal,2019,,6099,1299093,0.47,10809
113,pulanagamaddilety,Ambedkar National Congress,0,10th Pass,40,M,50000.0,0,0,andhra_pradesh,nandyal,2019,,937,1299093,0.07,840
114,ruddireddyradhakrishna,AIFB,0,Others,38,M,500000.0,280000,0,andhra_pradesh,nandyal,2019,,673,1299093,0.05,3040
