,Unnamed: 0,Sno,Candidate,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,State,Constituency,Year
102,102,103,aamarnadh,RKSP,0,Not Given,37,,0,0,andhra_pradesh,chittoor,2009
2280,2280,2281,aameliyahansda,RSP,0,8th Pass,29,709222.0,0,0,jharkhand,rajmahal,2009
4239,4239,4240,aamerahmedmadni,SP,0,Graduate Professional,38,270000.0,0,0,national_capital_territory_of_delhi,new_delhi,2009
5563,5563,5564,aanandanvsks,IND,0,Not Given,46,,0,0,tamil_nadu,sivaganga,2009
3599,3599,3600,aappasahebradhakisankudhekar,KM,0,12th Pass,29,555000.0,0,0,maharashtra,jalna,2009
388,388,389,aarismohammed,IND,0,10th Pass,46,16554.0,0,0,andhra_pradesh,nizamabad,2009
2854,2854,2855,aarokiasamy,IND,0,10th Pass,61,32000.0,0,0,kerala,palakkad,2009
5633,5633,5634,aaronrashidjm,INC,0,12th Pass,59,248974573.0,2191815,1,tamil_nadu,theni,2009
5945,5945,5946,aavidhussain,IND,0,Not Given,31,1095200.0,0,0,uttar_pradesh,amethi,2009
3647,3647,3648,aawalejaywantgangaram,INC,1,10th Pass,68,30485766.0,0,1,maharashtra,latur,2009
3648,3648,3649,aawcharevijaykumarbabruwan,IND,0,Post Graduate,26,15000.0,0,0,maharashtra,latur,2009
6752,6752,6753,abadheshshakya,RSMD,0,10th Pass,41,1230200.0,0,0,uttar_pradesh,mainpuri,2009
7205,7205,7206,abbas,IND,0,5th Pass,31,1176000.0,0,0,uttarakhand,hardwar,2009
2790,2790,2791,abbasmuthalappara,IND,0,10th Pass,47,15000.0,0,0,kerala,kasaragod,2009
7192,7192,7193,abbdulkadir,IND,0,Literate,51,540593.0,5000,0,uttarakhand,garhwal,2009
6542,6542,6543,abdeshbhooshansrivastava,IND,1,Not Given,43,2600.0,0,0,uttar_pradesh,jhansi,2009
6877,6877,6878,abdulajij,PECP,1,10th Pass,57,11396086.0,0,0,uttar_pradesh,muzaffarnagar,2009
4980,4980,4981,abdulaziz,BSP,0,Graduate Professional,71,3203724.0,0,0,rajasthan,nagaur,2009
987,987,988,abdulbarisiddiki,RJD,1,12th Pass,62,9611661.0,1622144,0,bihar,madhubani,2009
6145,6145,6146,abdulbasit,KKJHS,0,Graduate,64,1092325.0,0,0,uttar_pradesh,bijnor,2009
4909,4909,4910,abdulfarid,IND,0,Post Graduate,39,60000.0,0,0,rajasthan,jhalawar-baran,2009
4222,4222,4223,abdulgaffar,Lok Dal,0,8th Pass,41,240000.0,0,0,national_capital_territory_of_delhi,east_delhi,2009
3167,3167,3168,abdulgafurguddupirji,IND,0,5th Pass,56,400000.0,0,0,madhya_pradesh,khandwa,2009
1295,1295,1296,abdulhamidsiddiqui,IND,0,Others,43,1305000.0,0,1,chhattisgarh,bilaspur,2009
2362,2362,2363,abduljaleel,IND,0,10th Pass,39,10000.0,0,0,karnataka,bangalore_north,2009
5417,5417,5418,abduljaleela,IND,0,8th Pass,48,36000.0,0,0,tamil_nadu,mayiladuthurai,2009
557,557,558,abdulkaddus,SP,0,10th Pass,35,199000.0,0,0,assam,barpeta,2009
558,558,559,abdulkader,IND,0,Graduate,41,214000.0,0,0,assam,barpeta,2009
249,249,250,abdulkareemkhajamohammad,LSP,0,Graduate,50,,0,0,andhra_pradesh,mahbubnagar,2009
7579,7579,7580,abdulkarimchowdhary,IND,4,Graduate,62,14307000.0,581400,0,west_bengal,raiganj,2009
2094,2094,2095,abdulmajeedmalik,BCDP,0,Not Given,37,80000.0,0,0,jammu_and_kashmir,jammu,2009
5760,5760,5761,abdulmajeedoosi,IND,0,Graduate,62,1212000.0,250192,0,tamil_nadu,vellore,2009
7553,7553,7554,abdulmannanhossain,INC,1,Graduate,56,1709788.0,1006391,1,west_bengal,murshidabad,2009
7425,7425,7426,abdulmominsekh,IND,0,12th Pass,42,220000.0,0,0,west_bengal,howrah,2009
2156,2156,2157,abdulmustafa,IND,0,Post Graduate,32,75000.0,0,0,jharkhand,dhanbad,2009
4910,4910,4911,abdulqayyum,BSP,0,Graduate,37,811200.0,0,0,rajasthan,jhalawar-baran,2009
4152,4152,4153,abdulrahman,IND,0,Post Graduate,58,4127381.0,0,0,manipur,inner_manipur,2009
5759,5759,5760,abdulrahman,DMK,0,Graduate,49,12547128.0,3297328,1,tamil_nadu,vellore,2009
4841,4841,4842,abdulrajak,IND,0,Literate,45,656100.0,0,0,rajasthan,jaipur,2009
956,956,957,abdulrajjakurfkal,IND,0,Literate,39,100000.0,0,0,bihar,kishanganj,2009
4223,4223,4224,abdulrajjaq,IND,0,Not Given,30,7000.0,0,0,national_capital_territory_of_delhi,east_delhi,2009
3073,3073,3074,abdulrasheed,AD,0,12th Pass,35,2140500.0,70000,0,madhya_pradesh,guna,2009
2710,2710,2711,abdulrasheedshaikh,IND,1,Not Given,44,1820000.0,0,0,karnataka,uttara_kannada,2009
6019,6019,6020,abdulrashid,IND,0,Graduate,36,70000.0,0,0,uttar_pradesh,baghpat,2009
2120,2120,2121,abdulrashidlone,RPI(A),0,10th Pass,41,345000.0,0,0,jammu_and_kashmir,srinagar,2009
2855,2855,2856,abdulrassaqmoulavi,NCP,0,8th Pass,47,1407810.0,0,0,kerala,palakkad,2009
4183,4183,4184,abdulsamad,RPIE,1,10th Pass,37,2990000.0,400000,0,national_capital_territory_of_delhi,chandni_chowk,2009
6146,6146,6147,abdulsamad,IND,0,10th Pass,37,211943.0,0,0,uttar_pradesh,bijnor,2009
909,909,910,abdulsatar,IND,0,Graduate Professional,62,595000.0,489000,0,bihar,karakat,2009
1132,1132,1133,abdulsattar,IND,0,Graduate,57,323000.0,0,0,bihar,purnia,2009
336,336,337,abdulsattarg,B. C. United Front,0,10th Pass,26,600000.0,0,0,andhra_pradesh,nandyal,2009
3004,3004,3005,abdulshamadkhan,IND,0,Graduate,45,1730000.0,80000,1,madhya_pradesh,chhindwara,2009
2876,2876,2877,abduramhan,IND,0,Graduate,32,1900.0,0,0,kerala,ponnani,2009
801,801,802,abdurrahim,IND,0,Literate,49,5100000.0,0,0,bihar,darbhanga,2009
7519,7519,7520,abdurrazzaque,CPM,0,Post Graduate,60,1532819.0,83327,0,west_bengal,maldaha_dakshin,2009
6737,6737,6738,abdururfansari,NLHP,0,Post Graduate,45,2367000.0,0,1,uttar_pradesh,maharajganj,2009
559,559,560,abdussamadahmed,AUDF,2,Post Graduate,41,1641461.0,0,0,assam,barpeta,2009
448,448,449,abdussattarmujahed,MUL,0,Graduate,41,1139000.0,0,0,andhra_pradesh,secunderabad,2009
4059,4059,4060,abhangkondibhaubhimaji,IND,0,5th Pass,48,609000.0,24000,0,maharashtra,shirur,2009
856,856,857,abhaykumaranil,IND,0,Graduate,41,318053.0,49098,1,bihar,jahanabad,2009
6336,6336,6337,abhaypratapsingh,JBSP,0,Post Graduate,32,202000.0,0,0,uttar_pradesh,firozabad,2009
1842,1842,1843,abhaysingh,IND,0,10th Pass,51,55000.0,21950,0,haryana,bhiwani-mahendragarh,2009
5893,5893,5894,abhaysrivastava,IND,0,Not Given,31,30000.0,0,0,uttar_pradesh,allahabad,2009
7147,7147,7148,abhichhedilalyadav,IND,1,12th Pass,47,4087000.0,0,0,uttar_pradesh,unnao,2009
3864,3864,3865,abhijitaatyavasave,IND,0,Not Given,30,25000.0,0,0,maharashtra,nandurbar,2009
7393,7393,7394,abhijitdas,BJP,1,Post Graduate,39,1020000.0,0,0,west_bengal,diamond_harbour,2009
7383,7383,7384,abhijitmajumdar,CPI(ML)(L),0,Post Graduate,48,2855000.0,600000,0,west_bengal,darjeeling,2009
2327,2327,2328,abhimaninarendra,IND,0,10th Pass,50,865000.0,0,0,karnataka,bangalore_central,2009
2403,2403,2404,abhimaninarendra,IND,0,10th Pass,50,865000.0,0,0,karnataka,bangalore_south,2009
957,957,958,abhinavmodi,IND,2,Graduate,32,9320.0,103297,0,bihar,kishanganj,2009
7565,7565,7566,abhirambesra,JDP,0,10th Pass,41,60000.0,0,0,west_bengal,purulia,2009
6560,6560,6561,abhishek,IND,0,10th Pass,25,360000.0,0,0,uttar_pradesh,kairana,2009
601,601,602,abinashkishoreborah,RWS,0,10th Pass,30,160000.0,268817,0,assam,jorhat,2009
7566,7566,7567,abinashsaren,Amra Bangalee,0,Graduate,39,52000.0,0,0,west_bengal,purulia,2009
4782,4782,4783,absingh,BSP,0,Post Graduate,63,3347551.0,0,0,rajasthan,chittorgarh,2009
3755,3755,3756,abuasimazmi,SP,7,Graduate,53,1247388991.0,33256484,0,maharashtra,mumbai_north_west,2009
560,560,561,abuchandmahmmad,RPI(A),0,Others,63,300000.0,0,0,assam,barpeta,2009
7518,7518,7519,abuhasemkhanchoudhury,INC,0,Doctorate,65,8782797.0,0,1,west_bengal,maldaha_dakshin,2009
5564,5564,5565,abupackersithikj,IND,1,Not Given,38,,0,0,tamil_nadu,sivaganga,2009
2325,2325,2326,achandrashekar,IND,0,8th Pass,45,195000.0,0,0,karnataka,bangalore_central,2009
7300,7300,7301,achariabasudeb,CPM,0,Post Graduate,67,3249037.0,0,1,west_bengal,bankura,2009
6670,6670,6671,achchhelal,IND,0,8th Pass,42,120000.0,0,0,uttar_pradesh,lalganj,2009
6527,6527,6528,achheylalnishad,NELU,0,Not Given,61,1995000.0,0,0,uttar_pradesh,jaunpur,2009
3935,3935,3936,adagalebhausahebramchandra,IND,0,10th Pass,48,831500.0,40000,0,maharashtra,pune,2009
2660,2660,2661,adagurhviswanath,INC,0,Graduate Professional,59,28291172.0,7367061,1,karnataka,mysore,2009
3793,3793,3794,adanaryapundalikpawar,BBM,3,Post Graduate,32,388858.0,0,0,maharashtra,mumbai_south_central,2009
7366,7366,7367,adarabauri,AUDF,0,5th Pass,34,,0,0,west_bengal,bolpur,2009
3697,3697,3698,adarunrkejriwal,IND,0,Post Graduate,36,6428110.0,3535629,0,maharashtra,mumbai_north,2009
407,407,408,adavidraju,PRAP,1,10th Pass,36,1460000.0,0,0,andhra_pradesh,peddapalle,2009
3216,3216,3217,adbaijnathkushwaha,SP,0,Post Graduate,39,235000.0,50000,0,madhya_pradesh,morena,2009
12,12,13,adetukaram,BJP,0,10th Pass,55,865000.0,370000,0,andhra_pradesh,adilabad,2009
3871,3871,3872,adgulveramnathsantuji,IND,0,Not Given,42,20221552.0,0,0,maharashtra,nashik,2009
4042,4042,4043,adhagalerajendranamdev,IND,0,8th Pass,39,306500.0,0,0,maharashtra,shirdi,2009
4058,4058,4059,adhalraoshivajidattatray,SHS,4,Post Graduate,52,127113134.0,16221275,1,maharashtra,shirur,2009
7480,7480,7481,adhikarisisirkumar,AITC,1,12th Pass,69,1083159.0,0,1,west_bengal,kanthi,2009
7604,7604,7605,adhikarisuvendu,AITC,3,Graduate,39,4751934.0,0,1,west_bengal,tamluk,2009
7277,7277,7278,adhirranjanchowdhury,INC,4,10th Pass,53,29943557.0,1926083,1,west_bengal,baharampur,2009
2954,2954,2955,adhivaktashankarpendam,IND,0,Post Graduate,66,6175000.0,11000,0,madhya_pradesh,betul,2009
433,433,434,adinarayanareddyv,BSSP,0,Graduate Professional,40,4379300.0,1140000,0,andhra_pradesh,rajampet,2009
7473,7473,7474,adityakisku,IND,0,12th Pass,46,580515.0,0,0,west_bengal,jhargram,2009
6449,6449,6450,adityanath,BJP,2,Graduate,36,2182212.0,0,1,uttar_pradesh,gorakhpur,2009
3754,3754,3755,adkamatgurudasvasant,INC,0,Graduate Professional,54,63926963.0,0,1,maharashtra,mumbai_north_west,2009
3776,3776,3777,adrajeshyashvantbhosale,PPOI,0,Not Given,41,108244.0,0,0,maharashtra,mumbai_south,2009
2135,2135,2136,adreesahmadtabbasum,CPI,0,Post Graduate,45,,0,0,jammu_and_kashmir,udhampur,2009
3381,3381,3382,adsulanandraovithoba,SHS,1,Graduate,61,17708418.0,0,1,maharashtra,amravati,2009
4772,4772,4773,aduram,Rajasthan Vikas Party,0,Literate,68,2506700.0,300000,0,rajasthan,bikaner,2009
2797,2797,2798,advanusasi,IND,0,Graduate Professional,28,17336.0,0,0,kerala,kollam,2009
2735,2735,2736,advasampath,CPM,2,Post Graduate,46,8999000.0,2150029,1,kerala,attingal,2009
3649,3649,3650,advbabasahebsadshivraogaikwad,BSP,0,Graduate Professional,49,6727491.0,1999642,0,maharashtra,latur,2009
4069,4069,4070,advbansodesharadmaruti,BJP,0,Graduate Professional,41,23038727.0,0,0,maharashtra,solapur,2009
3883,3883,3884,advbhausahebanilbelurebemblikar,IND,0,Graduate Professional,29,50000.0,0,0,maharashtra,osmanabad,2009
2771,2771,2772,advbijumjohn,BSP,1,Post Graduate,40,8343500.0,0,0,kerala,idukki,2009
3113,3113,3114,advbmkaushik,BSP,0,Graduate Professional,35,1325500.0,0,0,madhya_pradesh,hoshangabad,2009
3908,3908,3909,advchintamannavshavanga,BJP,0,Graduate Professional,58,1658267.0,122332,0,maharashtra,palghar,2009
2772,2772,2773,advchittoorrajamannar,IND,0,Graduate Professional,50,2385027.0,702964,0,kerala,idukki,2009
3844,3844,3845,advcsbaheti,JP,0,Post Graduate,56,7434500.0,413333,0,maharashtra,nanded,2009
3555,3555,3556,advdadmalprabhakarmahaguji,PRBP,0,Post Graduate,54,1506000.0,60326,0,maharashtra,gadchiroli-chimur,2009
3459,3459,3460,advdhananjayshamlaljirajabhoj,IND,0,Post Graduate,50,1610000.0,0,1,maharashtra,bhandara-gondiya,2009
3915,3915,3916,advdudhgaonkarganeshraonagorao,SHS,0,Graduate Professional,64,28111720.0,0,1,maharashtra,parbhani,2009
3976,3976,3977,advdupareulhasshalikram,IND,0,Graduate Professional,42,155000.0,0,0,maharashtra,ramtek,2009
2843,2843,2844,adveaboobacker,BSP,0,Graduate Professional,52,186974.0,0,0,kerala,malappuram,2009
3815,3815,3816,advgajanansadashivkawale,RP(K),0,Graduate Professional,51,1641000.0,0,0,maharashtra,nagpur,2009
3509,3509,3510,advhazaredattabhaukrushnarao,BSP,0,Graduate Professional,52,6219000.0,515000,0,maharashtra,chandrapur,2009
2808,2808,2809,advjaimonthankachan,IND,0,Graduate Professional,39,216700.0,10000,0,kerala,kottayam,2009
2904,2904,2905,advjoshythakaran,BSP,1,Graduate,42,1671800.0,0,0,kerala,thrissur,2009
4070,4070,4071,advkasabekarshridharlimbaji,RSPS,0,Graduate Professional,59,1022756.0,9400,0,maharashtra,solapur,2009
2773,2773,2774,advkfrancisgeorge,KEC,0,Graduate Professional,54,7300123.0,2048387,0,kerala,idukki,2009
2798,2798,2799,advkmjayanandan,BSP,0,Post Graduate,52,2519592.0,210000,0,kerala,kollam,2009
2914,2914,2915,advknoorudheenmusaliar,BSP,0,Graduate,56,10741000.0,0,0,kerala,vadakara,2009
2828,2828,2829,advkumarankutty,IND,0,Graduate Professional,64,12646330.0,3098,0,kerala,kozhikode,2009
2750,2750,2751,advkvsabu,BJP,0,Graduate Professional,47,3581000.0,500000,0,kerala,chalakudy,2009
3587,3587,3588,advmatinahmed,BSP,1,Graduate Professional,38,20000.0,0,0,maharashtra,jalgaon,2009
2844,2844,2845,advnaravindan,BJP,0,Post Graduate,43,1681000.0,836879,0,kerala,malappuram,2009
1470,1470,1471,advnarendrakeshavsawaikar,BJP,0,Graduate Professional,42,3483623.0,0,0,goa,south_goa,2009
3440,3440,3441,advnatkarramraosheshrao,IND,3,Post Graduate,59,3322517.0,0,0,maharashtra,beed,2009
2905,2905,2906,advnhariharannair,IND,0,Graduate Professional,63,18300000.0,230000,0,kerala,thrissur,2009
2937,2937,2938,advocateazharulalim,IND,0,Post Graduate,58,7946200.0,250000,1,madhya_pradesh,balaghat,2009
2440,2440,2441,advocatemoulvizameeruddin,NDEP,0,Not Given,55,21000.0,350500,0,karnataka,bidar,2009
3680,3680,3681,advocatepramodmahadevgore,IND,0,Graduate,56,5155000.0,0,0,maharashtra,maval,2009
3141,3141,3142,advocaterameshwarneekhra,INC,0,Post Graduate,61,28628500.0,0,0,madhya_pradesh,jabalpur,2009
1296,1296,1297,advocatetrnirala,BSP,0,Post Graduate,42,805000.0,100000,0,chhattisgarh,bilaspur,2009
3681,3681,3682,advocatetukaramwamanraobansode,IND,0,Post Graduate,64,561092.0,0,0,maharashtra,maval,2009
2829,2829,2830,advpamohamedriyas,CPM,0,10th Pass,28,13000.0,0,0,kerala,kozhikode,2009
3970,3970,3971,advpravinmadhukarthakur,IND,1,Graduate Professional,39,45559529.0,634195,0,maharashtra,raigad,2009
2915,2915,2916,advpsatheedevi,CPM,1,Graduate Professional,52,1968782.0,0,0,kerala,vadakara,2009
2770,2770,2771,advptthomas,INC,0,Post Graduate,59,3984094.0,448284,1,kerala,idukki,2009
1471,1471,1472,advrajumangeshkaraliasrajendranaik,CPI,0,Post Graduate,52,3114150.0,99614,0,goa,south_goa,2009
2889,2889,2890,advramachandrannairp,CPI,0,Graduate Professional,57,2157292.0,638195,0,kerala,thiruvananthapuram,2009
3845,3845,3846,advramraopandurangwaghmare,IND,0,Literate,54,80000.0,0,0,maharashtra,nanded,2009
2830,2830,2831,advsabijoseph,IND,0,Graduate Professional,60,763738.0,0,0,kerala,kozhikode,2009
2922,2922,2923,advshanavasmalappuram,IND,0,Graduate Professional,36,15500.0,0,0,kerala,wayanad,2009
3679,3679,3680,advshivshankardattatrayshinde,KM,0,Graduate Professional,31,2000000.0,75000,0,maharashtra,maval,2009
3618,3618,3619,advsssalveretiredjudge,BBM,0,Post Graduate,63,4450000.0,26000,0,maharashtra,kalyan,2009
3936,3936,3937,advsubhashnarhargodse,IND,0,Graduate,59,205720.0,0,0,maharashtra,pune,2009
3382,3382,3383,advsudhirhiramantayade,IND,0,Graduate Professional,42,,0,0,maharashtra,amravati,2009
2809,2809,2810,advsureshkurup,CPM,0,Graduate Professional,52,3866004.0,11250,0,kerala,kottayam,2009
3816,3816,3817,advupashabansitaywade,IND,0,Post Graduate,67,540000.0,0,0,maharashtra,nagpur,2009
2751,2751,2752,advupjoseph,CPM,0,Graduate Professional,45,3624789.0,530615,0,kerala,chalakudy,2009
3817,3817,3818,advvasantaumre,DPI,0,Post Graduate,50,1517500.0,0,0,maharashtra,nagpur,2009
3588,3588,3589,advvasantraojivanraomore,NCP,1,Graduate Professional,63,15021341.0,1781904,0,maharashtra,jalgaon,2009
3977,3977,3978,advyuvrajanandraojibagde,IND,1,Post Graduate,34,50000.0,0,0,maharashtra,ramtek,2009
139,139,140,afatima,PRAP,0,Graduate Professional,41,37000.0,0,0,andhra_pradesh,hyderabad,2009
5731,5731,5732,afrozhusnaks,LJP,0,12th Pass,38,447831.0,83203,0,tamil_nadu,tiruvannamalai,2009
6394,6394,6395,afzalansari,BSP,3,Post Graduate,55,45844836.0,0,0,uttar_pradesh,ghazipur,2009
2291,2291,2292,agamlalmahto,IND,0,12th Pass,34,3900000.0,0,0,jharkhand,ranchi,2009
4173,4173,4174,agathaksangma,NCP,0,Post Graduate,28,6644295.0,0,1,meghalaya,tura,2009
2390,2390,2391,agnishreenivasye,IND,0,Graduate,30,105000.0,0,0,karnataka,bangalore_rural,2009
53,53,54,agumpaswamy,IND,0,Illiterate,60,,0,0,andhra_pradesh,araku,2009
6612,6612,6613,ahamedhussain,IND,1,Not Given,68,5379.0,0,0,uttar_pradesh,kanpur,2009
6681,6681,6682,aharoonali,IND,0,Graduate,48,1751500.0,34380,0,uttar_pradesh,lucknow,2009
3508,3508,3509,ahirhansarajgangaram,BJP,30,10th Pass,54,8084050.0,262243,1,maharashtra,chandrapur,2009
3032,3032,3033,ahirkamlayadav,SP,0,Literate,55,5250000.0,0,0,madhya_pradesh,damoh,2009
3324,3324,3325,ahirwargyadin,IND,1,12th Pass,42,1285715.0,97500,0,madhya_pradesh,tikamgarh,2009
3325,3325,3326,ahirwarjagdishprasad,LJP,0,Graduate,28,37000.0,0,0,madhya_pradesh,tikamgarh,2009
2983,2983,2984,ahirwarlakhanlalpurvi,RPI(A),0,8th Pass,42,235000.0,0,0,madhya_pradesh,bhopal,2009
3273,3273,3274,ahirwarnareshboudha,BSP,5,Post Graduate,37,1205000.0,80200,1,madhya_pradesh,sagar,2009
3326,3326,3327,ahirwarramswaroop,IND,0,Not Given,38,460521.0,0,0,madhya_pradesh,tikamgarh,2009
3327,3327,3328,ahirwarvrindavan,INC,0,12th Pass,39,163000.0,0,0,madhya_pradesh,tikamgarh,2009
7409,7409,7410,ahitoshmaity,RDMP,0,Post Graduate,53,1837500.0,1808,0,west_bengal,ghatal,2009
4082,4082,4083,ahmadafjalshaikh,IND,0,10th Pass,34,337000.0,0,0,maharashtra,thane,2009
924,924,925,ahmadashfaquekarim,LJP,0,Graduate,53,33733000.0,5444000,0,bihar,katihar,2009
1026,1026,1027,ahmadraza,IND,0,Literate,31,150150.0,0,0,bihar,muzaffarpur,2009
5418,5418,5419,ahmedmarecarmh,IND,0,10th Pass,46,,0,0,tamil_nadu,mayiladuthurai,2009
3842,3842,3843,aidsmanprakashtateraolandge,IND,0,Graduate,40,350000.0,0,0,maharashtra,nanded,2009
2586,2586,2587,aijazahmedfarooqi,IND,0,12th Pass,52,770000.0,400000,0,karnataka,hassan,2009
2938,2938,2939,ajablal,BSP,0,Graduate,35,425000.0,0,0,madhya_pradesh,balaghat,2009
3372,3372,3373,ajabraouttamraobhongade,IND,0,Graduate,36,107000.0,154000,0,maharashtra,akola,2009
6597,6597,6598,ajabsingh,Akhil Bharatiya Ashok Sena,0,12th Pass,30,2555500.0,0,0,uttar_pradesh,kannauj,2009
3090,3090,3091,ajabsinghkushwah,BSP,1,Not Given,36,4406000.0,0,1,madhya_pradesh,gwalior,2009
3576,3576,3577,ajasnoorminya,DESEP,0,10th Pass,32,60000.0,0,0,maharashtra,hingoli,2009
6783,6783,6784,ajayagarwal,Samajwadi Janata Party (Rashtriya),0,Graduate Professional,44,33425000.0,25487,0,uttar_pradesh,meerut,2009
2906,2906,2907,ajayakumarkuttikkat,JD(U),3,12th Pass,37,220000.0,0,0,kerala,thrissur,2009
3996,3996,3997,ajayaliasaabadadajadhav,KKJHS,0,Others,28,719500.0,16000,0,maharashtra,ratnagiri_sindhudurg,2009
7344,7344,7345,ajaychakraborty,CPI,0,Graduate,65,15389448.0,0,0,west_bengal,basirhat,2009
1275,1275,1276,ajaygoyal,IND,0,Graduate Professional,43,177352496.0,0,0,chandigarh,chandigarh,2009
1426,1426,1427,ajayjaiswal,IND,1,8th Pass,35,1502000.0,0,0,chhattisgarh,rajnandgaon,2009
6528,6528,6529,ajaykasyapguddu,IND,0,Literate,26,960500.0,0,0,uttar_pradesh,jaunpur,2009
7206,7206,7207,ajaykathuria,IND,0,Post Graduate,38,157985.0,0,0,uttarakhand,hardwar,2009
6640,6640,6641,ajaykumar,BJP,2,Graduate Professional,50,15325070.0,1560020,0,uttar_pradesh,kheri,2009
6269,6269,6270,ajaykumar,KKJHS,0,12th Pass,25,540000.0,0,0,uttar_pradesh,faizabad,2009
6450,6450,6451,ajaykumar,IND,0,12th Pass,40,45600.0,0,0,uttar_pradesh,gorakhpur,2009
910,910,911,ajaykumar,RPI(A),0,Graduate,32,325000.0,0,0,bihar,karakat,2009
1787,1787,1788,ajaykumardineshkumarpatel,BSP,0,Post Graduate,33,624821.0,369000,0,gujarat,surat,2009
802,802,803,ajaykumarjalan,INC,1,Graduate,49,3727735.0,90000,0,bihar,darbhanga,2009
1176,1176,1177,ajaykumarpandey,IND,0,10th Pass,36,102000.0,0,0,bihar,sheohar,2009
6753,6753,6754,ajaykumarsingh,IND,0,Graduate,51,40000.0,3400,0,uttar_pradesh,mainpuri,2009
857,857,858,ajaykumarverma,IND,0,10th Pass,41,1718000.0,600000,0,bihar,jahanabad,2009
4238,4238,4239,ajaymakan,INC,1,Post Graduate,45,40148040.0,97120,1,national_capital_territory_of_delhi,new_delhi,2009
4184,4184,4185,ajaymittal,AIFB,2,12th Pass,43,326200.0,0,0,national_capital_territory_of_delhi,chandni_chowk,2009
5015,5015,5016,ajaypal,IND,0,10th Pass,48,1668470.0,109000,0,rajasthan,sikar,2009
1427,1427,1428,ajaypali,IND,0,5th Pass,32,130000.0,500000,0,chhattisgarh,rajnandgaon,2009
4240,4240,4241,ajayprakashharit,IND,0,12th Pass,42,2936586.0,0,0,national_capital_territory_of_delhi,new_delhi,2009
5981,5981,5982,ajaypratapsingh,IND,0,Not Given,35,31.0,0,0,uttar_pradesh,aonla,2009
7168,7168,7169,ajayrai,SP,4,Graduate,36,5513025.0,0,0,uttar_pradesh,varanasi,2009
3062,3062,3063,ajayrawat,BSP,0,Graduate,27,116000.0,0,0,madhya_pradesh,dhar,2009
6812,6812,6813,ajayshanker,GMS,0,Others,33,,0,0,uttar_pradesh,mirzapur,2009
1843,1843,1844,ajaysingh,IND,0,Graduate,43,83355.0,0,0,haryana,bhiwani-mahendragarh,2009
7272,7272,7273,ajaysingh,BSP,0,12th Pass,32,53200.0,0,0,west_bengal,asansol,2009
1844,1844,1845,ajaysinghchautala,INLD,1,Post Graduate,44,299716920.0,4382149,0,haryana,bhiwani-mahendragarh,2009
7182,7182,7183,ajaytamta,BJP,0,12th Pass,36,511000.0,430663,0,uttarakhand,almora,2009
4651,4651,4652,ajaytandon,IND,0,10th Pass,29,132000.0,0,0,punjab,ludhiana,2009
3937,3937,3938,ajayvasantpaithankar,IND,0,Graduate,49,3036382.0,400000,0,maharashtra,pune,2009
2217,2217,2218,ajeetkumar,BSP,0,Graduate,39,2634938.0,349714,0,jharkhand,jamshedpur,2009
6738,6738,6739,ajeetmani,SP,0,Doctorate,41,19709687.0,675417,0,uttar_pradesh,maharajganj,2009
6010,6010,6011,ajeetsingh,PDFO,1,Post Graduate,33,55000.0,0,0,uttar_pradesh,badaun,2009
6304,6304,6305,ajeyasingh,JM,0,Graduate Professional,52,269451168.0,0,0,uttar_pradesh,fatehpur,2009
3916,3916,3917,ajimahmedkhanajijkhan,DESEP,0,Graduate,32,60000.0,0,0,maharashtra,parbhani,2009
3480,3480,3481,ajimganishekh,RKSP,0,8th Pass,36,210000.0,0,0,maharashtra,bhiwandi,2009
2890,2890,2891,ajithkumark,IND,0,12th Pass,41,60000.0,0,0,kerala,thiruvananthapuram,2009
3123,3123,3124,ajitkumarjainpatwa,IND,0,8th Pass,55,660000.0,0,0,madhya_pradesh,indore,2009
4410,4410,4411,ajitkumarjena,Samruddha Odisha,0,Post Graduate,42,751091.0,0,0,orissa,jajpur,2009
4425,4425,4426,ajitkumarnayak,IND,0,Graduate,26,35500.0,0,0,orissa,kandhamal,2009
7567,7567,7568,ajitprasadmahato,JMM,5,Graduate,56,393866.0,0,0,west_bengal,purulia,2009
4023,4023,4024,ajitraoshankarraoghorpade,IND,0,Graduate,56,18806550.0,0,0,maharashtra,sangli,2009
6018,6018,6019,ajitsingh,RLD,0,Post Graduate,70,58232462.0,13077,1,uttar_pradesh,baghpat,2009
1748,1748,1749,ajitsinhharisinhjadeja,IND,0,Literate,55,1073745.0,80000,0,gujarat,rajkot,2009
4695,4695,4696,ajmersingh,IND,1,8th Pass,49,120000.0,0,0,punjab,sangrur,2009
5894,5894,5895,ajugnarain,IND,0,Literate,33,125000.0,0,0,uttar_pradesh,allahabad,2009
2827,2827,2828,akabdulnasar,BSP,0,10th Pass,35,3272000.0,0,0,kerala,kozhikode,2009
408,408,409,akamalamma,IND,0,Not Given,36,155000.0,0,0,andhra_pradesh,peddapalle,2009
3152,3152,3153,akanchhajain,IND,0,Literate,34,20000.0,0,0,madhya_pradesh,khajuraho,2009
181,181,182,akaysuryanarayana,IND,0,8th Pass,50,,0,0,andhra_pradesh,kakinada,2009
5895,5895,5896,akbalmohammd,IND,0,8th Pass,34,559000.0,0,0,uttar_pradesh,allahabad,2009
