,Unnamed: 0,Sno,Candidate,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,State,Constituency,Year
1434,1434,1435,madanyadav,IND,0,Not Given,34,,0,0,chhattisgarh,rajnandgaon,2009
401,401,402,maddulurimalakondaiahyadav,TDP,0,Graduate,47,90741921.0,8347977,0,andhra_pradesh,ongole,2009
2413,2413,2414,madeshc,IND,0,8th Pass,40,25000.0,0,0,karnataka,bangalore_south,2009
654,654,655,madhabrajbangshi,INC,0,Graduate Professional,53,1315905.0,2000000,0,assam,mangaldoi,2009
2531,2531,2532,madhavab,CPM,0,Post Graduate,71,2062773.0,0,0,karnataka,dakshina_kannada,2009
5596,5596,5597,madhavarajkv,IND,0,12th Pass,42,11290.0,1351,0,tamil_nadu,sriperumbudur,2009
1138,1138,1139,madhavisarkar,CPI(ML)(L),3,12th Pass,50,2171600.0,545184,0,bihar,purnia,2009
1520,1520,1521,madhubhaiharjibhaibhuva,NCP,0,Graduate,61,9395649.0,0,0,gujarat,amreli,2009
837,837,838,madhubharti,LTSD,0,10th Pass,39,560000.0,0,0,bihar,gopalganj,2009
4132,4132,4133,madhukarshivdasppagorate,IND,0,8th Pass,67,933100.0,0,0,maharashtra,yavatmal-washim,2009
3520,3520,3521,madhukarvitthalraonistane,IND,1,Graduate,43,,0,0,maharashtra,chandrapur,2009
2302,2302,2303,madhukora,IND,0,Graduate,38,9832144.0,0,1,jharkhand,singhbhum,2009
1204,1204,1205,madhuripanday,SJTP,0,Not Given,35,9304.0,0,0,bihar,siwan,2009
1780,1780,1781,madhusudandevrammistry,INC,0,Post Graduate,63,6306522.0,223390,0,gujarat,sabarkantha,2009
1402,1402,1403,madhusudanmishra,ABHM,1,Graduate,49,5064500.0,0,0,chhattisgarh,raipur,2009
7328,7328,7329,madhusudanshet,AUDF,0,12th Pass,54,161000.0,0,0,west_bengal,bardhaman-durgapur,2009
1425,1425,1426,madhusudanyadav,BJP,1,12th Pass,38,1165680.0,0,1,chhattisgarh,rajnandgaon,2009
387,387,388,madhuyaskhigoud,INC,0,Post Graduate,50,119108338.0,15422084,1,andhra_pradesh,nizamabad,2009
113,113,114,magantivenkateswararaobabu,TDP,0,12th Pass,49,64298108.0,1253750,0,andhra_pradesh,eluru,2009
4897,4897,4898,magaram,BSP,0,12th Pass,37,8600000.0,775000,0,rajasthan,jalore,2009
5333,5333,5334,mageshkumare,IND,0,Others,30,1000.0,0,0,tamil_nadu,kancheepuram,2009
1265,1265,1266,magisteryadav,IND,0,Not Given,42,212000.0,0,0,bihar,valmiki_nagar,2009
399,399,400,maguntasrinivasulureddy,INC,0,Graduate,55,102065901.0,0,1,andhra_pradesh,ongole,2009
908,908,909,mahabalisingh,JD(U),3,8th Pass,54,6194257.0,0,1,bihar,karakat,2009
