,Party,CriminalCases,Education,Age,Gender,TotalAssets,Liabilities,Winner,State,Constituency,Category
110,8,1,6,58,1,4904426.0,0,0,9,478,0
111,8,0,6,38,1,119757.0,0,0,19,110,2
112,3,0,6,46,1,2397559.0,625000,0,19,475,2
113,8,0,6,38,0,2737166.0,0,0,19,315,0
114,9,0,6,30,1,22243300.0,1125000,0,19,388,0
115,6,2,6,69,1,42689718.0,11315807,0,19,536,3
116,7,0,6,60,1,10100000.0,80000,0,19,372,3
117,3,0,6,58,1,21645000.0,0,0,16,293,0
118,8,1,11,65,1,8581681.0,1502262,0,19,315,0
119,7,0,6,42,0,13052635.0,8706000,0,19,453,0
120,8,3,11,60,1,69036111.0,0,0,33,51,0
121,3,0,1,25,1,60732397.0,0,0,33,173,0
122,3,0,3,55,1,2110000.0,0,0,30,33,2
123,6,2,6,65,1,36099151.0,8784830,0,35,68,0
124,7,0,10,54,1,6550000.0,0,0,13,481,0
125,7,3,0,33,1,151000.0,0,0,19,80,0
126,8,8,5,45,1,6097180.0,3045000,0,30,338,0
127,9,4,5,55,1,50158221.0,272883,0,19,229,0
128,7,0,3,53,1,240000.0,0,0,19,41,0
129,8,0,11,41,1,16600547.0,0,0,35,301,0
130,7,0,1,32,1,6109500.0,335000,0,11,169,0
131,2,11,0,59,1,15548000.0,99500,1,19,117,0
132,8,0,6,68,1,11286622.0,0,0,14,146,0
133,9,1,5,44,1,3957500.0,0,0,19,536,0
134,7,0,1,50,1,535403.0,0,0,33,524,0
135,7,0,5,43,1,2090000.0,0,0,11,197,0
136,7,0,5,53,1,551640.0,0,0,30,121,0
137,6,1,11,63,1,12625844.0,2504500,0,1,15,2
138,8,0,8,35,1,277000.0,0,0,33,343,0
139,7,0,10,43,1,1271997.0,536237,0,3,181,0
140,8,0,5,29,1,5855905.0,0,0,30,121,0
141,2,0,6,49,1,17365819.0,0,0,33,416,0
142,7,0,1,0,1,151200.0,0,0,33,320,0
143,8,0,11,64,1,3382445.0,0,0,35,154,0
144,7,0,11,37,1,4926438.0,0,0,28,130,0
145,2,2,6,55,1,26505977.0,10000000,1,33,284,0
146,8,0,11,43,1,1316000.0,0,0,33,86,0
147,8,7,11,51,1,124349901.0,6979341,0,14,234,0
148,8,0,5,49,1,1307472.0,0,0,35,76,0
149,8,0,11,40,1,5137088.0,0,0,25,221,2
150,7,0,1,42,1,76000.0,0,0,27,226,2
151,6,0,1,53,1,7484762.0,0,0,14,146,0
152,8,0,5,41,1,4724526.0,625000,0,24,116,0
153,8,0,6,27,1,60000.0,0,0,33,190,2
154,6,0,5,57,1,501321313.0,100587230,0,15,45,0
155,8,0,5,61,1,4550119.0,0,0,28,224,0
156,2,0,5,45,1,145712654.0,989888,1,4,358,0
157,7,0,3,46,1,5790000.0,0,0,33,46,0
158,7,0,0,53,1,3295920.0,100000,0,28,466,0
159,7,0,8,30,1,480000.0,179344,0,6,104,0
160,7,0,1,29,1,900000.0,0,0,18,454,0
161,6,9,5,42,1,8721893.0,0,0,33,524,0
162,3,0,1,27,1,64000.0,0,0,18,147,3
163,6,0,11,58,1,47558071.0,1246200,0,18,85,3
164,7,2,0,38,1,9877806.0,0,0,5,115,0
165,2,0,1,41,1,6366653.0,2757846,1,34,13,2
166,7,0,5,54,1,14080500.0,237000,0,19,411,0
167,8,0,5,48,1,1281743.0,185000,0,33,150,0
168,8,0,10,44,1,38835962.0,0,0,6,421,0
169,7,0,1,27,1,190000.0,0,0,33,12,0
170,7,0,5,48,1,2058757.0,243784,0,19,435,0
171,7,0,11,25,1,23000.0,0,0,4,358,0
172,7,1,5,44,1,663000.0,342000,0,16,399,2
173,8,0,11,45,1,37145768.0,3500000,0,16,496,0
174,0,0,1,43,1,6000000.0,912823,0,14,207,0
175,8,12,5,61,1,1823340.0,0,0,35,414,0
176,8,0,11,74,1,169254660.0,0,0,33,46,0
177,8,0,3,38,1,193438.0,0,0,28,297,0
178,7,0,0,58,1,545117.0,224328,0,16,293,0
179,8,1,0,47,1,14058166.0,0,0,24,383,0
180,8,1,0,47,1,14058166.0,0,0,33,524,0
181,7,0,3,41,1,262590.0,0,0,30,318,0
182,6,0,6,49,1,5504900.0,0,0,29,467,3
183,7,0,5,28,1,505042.0,0,0,18,348,0
184,3,3,5,62,1,26607824.0,1784507,0,33,190,0
185,3,0,0,67,1,62120983.0,3790727,0,33,430,0
186,8,0,10,43,1,1592000.0,0,0,11,197,0
187,7,0,11,51,1,2513782.0,0,0,33,430,0
188,8,0,5,49,1,2407300.0,0,0,33,304,0
189,8,0,5,74,1,3122000.0,0,0,23,361,3
190,7,0,6,48,1,50000.0,0,0,4,60,0
191,8,1,4,46,1,1658500.0,0,0,33,86,0
192,8,0,1,30,1,228000.0,0,0,33,320,2
193,8,1,11,48,1,4907533.0,820788,0,4,286,0
194,8,0,0,33,1,644500.0,0,0,1,374,0
195,9,0,11,70,1,1747750.0,0,0,14,146,0
196,3,0,8,46,1,14679858.0,1510000,0,33,44,0
