,Party,CriminalCases,Education,Age,Gender,TotalAssets,Liabilities,Winner,State,Constituency,Category
1175,7,0,0,51,1,630000.0,20000,0,4,286,0
1176,3,0,11,42,0,4740600.0,1800000,0,15,125,0
1177,6,0,1,63,1,8992000.0,1100000,0,14,469,3
1178,3,0,5,65,1,17660906.0,840000,0,35,327,0
1179,7,0,0,40,1,2196500.0,650000,0,11,96,2
1180,6,0,5,80,1,27649207.0,0,0,30,156,0
1181,10,0,1,56,1,488525332.0,6328146,1,31,328,0
1182,8,0,11,55,1,2544964.0,0,0,31,455,0
1183,7,0,6,45,1,1007000.0,800000,0,19,89,0
1184,7,0,5,48,1,4122196.0,0,0,3,42,3
1185,7,0,1,41,1,334194.0,0,0,19,448,0
1186,9,0,3,46,1,63893750.0,130649812,0,10,53,0
1187,8,1,5,47,1,66569502.0,0,1,4,278,0
1188,0,0,11,75,1,4857752.0,0,1,35,335,2
1189,2,1,1,31,1,7446059.0,1110690,1,10,247,0
1190,8,0,5,76,1,6685000.0,0,0,20,389,3
1191,8,2,0,48,0,3240286.0,441814,0,35,243,3
1192,7,0,2,32,1,1593000.0,0,0,11,303,0
1193,0,3,10,64,1,149868252.0,72589679,0,9,478,0
1194,2,0,5,58,1,42165344.0,5100000,0,15,203,0
1195,7,0,0,48,1,1209850.0,0,0,16,293,0
1196,7,0,9,47,1,729614.0,380200,0,16,390,2
1197,7,2,3,58,1,6905000.0,0,0,16,534,0
1198,8,0,0,33,1,152500.0,0,0,9,478,0
1199,8,0,1,39,1,4264223.0,0,0,33,18,0
1200,6,0,5,78,1,25733421.0,0,1,22,345,3
1201,3,0,0,40,1,5250000.0,0,0,15,359,2
1202,6,0,11,65,1,247952597.0,922460,0,15,56,0
1203,8,3,11,63,1,20041642.0,294000,1,16,498,0
1204,7,0,6,68,1,1014500.0,0,0,19,411,0
1205,7,0,10,71,1,9991131.0,0,0,30,121,0
1206,8,0,6,55,1,15406445.0,2079445,0,4,140,0
1207,8,0,9,71,1,11110000.0,0,0,33,51,0
1208,2,1,6,73,1,174678454.0,5584331,1,28,73,0
1209,8,0,1,66,1,1034609.0,0,0,19,411,0
1210,6,1,5,62,1,10862277.0,0,0,33,48,2
1211,8,0,1,46,1,285146.0,0,0,19,431,2
1212,7,0,6,52,1,7250500.0,0,0,19,110,0
1213,4,3,3,42,0,78649422.0,0,0,18,434,3
1214,8,7,5,47,1,4099277.0,700000,0,19,395,0
1215,4,0,1,46,1,877705.0,0,0,11,470,2
1216,7,2,5,41,1,757300.0,225000,0,19,395,2
1217,7,3,8,46,1,4750000.0,0,0,33,442,2
1218,2,0,11,66,1,17921949.0,0,1,28,364,0
1219,8,0,1,50,1,45209196.0,11231000,1,15,332,0
1220,7,0,5,49,1,10500.0,0,0,19,372,3
1221,7,0,5,53,0,3120000.0,400000,0,1,163,0
1222,7,0,6,58,1,323000.0,0,0,10,53,3
1223,3,22,0,50,1,26250000.0,103594500,0,4,111,0
1224,2,0,11,47,1,20065527.0,228304,1,33,464,0
1225,8,0,0,43,0,380000.0,0,0,1,530,0
1226,3,0,2,56,1,486000.0,0,0,10,20,2
1227,7,0,2,59,1,1521697.0,0,0,19,315,0
1228,8,0,2,48,1,7113000.0,0,0,19,89,0
1229,8,2,11,58,1,47792839.0,367818,0,25,253,0
1230,8,0,2,28,1,16475000.0,90000,0,11,476,0
1231,7,0,3,52,1,2970854.0,300000,0,24,380,2
1232,8,0,0,59,1,2358865.0,0,0,35,132,2
1233,8,0,11,79,1,175331173.0,0,0,27,21,0
1234,2,0,6,61,1,5524870.0,0,1,18,456,3
1235,8,0,6,59,1,1721000.0,905302,0,19,4,0
1236,7,0,3,58,1,20896812.0,0,0,1,387,0
1237,3,0,0,47,1,38695000.0,40000,0,14,234,0
1238,7,13,1,31,1,20000.0,0,0,19,411,2
1239,7,0,0,43,1,1383000.0,105000,0,19,463,2
1240,0,0,1,46,1,3802143.0,100000,0,14,189,0
1241,7,0,5,50,1,1345000.0,0,0,24,383,0
1242,7,0,1,67,1,580000.0,0,0,19,177,3
1243,7,0,5,44,1,1335000.0,0,0,19,41,2
1244,8,0,6,46,1,3777000.0,0,0,10,248,2
1245,7,0,1,63,1,8081017.0,0,0,18,98,0
1246,2,4,5,60,1,184411862.0,8534130,1,19,229,0
1247,3,2,0,55,1,31543071.0,1189101,0,33,187,0
1248,7,0,3,49,1,1568000.0,85000,0,27,226,2
1249,8,0,1,43,1,5022000.0,170000,0,27,312,0
1250,8,0,2,36,1,412000.0,0,0,27,170,2
1251,6,0,11,27,1,1250390.0,204472,0,21,510,3
1252,7,0,6,28,1,21000.0,0,0,31,328,0
1253,7,0,6,50,1,4290000.0,0,0,1,527,0
1254,8,0,0,66,1,385000.0,0,0,25,484,3
1255,3,0,0,50,1,855000.0,0,0,25,339,3
1256,8,3,5,38,1,3940724.0,100000,0,14,469,3
1257,7,2,0,41,1,13633.0,39000,0,16,40,2
1258,0,0,5,47,1,3550353.0,293909,1,35,11,3
1259,3,0,0,43,1,50000.0,0,0,30,30,2
1260,7,0,5,48,1,1650000.0,400000,0,31,319,3
1261,7,0,3,32,1,227000.0,0,0,19,475,2
1262,3,1,8,45,1,156626608.0,19408646,0,33,150,0
1263,7,0,0,36,1,94000.0,0,0,3,306,0
1264,7,2,1,33,1,2275000.0,250000,0,11,303,2
1265,7,0,3,33,1,60000.0,0,0,27,25,0
1266,7,0,0,36,1,1329540.0,0,0,27,213,2
1267,7,0,3,72,1,2097599.0,49000,0,6,104,2
1268,8,5,11,44,0,175500.0,0,0,14,285,3
1269,7,2,6,64,1,184306689.0,62952534,0,9,384,0
1270,9,0,5,48,1,7050000.0,2000000,0,15,82,0
1271,5,0,5,47,1,109429193.0,0,0,30,119,0
1272,7,1,11,34,1,2420000.0,600000,0,33,320,0
1273,7,0,2,36,1,60000.0,0,0,30,119,2
1274,7,0,1,40,1,3221000.0,0,0,31,328,0
1275,4,1,5,47,1,4071000.0,470000,0,19,209,0
1276,8,1,5,62,1,10591888.0,0,0,15,417,3
1277,7,0,11,37,1,5717000.0,0,0,1,302,0
1278,7,0,1,66,1,4113784.0,181000,0,34,202,0
1279,7,0,5,55,1,3343932.0,135000,0,35,292,0
1280,0,0,10,42,1,15202790.0,948237,0,3,333,0
1281,8,0,4,37,1,3993858.0,627225,0,25,339,3
1282,2,0,11,42,0,4636550.0,0,0,35,68,0
1283,3,0,6,50,1,10000.0,0,0,25,225,2
1284,2,0,11,70,1,10987886.0,0,0,35,47,0
1285,8,0,4,39,1,8145500.0,0,0,33,186,0
1286,6,1,11,53,0,19163081.0,0,0,35,419,0
1287,0,0,0,32,1,152447159.0,17493227,1,35,184,0
1288,7,0,5,34,1,6832000.0,7000000,0,30,120,0
1289,7,0,11,37,1,2394016.0,0,0,19,351,2
1290,8,0,1,31,1,1183000.0,325000,0,11,169,0
1291,7,0,1,31,1,236200.0,0,0,24,162,0
1292,8,0,0,33,1,5316000.0,0,0,27,213,2
1293,8,0,1,35,1,2633089.0,0,0,4,60,2
1294,8,0,3,30,1,21000.0,0,0,24,535,2
1295,7,0,3,32,1,70700.0,0,0,4,358,0
1296,7,0,5,49,1,4059104.0,264727,0,18,198,0
1297,7,0,0,25,1,1231800.0,0,0,6,237,2
1298,8,1,1,48,1,114428519.0,50291943,0,19,411,0
1299,7,0,5,38,1,3328000.0,0,0,15,137,0
1300,7,0,5,43,1,1874000.0,338837,0,5,115,0
1301,6,0,11,36,1,358749354.0,39310300,1,11,439,0
1302,8,0,6,53,1,167763561.0,1074803,0,27,400,0
1303,8,0,10,39,1,80000.0,0,0,1,502,2
1304,7,0,0,54,1,9050000.0,0,0,30,406,0
1305,6,0,5,51,1,414613478.0,12162079,0,7,135,3
1306,7,0,5,49,1,1287025457.0,0,0,21,459,3
1307,8,0,0,50,1,2634109.0,169614,0,16,164,0
1308,2,0,4,65,0,1782015620.0,231234174,1,33,334,0
1309,3,0,11,41,1,70149663.0,17924260,0,18,437,0
1310,6,0,5,38,1,408001069.0,59250670,0,19,353,0
1311,8,0,6,53,1,4463077.0,922967,0,19,177,3
1312,6,0,6,51,1,45464118.0,3496308,0,19,117,0
1313,7,0,8,53,1,1027300.0,240000,0,10,398,0
1314,7,1,2,47,1,50258019.0,0,0,10,178,0
1315,6,0,6,57,1,66444237.0,3940761,0,10,486,0
1316,7,0,9,45,1,680000.0,50000,0,19,209,0
1317,7,1,11,46,1,2227258.0,0,0,19,533,0
1318,7,0,1,38,1,3796964.0,510000,0,19,4,0
1319,7,0,5,47,1,500000.0,25000,0,15,359,2
1320,5,0,5,73,1,186962206.0,0,0,30,501,0
1321,6,1,6,61,1,76577515.0,6568797,0,30,255,0
1322,7,0,0,47,1,51880493.0,1329992,0,30,501,0
1323,7,0,11,29,0,45000.0,0,0,30,362,2
1324,8,0,5,53,1,305016.0,0,0,33,10,0
1325,7,0,6,32,1,577000.0,0,0,30,120,2
1326,3,1,5,52,1,8658000.0,340000,0,18,139,0
1327,8,0,6,33,1,6240542.0,490100,0,18,348,0
1328,8,2,11,49,1,2175602.0,0,0,33,264,0
1329,6,0,5,44,1,32044007.0,933433,0,18,212,0
1330,8,2,11,63,1,45899000.0,256000,0,4,358,0
1331,2,0,0,60,1,28546617.0,559965,1,33,6,0
1332,7,0,8,42,1,55216.0,0,0,33,343,2
1333,8,0,0,77,1,50000.0,0,0,33,524,0
1334,7,0,5,66,1,5178227.0,0,0,25,339,3
1335,8,0,11,33,1,285000.0,0,0,24,380,0
1336,7,0,6,60,1,195500.0,0,0,19,209,3
1337,2,0,0,37,1,51846777.0,12780726,1,28,230,0
1338,7,1,2,40,1,148500.0,0,0,19,315,0
1339,8,0,0,27,1,443500.0,0,0,28,393,2
1340,7,0,0,36,1,1195000.0,0,0,19,411,0
1341,8,0,11,66,1,9500500.0,250000,0,4,485,0
1342,7,0,0,50,1,6915060.0,250000,0,6,321,2
1343,7,0,10,61,1,512130100.0,300000,0,12,200,0
1344,9,0,5,42,1,1899744.0,265504,0,14,234,0
1345,7,0,8,55,1,1241000.0,0,0,19,209,2
1346,3,3,11,38,1,3372138.0,330000,0,19,388,2
1347,8,0,4,67,1,10787163.0,5662400,0,25,84,0
1348,7,1,1,42,1,809580000.0,460000,0,15,55,0
1349,8,0,11,39,1,929000.0,0,0,35,236,0
1350,8,1,5,42,1,448882000.0,71333000,1,19,290,0
1351,8,0,6,38,1,6509560.0,6102,0,4,183,2
1352,7,0,0,27,1,121000.0,0,0,6,420,3
1353,7,0,11,86,1,3070000.0,0,0,19,89,0
1354,7,4,11,38,1,43484973.0,5325290,0,33,238,0
1355,8,0,5,63,1,7160090.0,37000,0,30,501,0
1356,7,0,5,66,1,147168.0,0,0,30,525,0
1357,3,0,5,67,1,7066500.0,0,0,4,199,2
1358,7,0,7,72,1,54000.0,0,0,12,259,3
1359,8,0,2,44,1,13485.0,0,0,6,104,2
1360,9,0,3,33,1,0.0,0,0,6,104,0
1361,7,0,8,60,1,895000.0,0,0,10,233,0
1362,8,0,2,27,1,300000.0,0,0,28,267,2
1363,8,0,3,53,1,370000.0,0,0,24,116,2
1364,8,0,5,34,1,3506231.0,300000,0,28,245,0
1365,3,0,11,43,1,542768.0,55693,0,6,296,3
1366,3,0,1,54,1,1919014.0,506437,0,6,104,2
1367,2,0,5,59,1,50057200.0,4530000,1,11,96,0
1368,7,0,11,44,1,1424342.0,0,0,11,96,0
1369,7,0,7,54,1,2715000.0,0,0,11,96,0
1370,3,0,1,40,1,4086330.0,0,0,18,217,2
1371,7,0,2,38,1,302000.0,0,0,27,400,0
1372,3,0,1,42,1,16990111.0,0,0,11,197,0
1373,3,0,10,66,1,16995852.0,1158038,0,13,512,0
1374,8,0,3,40,1,3486700.0,0,0,24,385,2
1375,7,0,3,50,1,9278598.0,50000,0,27,449,2
1376,8,0,0,47,1,528006.0,10000,0,27,172,0
1377,8,1,0,50,1,6497000.0,0,0,24,383,2
1378,8,5,5,60,1,595165067.0,87859264,0,33,186,0
1379,6,0,11,60,1,35040745.0,11869710,0,25,275,0
1380,7,0,2,45,1,2463263.0,0,0,10,233,0
1381,7,0,3,32,1,420000.0,0,0,30,370,0
1382,9,0,11,37,1,24987715.0,8950291,1,33,44,0
1383,7,0,0,53,1,51000.0,48000,0,11,96,0
1384,8,0,3,49,1,55813000.0,0,0,33,182,0
1385,8,0,5,55,1,1623000.0,70000,0,5,115,0
1386,2,0,0,49,1,5364652.0,0,1,33,29,0
1387,3,1,11,33,1,6758234.0,0,0,33,18,0
1388,3,1,1,34,1,33000.0,0,0,4,514,0
1389,8,0,1,36,1,663000.0,0,0,28,142,3
1390,7,1,7,46,1,1294000.0,200000,0,27,226,2
1391,3,0,0,55,1,4633187.0,25000,0,6,488,3
1392,8,2,5,44,1,74408903.0,10490592,0,19,80,0
1393,7,0,3,68,1,7288408.0,2035500,0,19,448,0
1394,0,0,6,57,1,7878597.0,0,0,3,306,0
1395,8,0,0,35,1,27148834.0,0,0,24,380,0
1396,3,0,1,52,1,7746000.0,150000,0,34,180,0
1397,8,1,7,53,1,323363744.0,30874899,0,30,501,0
1398,8,0,3,48,1,922000.0,300000,0,27,176,0
1399,8,0,11,45,0,3902394.0,69000,0,19,431,2
1400,7,1,2,42,1,100000.0,0,0,10,20,0
1401,9,0,11,35,1,413290807.0,500000,0,28,224,0
1402,7,0,1,38,1,0.0,0,0,19,366,2
1403,8,0,0,32,1,250000.0,0,0,4,368,0
1404,8,0,5,68,1,1360000.0,0,0,35,231,2
1405,8,0,0,76,1,6545000.0,0,0,19,536,0
1406,2,3,6,55,1,48501735.0,6928458,1,19,7,0
1407,8,0,3,43,1,182500.0,0,0,35,231,2
1408,5,0,10,65,1,119200359.0,16880062,0,30,473,0
1409,8,0,2,34,1,547074.0,0,0,19,205,2
1410,7,0,1,44,1,946408.0,0,0,24,116,0
1411,2,0,0,68,1,12259882.0,0,1,18,434,3
1412,8,0,11,68,1,17930142.0,0,0,4,485,0
1413,8,0,0,49,1,2024600.0,0,0,19,392,3
1414,7,0,11,49,1,5000.0,0,0,35,516,2
1415,3,0,6,67,1,3537000.0,0,0,35,154,2
1416,8,0,5,56,1,1011000.0,0,0,35,231,2
1417,7,0,8,0,1,11976871.0,450000,0,4,415,0
1418,7,3,5,60,1,109990624.0,15008466,0,4,522,0
1419,7,0,11,34,1,1052000.0,0,0,33,242,0
1420,9,0,5,36,0,280516418.0,6917710,1,33,261,0
1421,7,0,5,0,1,16000.0,0,0,33,320,2
1422,7,1,5,0,1,2377269.0,0,0,4,191,2
1423,7,0,0,43,1,72000.0,0,0,4,199,2
1424,7,0,1,45,1,662981.0,0,0,35,75,0
1425,8,0,1,34,1,126322.0,16000,0,33,308,3
1426,8,0,10,57,1,17668299.0,0,0,4,278,0
1427,2,1,11,51,1,16108199.0,2191216,1,6,77,3
1428,7,0,11,60,1,6243000.0,0,0,33,320,2
1429,8,0,0,26,1,180872.0,0,0,33,284,0
1430,8,1,4,34,1,478500.0,0,0,4,266,0
1431,8,0,0,34,1,7386000.0,252000,0,24,535,2
1432,7,0,11,27,1,6379498.0,1773000,0,30,500,0
1433,7,2,1,41,1,526770.0,0,0,33,1,2
1434,7,0,6,45,1,10000.0,0,0,35,214,2
1435,7,0,0,28,1,72000.0,0,0,6,104,2
1436,7,0,0,27,1,35500.0,0,0,35,106,2
1437,7,0,1,41,1,5169920.0,0,0,14,234,0
1438,7,0,2,26,1,1387500.0,0,0,28,393,2
1439,7,0,3,35,1,6931000.0,0,0,24,383,0
1440,7,0,0,40,1,113500.0,0,0,19,411,0
1441,7,0,0,39,1,2133000.0,0,0,19,350,0
1442,8,0,1,27,1,1581000.0,0,0,28,506,0
1443,8,0,5,56,1,31634182.0,0,0,19,349,0
1444,0,0,11,63,1,53582340.0,15661349,1,35,75,0
1445,0,0,11,50,1,627023.0,0,0,3,386,0
1446,8,1,11,48,1,2859128.0,195000,0,35,132,2
1447,8,0,5,49,1,1408500.0,0,0,35,326,0
1448,8,0,11,39,1,2025000.0,26672,0,19,309,2
1449,8,0,11,28,1,1106850.0,0,0,31,328,0
1450,8,0,1,43,1,8328072.0,312910,0,18,139,0
1451,7,1,11,50,1,3340000.0,34000,0,6,161,0
1452,7,0,5,63,1,4212000.0,1300000,0,33,158,2
1453,7,0,1,41,1,549048.0,95000,0,33,174,2
1454,7,1,5,68,1,7080000.0,0,0,24,477,0
1455,6,8,1,47,1,858713138.0,184854756,1,15,57,0
1456,3,0,11,33,1,145000.0,0,0,15,289,2
1457,7,0,0,42,1,290000.0,130000,0,15,125,3
1458,8,1,6,27,1,16043.0,0,0,15,83,3
1459,3,0,8,48,1,2700000.0,750000,0,31,280,0
1460,0,0,5,47,0,668679.0,0,0,35,38,0
1461,7,0,11,43,1,651495.0,65000,0,1,252,2
1462,8,1,6,53,1,30393000.0,300000,0,19,80,2
1463,7,0,2,52,1,980000.0,0,0,19,431,2
1464,7,0,3,28,0,702059.0,0,0,19,19,2
1465,7,0,2,62,0,50000.0,0,0,1,252,0
1466,8,0,3,61,1,5000.0,0,0,30,131,0
1467,7,0,3,45,1,145000.0,0,0,30,504,2
1468,4,0,11,63,1,16374053.0,0,0,35,154,0
1469,8,0,4,48,1,5644731.0,301684,0,3,386,3
1470,7,0,11,52,1,495000.0,0,0,30,119,0
1471,8,1,11,43,1,2986472.0,328617,0,14,426,3
1472,8,1,4,55,1,38846631.0,1000000,1,4,222,0
1473,3,0,4,25,1,41664986.0,6100000,0,33,10,0
1474,6,1,6,59,1,14532873.0,1192539,0,4,445,2
1475,7,0,3,42,0,24525000.0,0,0,33,12,0
1476,7,0,5,26,1,130263.0,0,0,4,522,3
1477,3,0,4,61,1,46814935.0,2213240,0,33,308,2
1478,8,0,6,55,1,3855000.0,1090000,0,28,179,2
1479,2,0,6,73,1,72303762.0,382905,1,6,296,0
1480,7,1,6,40,1,244250.0,200000,0,15,203,0
1481,2,0,6,61,1,4274998.0,0,0,31,215,0
1482,8,0,4,35,0,143541254.0,173000,0,19,157,3
1483,7,0,6,47,1,13265000.0,13550000,0,19,315,0
1484,6,4,4,60,1,45246361.0,0,0,33,444,0
1485,2,0,5,38,1,12577537.0,0,1,33,109,0
1486,7,0,6,30,1,450000.0,60000,0,19,153,0
1487,6,0,11,58,1,63998568.0,250000,0,35,341,0
1488,7,0,6,56,1,664000.0,15000,0,4,241,0
1489,7,0,6,73,1,11910000.0,0,0,15,289,2
1490,6,0,4,63,1,54972948.0,1400000,0,28,224,0
1491,8,0,11,70,1,6965000.0,0,0,15,332,0
1492,7,2,10,49,1,256185.0,0,0,35,292,0
1493,7,0,5,45,1,620000.0,95000,0,18,219,2
1494,8,0,1,41,1,14600.0,0,0,35,68,2
1495,8,0,6,63,1,45115421.0,0,1,27,400,0
1496,8,0,4,61,1,8985000.0,0,0,31,269,2
1497,7,0,6,28,1,43518730.0,0,0,14,207,0
1498,2,0,4,50,1,32949581.0,5793000,0,4,286,0
1499,6,2,6,70,1,13760562.0,249199,0,10,248,2
1500,7,0,4,44,1,21375000.0,0,0,19,41,0
1501,8,0,11,61,1,9315000.0,69000,0,19,177,3
1502,7,0,6,61,1,10943691.0,0,0,30,501,0
1503,2,0,6,26,0,131103963.0,7571753,1,19,372,3
1504,8,0,4,73,1,141800.0,0,0,31,122,0
1505,6,1,6,62,1,69688035.0,3184026,0,18,348,0
1506,8,0,4,64,1,7135000.0,0,0,20,218,0
1507,2,2,11,59,1,28229308.0,1780492,1,24,116,0
1508,8,0,11,68,0,70225022.0,0,0,18,147,3
1509,8,0,6,43,1,497250.0,0,0,20,218,0
1510,7,2,6,52,1,6007000.0,0,0,27,21,2
1511,10,0,6,42,1,11265199.0,3875000,0,31,402,2
1512,2,8,6,65,1,46883202.0,0,0,31,322,0
1513,6,0,4,64,1,12385277.0,0,0,30,491,2
1514,8,0,4,58,1,62743517.0,2200000,0,31,328,0
1515,2,0,6,57,1,38464932.0,11881,1,13,512,0
1516,8,0,6,26,1,33959072.0,10981100,1,30,121,0
1517,6,3,4,58,0,16250000.0,0,0,4,191,2
1518,6,0,6,41,0,582676804.0,230942000,0,28,364,0
1519,0,0,6,55,0,31254311.0,1168220,1,35,67,0
1520,2,0,4,60,1,90103580.0,1854856,1,1,530,0
1521,8,7,6,60,1,1799128.0,0,0,10,92,0
1522,7,0,5,57,1,6782287.0,0,0,35,11,3
1523,7,0,4,48,1,5801000.0,0,0,33,343,0
1524,2,0,6,65,1,131141867.0,2381344,1,10,523,3
1525,7,0,4,52,1,44213130.0,0,0,15,58,0
1526,8,0,6,43,1,980000.0,14000,0,19,89,0
1527,8,3,4,55,1,23260000.0,4247000,0,33,238,0
1528,7,0,11,62,1,734500.0,0,0,14,146,0
1529,8,2,11,62,1,166640601.0,10238049,0,30,491,2
1530,7,0,6,55,1,3280000.0,0,0,11,169,2
1531,8,1,4,44,1,38200805.0,673100,0,33,18,0
1532,8,0,11,63,1,68881380.0,4287202,0,31,363,2
1533,7,0,6,53,1,31000.0,0,0,15,56,0
1534,7,0,6,53,1,30000.0,0,0,15,55,0
1535,7,1,8,30,1,159986.0,0,0,4,521,0
1536,8,9,11,58,1,314820842.0,11059140,0,33,158,0
1537,8,0,6,69,1,20269803.0,1650000,0,35,67,0
1538,2,1,4,80,1,78410008.0,0,1,33,264,0
1539,8,0,4,26,1,150000.0,0,0,24,162,0
1540,8,0,6,54,1,37280298.0,5600000,0,33,483,0
1541,6,1,11,44,1,14281020.0,9382799,0,19,177,3
1542,8,0,6,60,1,10723839.0,484486,0,28,129,0
1543,8,0,11,55,1,202983225.0,13574088,1,31,97,0
1544,7,0,6,46,1,15979015.0,600000,0,33,404,0
1545,9,0,4,28,0,12661316.0,0,0,18,217,0
1546,2,0,4,74,1,27136042.0,1614820,1,33,430,0
1547,8,1,6,58,1,43775031.0,13527529,0,33,264,0
1548,8,0,4,53,1,6750000.0,0,0,31,455,0
1549,8,0,6,48,1,29100000.0,10000000,0,31,328,0
1550,7,0,11,60,1,19869123.0,800000,0,28,224,3
1551,7,0,6,30,1,3438256.0,1572500,0,19,80,2
1552,8,0,4,50,1,178513297.0,25121804,0,31,369,0
1553,0,0,6,65,1,327895738.0,1163236,0,3,74,0
1554,7,0,6,35,1,737397.0,185386,0,15,58,0
1555,7,0,6,43,1,886693.0,0,0,19,453,0
1556,7,0,4,34,1,498000.0,266676,0,19,315,0
1557,8,1,6,33,1,11252908.0,3907073,0,18,424,0
1558,4,0,6,46,1,8749410.0,700000,0,35,243,3
1559,8,0,6,38,1,4354751.0,10000,0,35,239,2
1560,8,0,11,61,1,74254557.0,10800000,0,33,109,2
1561,8,1,5,37,1,2110000.0,0,0,13,481,0
1562,8,0,6,51,1,38261507.0,0,0,19,19,2
1563,7,0,4,39,1,3298180.0,350000,0,11,210,2
1564,7,4,4,40,1,4537299.0,0,0,28,244,0
1565,8,0,5,50,1,3800000.0,2375000,0,18,281,2
1566,8,0,5,37,1,410000.0,176114,0,19,388,2
1567,8,5,4,62,1,11829625.0,1231046,0,4,273,0
1568,2,21,4,49,1,14634885.0,4035000,1,33,1,2
1569,8,0,11,37,1,6576936.0,0,0,33,447,0
1570,8,1,6,61,1,34406591.0,18526162,0,30,491,2
1571,8,0,11,33,1,302494.0,836870,0,19,431,2
1572,3,0,4,58,1,465406959.0,12805267,0,33,304,0
1573,2,2,11,49,1,35941299.0,6197804,1,4,396,0
1574,8,0,4,41,1,2874000.0,1348000,0,33,444,0
1575,2,1,4,41,1,10794222.0,3090803,1,33,357,0
1576,7,0,5,33,1,9626000.0,500000,0,33,238,0
1577,2,0,4,44,1,4803472.0,0,0,35,220,0
1578,2,0,4,58,1,67402076.0,352000,1,33,46,0
1579,8,0,4,65,1,20477137.0,0,0,33,158,0
1580,8,0,11,47,1,43061200.0,5730528,0,33,187,0
1581,6,0,4,58,1,230275186.0,0,1,16,496,0
1582,3,0,6,41,1,410000.0,0,0,18,424,2
1583,8,0,6,27,1,998000.0,0,1,19,256,0
1584,2,0,11,64,1,34085266.0,208007,1,10,3,2
1585,7,0,6,32,1,550000.0,673368,0,35,479,0
1586,9,0,11,55,1,31217401.0,175000,0,33,347,0
1587,8,0,9,42,1,2760000.0,0,0,19,431,2
1588,8,2,4,65,1,7871582.0,700000,0,14,287,0
1589,8,0,11,59,1,12314344.0,0,0,4,35,0
1590,6,0,11,57,1,35400729.0,1504711,0,28,90,2
1591,8,0,6,54,1,31066422.0,28522,0,11,470,2
1592,8,2,4,50,1,9890017.0,900000,0,4,278,0
1593,8,0,6,33,1,5518804.0,2334044,0,24,116,0
1594,8,0,11,55,1,3057022.0,0,0,35,239,2
1595,6,0,4,69,1,3825200.0,0,1,20,218,0
1596,7,1,4,53,1,112059276.0,2043531,0,19,436,0
1597,8,0,5,68,1,1479690.0,0,0,3,246,0
1598,3,1,6,43,1,19006100.0,3000000,0,1,502,2
1599,8,0,5,49,0,3213305.0,0,0,6,296,3
1600,3,0,6,41,1,8160460.0,2000000,0,33,48,2
1601,7,0,6,28,1,0.0,0,0,19,453,0
1602,2,0,4,60,1,9364635.0,0,1,18,499,2
1603,8,0,11,59,1,72141860.0,0,0,28,223,0
1604,6,0,4,33,1,874957697.0,204983496,0,19,411,0
1605,8,0,4,59,1,23346340.0,7678981,0,11,210,0
1606,8,2,11,43,1,12866994.0,4084000,0,30,318,0
1607,8,0,2,50,1,629000.0,5000,0,15,359,2
1608,8,0,6,67,1,8350311.0,0,0,34,367,0
1609,7,0,1,0,1,103540.0,0,0,6,488,3
1610,8,0,5,43,1,420913035.0,34291359,0,1,208,0
1611,8,2,1,42,1,885667.0,266749,0,35,419,2
1612,8,0,6,66,1,4828000.0,290000,0,11,270,0
1613,7,0,5,26,1,9036500.0,0,0,28,466,0
1614,7,0,2,58,1,6113000.0,0,0,28,179,2
1615,7,0,0,69,1,3116000.0,0,0,28,245,0
1616,7,0,3,37,1,402800.0,0,0,30,120,0
1617,7,0,2,34,1,19312.0,0,0,30,165,2
1618,3,0,3,39,1,16842973.0,0,0,14,433,3
1619,3,2,11,42,1,63562000.0,304995,0,4,140,0
1620,7,0,5,45,1,2587000.0,200000,0,1,530,0
1621,7,0,0,55,1,730000.0,0,0,4,41,0
1622,0,0,6,54,1,5878725.0,0,0,33,10,0
1623,8,0,6,41,1,49750.0,0,0,33,43,0
1624,2,0,11,43,1,239006838.0,2798782,1,28,240,0
1625,8,0,5,26,1,361326990.0,68744460,1,11,210,0
1626,7,0,6,37,1,10000.0,0,0,25,446,0
1627,6,0,5,48,0,655093802.0,33463408,0,19,350,0
1628,2,0,6,61,1,98888874.0,37020152,1,15,56,0
1629,7,0,8,55,1,900000.0,0,0,33,18,0
1630,7,0,1,39,1,1276700.0,0,0,18,123,2
1631,7,0,8,52,1,58600.0,0,0,27,79,2
1632,8,0,6,76,1,11818952.0,0,1,16,325,0
1633,7,0,3,43,1,2391135.0,600000,0,30,406,0
1634,8,0,10,39,1,60000.0,50000,0,1,64,2
1635,7,0,5,57,1,4228516.0,2000000,0,16,112,0
1636,8,0,11,51,1,6695071.0,839500,0,30,505,0
1637,7,0,5,29,1,0.0,0,0,31,319,3
1638,8,0,6,36,1,10729709.0,0,0,30,156,0
1639,7,0,3,49,1,400000.0,0,0,30,30,0
1640,7,0,3,40,1,260000.0,0,0,30,30,0
1641,5,0,6,47,1,43068404.0,1304056,0,30,30,0
1642,7,0,3,33,1,400000.0,0,0,30,30,0
1643,7,0,0,28,1,747800.0,0,0,30,30,0
1644,3,0,1,62,1,4236000.0,0,0,35,11,3
1645,7,0,6,42,1,502074.0,0,0,3,492,0
1646,7,0,3,58,0,3646910.0,0,0,30,501,0
1647,8,0,5,47,1,135000.0,0,0,1,195,2
