,Candidate,Party,CriminalCases,Education,Age,Gender,TotalAssets,Liabilities,Winner,State,Constituency,Year,Category,Votes,ValidVotes,VoteSharePercentage,PartyID
0,bishnupadaray,BJP,1,Graduate,64,M,5658980.0,175115,1,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,90969,190328,47.8,1605
1,anitamondal,AITC,1,Graduate,48,F,5471073.0,6000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,2283,190328,1.2,18228
2,apandian,AIFB,0,12th Pass,41,M,859410.0,350000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,225,190328,0.12,3040
3,cgsajikumar,IND,0,12th Pass,41,M,50000.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,334,190328,0.18,10809
4,kgdas,CPI(M),0,12th Pass,70,M,4221392.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,1777,190328,0.93,14635
5,kuldeepraisharma,INC,0,Graduate Professional,46,M,31594826.0,5034619,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,83157,190328,43.69,3482
6,nkannan,IND,0,8th Pass,35,M,32400.0,549313,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,314,190328,0.16,10809
7,nkpnair,CPI(ML)L,0,10th Pass,59,M,5287805.0,43642,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,436,190328,0.23,9890
8,prakashminj,IND,0,Post Graduate,38,M,308000.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,ST,1587,190328,0.83,10809
9,raghubirsingh,SP,1,8th Pass,49,M,1128697.0,20000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,379,190328,0.2,7425
10,rsumabharatthy,NCP,0,Post Graduate,49,F,1380999.0,253000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,1151,190328,0.6,5792
11,sanjaymeshack,AAP,0,10th Pass,43,M,57497526.0,633088,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,3737,190328,1.96,13
12,saravanan,IND,0,Graduate,38,M,236000.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2014,GEN,847,190328,0.45,10809
13,pandularavindrababu,TDP,0,Graduate Professional,58,M,27131000.0,3000000,1,andhra_pradesh,amalapuram,2014,SC,594547,1120927,53.04,8300
14,aithabathulajogeswaravenkatabutchimaheswararao,INC,1,Post Graduate,63,M,12625844.0,2504500,0,andhra_pradesh,amalapuram,2014,SC,12182,1120927,1.09,3482
15,geddamsampadarao,BSP,1,Graduate Professional,44,M,1174000.0,100000,0,andhra_pradesh,amalapuram,2014,SC,7219,1120927,0.64,16651
16,konkivenkatarao,Republican Paksha (Khoripa),0,Others,53,M,31500.0,5000,0,andhra_pradesh,amalapuram,2014,SC,3233,1120927,0.29,6935
17,kunchepedasatyanarayana,Pyramid Party of India,0,5th Pass,43,M,1240000.0,140000,0,andhra_pradesh,amalapuram,2014,SC,4560,1120927,0.41,6298
18,muttamsettisrinivasarao,TDP,1,Illiterate,47,M,213294327.0,64899193,1,andhra_pradesh,anakapalle,2014,GEN,568463,1148072,49.51,8300
19,appalarajusadaram,IND,0,Graduate,60,M,31500.0,0,0,andhra_pradesh,anakapalle,2014,GEN,3228,1148072,0.28,10809
20,kondarajujampana,Jai Samaikyandhra Party,0,12th Pass,47,M,4121000.0,0,0,andhra_pradesh,anakapalle,2014,GEN,6261,1148072,0.55,16138
