,Candidate,Party,CriminalCases,Education,Age,Gender,TotalAssets,Liabilities,Winner,State,Constituency,Year,Category,Votes,ValidVotes,VoteSharePercentage,PartyID
21,sarisaleelaprasannakumari,Pyramid Party of India,0,8th Pass,0,F,370000.0,0,0,andhra_pradesh,anakapalle,2014,GEN,2875,1148072,0.25,6298
22,juturchinnareddydivakarreddy,TDP,0,12th Pass,70,M,226481020.0,3265000,1,andhra_pradesh,anantapur,2014,GEN,610288,1212145,50.35,8300
23,ananthavenkataramireddy,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,57,M,26301000.0,0,0,andhra_pradesh,anantapur,2014,GEN,548297,1212145,45.23,8615
24,boyaanilkumar,Jai Samaikyandhra Party,0,8th Pass,26,M,605000.0,300000,0,andhra_pradesh,anantapur,2014,GEN,2800,1212145,0.23,16138
25,glalitha,SUCI(C),1,Graduate Professional,51,F,58683.0,0,0,andhra_pradesh,anantapur,2014,GEN,952,1212145,0.08,8082
26,pavankumar,Pyramid Party of India,0,Graduate,27,M,50000.0,0,0,andhra_pradesh,anantapur,2014,GEN,2076,1212145,0.17,6298
27,shaikmohammadshafi,IND,0,Post Graduate,54,M,14386694.0,1760200,0,andhra_pradesh,anantapur,2014,GEN,3031,1212145,0.25,10809
28,kothapalligeetha,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,43,F,65147467.0,43261606,1,andhra_pradesh,araku,2014,ST,413191,909614,45.42,8615
29,gummidisandhyarani,TDP,0,Graduate,41,F,2587354.0,0,0,andhra_pradesh,araku,2014,ST,321793,909614,35.38,8300
30,kangalabaludora,IND,0,5th Pass,59,M,650000.0,0,0,andhra_pradesh,araku,2014,ST,23215,909614,2.55,10809
31,midiyambaburao,CPI(M),0,Graduate Professional,63,M,2230750.0,0,0,andhra_pradesh,araku,2014,ST,38898,909614,4.28,14635
32,sallangiratnam,IND,0,Graduate,35,F,1485000.0,0,0,andhra_pradesh,araku,2014,ST,7688,909614,0.85,10809
33,malyadrisriram,TDP,0,Post Graduate,60,M,45359744.0,0,1,andhra_pradesh,bapatla,2014,SC,578145,1184634,48.8,8300
34,bandelanageswararao,IND,0,10th Pass,31,M,40000.0,0,0,andhra_pradesh,bapatla,2014,SC,668,1184634,0.06,10809
35,edachennaiah,AAP,0,Others,39,M,60000.0,50000,0,andhra_pradesh,bapatla,2014,SC,3948,1184634,0.33,13
36,gaddethyagaraju,IND,0,Graduate,0,M,1185000.0,100000,0,andhra_pradesh,bapatla,2014,SC,749,1184634,0.06,10809
37,gogulamudinarasimharao,IND,0,10th Pass,34,M,1262200.0,733400,0,andhra_pradesh,bapatla,2014,SC,720,1184634,0.06,10809
38,nakkalaveeranjaneyulu,IND,0,Post Graduate,39,M,190000.0,0,0,andhra_pradesh,bapatla,2014,SC,615,1184634,0.05,10809
39,panabakalakshmi,INC,0,Post Graduate,56,F,65782130.0,1682000,0,andhra_pradesh,bapatla,2014,SC,23072,1184634,1.95,3482
40,ratnababumamidi,IND,0,Post Graduate,29,M,95240.0,0,0,andhra_pradesh,bapatla,2014,SC,1206,1184634,0.1,10809
41,naramallisivaprasad,TDP,0,Graduate Professional,62,M,14878003.0,0,1,andhra_pradesh,chittoor,2014,SC,594862,1198915,49.62,8300
42,ppushparaj,Jai Samaikyandhra Party,0,Graduate Professional,57,M,841732.0,0,0,andhra_pradesh,chittoor,2014,SC,5740,1198915,0.48,16138
43,sanjappa,IND,0,10th Pass,43,M,1360000.0,2500000,0,andhra_pradesh,chittoor,2014,SC,4321,1198915,0.36,10809
44,cvsaradadevi,IND,0,Graduate,53,F,3120000.0,400000,0,andhra_pradesh,eluru,2014,GEN,2721,1201697,0.23,10809
45,juluribhaskaraveeravenkataanilkumargupta,IND,1,12th Pass,34,M,2741859.0,0,0,andhra_pradesh,eluru,2014,GEN,751,1201697,0.06,10809
46,musunurinageswararao,INC,0,8th Pass,61,M,17420000.0,0,0,andhra_pradesh,eluru,2014,GEN,11770,1201697,0.98,3482
47,jayadevgalla,TDP,0,Graduate,48,M,6830581361.0,202334283,1,andhra_pradesh,guntur,2014,GEN,618417,1244926,49.68,8300
48,abburikoteswararao,Pyramid Party of India,0,10th Pass,49,M,17620000.0,3800000,0,andhra_pradesh,guntur,2014,GEN,1636,1244926,0.13,6298
49,abdulwaheedshaik,INC,0,10th Pass,44,M,7654500.0,7000000,0,andhra_pradesh,guntur,2014,GEN,46818,1244926,3.76,3482
50,arudalavenkateswararao,IND,0,5th Pass,41,M,400000.0,50000,0,andhra_pradesh,guntur,2014,GEN,908,1244926,0.07,10809
51,balashowryvallabhaneni,Yuvajana Sramika Rythu Congress Party,0,Graduate,45,M,794017805.0,483766785,0,andhra_pradesh,guntur,2014,GEN,549306,1244926,44.12,8615
52,bitravenkatasivannarayana,IND,0,10th Pass,36,M,7663330.0,712920,0,andhra_pradesh,guntur,2014,GEN,1169,1244926,0.09,10809
53,emanichandrasekharrao,Navodyam Party,0,Graduate,47,M,135000.0,0,0,andhra_pradesh,guntur,2014,SC,1455,1244926,0.12,5841
54,mallelababurao,BSP,0,Post Graduate,60,M,6413204.0,1062915,0,andhra_pradesh,guntur,2014,SC,4223,1244926,0.34,16651
55,mallelavenkatarao,Jai Samaikyandhra Party,0,12th Pass,48,M,6907000.0,1350000,0,andhra_pradesh,guntur,2014,SC,5608,1244926,0.45,16138
56,kristappanimmala,TDP,2,Graduate,57,M,40793638.0,998480,1,andhra_pradesh,hindupur,2014,GEN,604291,1177257,51.33,8300
57,amudalasubramanyam,Rayalaseema Parirakshana Samithi,0,Post Graduate,0,M,745000.0,110000,0,andhra_pradesh,hindupur,2014,GEN,4521,1177257,0.38,16463
58,appireddygarikondareddy,IND,0,12th Pass,41,M,155000.0,0,0,andhra_pradesh,hindupur,2014,GEN,1257,1177257,0.11,10809
59,chintasarathkumarreddy,IND,0,Graduate,31,M,1285000.0,870000,0,andhra_pradesh,hindupur,2014,GEN,1275,1177257,0.11,10809
60,duddukuntasreedharreddy,Yuvajana Sramika Rythu Congress Party,0,Graduate,43,M,420913035.0,34291359,0,andhra_pradesh,hindupur,2014,GEN,506966,1177257,43.06,8615
61,kpeddareddi,IND,3,10th Pass,48,M,33018797.0,9883924,0,andhra_pradesh,hindupur,2014,GEN,1152,1177257,0.1,10809
62,avinashreddyyedugurisandinti,Yuvajana Sramika Rythu Congress Party,1,Post Graduate,29,M,70480623.0,5547296,1,andhra_pradesh,kadapa,2014,GEN,671983,1200662,55.97,8615
63,gajjalaramasubbareddy,Pyramid Party of India,0,10th Pass,61,M,535800.0,0,0,andhra_pradesh,kadapa,2014,GEN,1821,1200662,0.15,6298
64,sajidhussain,AAP,0,12th Pass,50,M,54632098.0,10840808,0,andhra_pradesh,kadapa,2014,GEN,3401,1200662,0.28,13
65,arjunaraoyegupati,CPI(ML)L,1,5th Pass,57,M,620000.0,21000,0,andhra_pradesh,kakinada,2014,SC,1495,1099999,0.14,9890
66,chagantisuryanarayanamurty,IND,0,10th Pass,49,M,99344.0,0,0,andhra_pradesh,kakinada,2014,GEN,1236,1099999,0.11,10809
67,donamneelakantam,IND,0,Post Graduate,43,M,651495.0,65000,0,andhra_pradesh,kakinada,2014,SC,1697,1099999,0.15,10809
68,donkaleelavathi,IND,0,5th Pass,62,F,50000.0,0,0,andhra_pradesh,kakinada,2014,GEN,3756,1099999,0.34,10809
69,kolavenkataprasadvarma,RJD,0,10th Pass,48,M,1000.0,0,0,andhra_pradesh,kakinada,2014,GEN,3473,1099999,0.32,12103
70,kuncheramadas,IND,0,Post Graduate,69,M,202000.0,0,0,andhra_pradesh,kakinada,2014,SC,1122,1099999,0.1,10809
71,merlabhavanisankaraprasad,IND,0,5th Pass,52,M,2700000.0,950000,0,andhra_pradesh,kakinada,2014,GEN,910,1099999,0.08,10809
72,mothasarada,Republican Party of India (Khobragade),0,10th Pass,33,F,,0,0,andhra_pradesh,kakinada,2014,SC,6836,1099999,0.62,14880
73,prabhakararaomadiki,IND,0,Post Graduate,45,M,1350000.0,112550,0,andhra_pradesh,kakinada,2014,SC,496,1099999,0.05,10809
74,rokkamdayakar,Republican Paksha (Khoripa),1,Post Graduate,45,M,1500000.0,0,0,andhra_pradesh,kakinada,2014,SC,1837,1099999,0.17,6935
75,buttarenuka,Yuvajana Sramika Rythu Congress Party,1,10th Pass,42,F,2426240513.0,312279927,1,andhra_pradesh,kurnool,2014,GEN,472782,1065732,44.36,8615
76,dchandbasha,IND,0,Post Graduate,37,M,5717000.0,0,0,andhra_pradesh,kurnool,2014,GEN,2605,1065732,0.24,10809
77,kondiparthivenkatprasad,RPI,0,Graduate,37,M,9557285.0,1300000,0,andhra_pradesh,kurnool,2014,GEN,1614,1065732,0.15,6911
78,kothurusatyanarayanagupta,IND,0,Post Graduate,47,M,3087000.0,560000,0,andhra_pradesh,kurnool,2014,GEN,2021,1065732,0.19,10809
79,kotlajayasuryaprakashreddy,INC,0,Graduate,62,M,48182614.0,3000000,0,andhra_pradesh,kurnool,2014,GEN,116603,1065732,10.94,3482
80,noorahmedmadani,Socialistic Democratic Party,0,Post Graduate,55,M,370000.0,0,0,andhra_pradesh,kurnool,2014,GEN,11393,1065732,1.07,12552
81,konakallanarayanarao,TDP,0,12th Pass,64,M,34850000.0,9800000,1,andhra_pradesh,machilipatnam,2014,GEN,587280,1141065,51.47,8300
82,jampanasrinivasagoud,IND,1,10th Pass,48,M,1372180.0,212000,0,andhra_pradesh,machilipatnam,2014,GEN,931,1141065,0.08,10809
83,kammilisrinivas,Jai Samaikyandhra Party,0,Graduate Professional,42,M,499399880.0,22800000,0,andhra_pradesh,machilipatnam,2014,GEN,7692,1141065,0.67,16138
84,kolusuparthasarathy,Yuvajana Sramika Rythu Congress Party,6,12th Pass,48,M,59930668.0,3851887,0,andhra_pradesh,machilipatnam,2014,GEN,506223,1141065,44.36,8615
85,mohammadishaq,IND,0,10th Pass,41,M,11149954.0,5133921,0,andhra_pradesh,machilipatnam,2014,GEN,1770,1141065,0.16,10809
86,parasasrinivasarao,IND,1,10th Pass,35,M,368316.0,140000,0,andhra_pradesh,machilipatnam,2014,GEN,3399,1141065,0.3,10809
87,byramaiah,INC,0,Post Graduate,48,M,5279000.0,630000,0,andhra_pradesh,nandyal,2014,GEN,16378,1204956,1.36,3482
88,mramanareddy,IND,0,8th Pass,50,M,320000.0,0,0,andhra_pradesh,nandyal,2014,GEN,5400,1204956,0.45,10809
89,obulesuthudum,BSP,0,Post Graduate,38,M,1590000.0,150000,0,andhra_pradesh,nandyal,2014,SC,11784,1204956,0.98,16651
90,pvnreddy,All India Majlis-E-Ittehadul Muslimeen,0,Graduate Professional,36,M,182000.0,0,0,andhra_pradesh,nandyal,2014,GEN,5598,1204956,0.46,706
91,rayapatisambasivarao,TDP,2,Graduate,70,M,595838093.0,56263516,1,andhra_pradesh,narasaraopet,2014,GEN,632464,1282058,49.33,8300
92,akkireddybhimanadula,Pyramid Party of India,0,10th Pass,33,M,644500.0,0,0,andhra_pradesh,narasaraopet,2014,GEN,7032,1282058,0.55,6298
93,ayodhyaramireddyalla,Yuvajana Sramika Rythu Congress Party,1,Post Graduate,50,M,6543381756.0,604035456,0,andhra_pradesh,narasaraopet,2014,GEN,597184,1282058,46.58,8615
94,kanumurikoteswararao,IND,0,Graduate,45,M,20000.0,0,0,andhra_pradesh,narasaraopet,2014,SC,1404,1282058,0.11,10809
95,kondapallivenkateswarlu,INC,0,Graduate Professional,58,M,69781168.0,9723000,0,andhra_pradesh,narasaraopet,2014,GEN,22943,1282058,1.79,3482
96,mekalahanumantharaoyadav,BSP,4,Post Graduate,35,M,2301000.0,0,0,andhra_pradesh,narasaraopet,2014,GEN,4911,1282058,0.38,16651
97,ravusubrahmanyam,IND,0,Graduate,37,M,177000.0,0,0,andhra_pradesh,narasaraopet,2014,GEN,1025,1282058,0.08,10809
98,gokarajugangaraju,BJP,1,Graduate,69,M,2883567122.0,168501286,1,andhra_pradesh,narsapuram,2014,GEN,540306,1088947,49.62,1605
99,badampudisiva,IND,0,Graduate,27,M,40000.0,0,0,andhra_pradesh,narsapuram,2014,GEN,1605,1088947,0.15,10809
100,chintapallikanakarao,BSP,0,Post Graduate,55,M,1225000.0,2000000,0,andhra_pradesh,narsapuram,2014,GEN,8491,1088947,0.78,16651
101,medapativarahalareddy,IND,0,Others,38,M,6800000.0,15000,0,andhra_pradesh,narsapuram,2014,GEN,1250,1088947,0.11,10809
102,nallirajesh,Republican Paksha (Khoripa),1,Others,31,M,395000.0,0,0,andhra_pradesh,narsapuram,2014,SC,6708,1088947,0.62,6935
103,mekapatirajamohanreddy,Yuvajana Sramika Rythu Congress Party,2,Graduate Professional,69,M,361746068.0,0,1,andhra_pradesh,nellore,2014,GEN,576396,1187648,48.53,8615
104,adalaprabhakarareddy,TDP,0,12th Pass,64,M,1282585640.0,131646350,0,andhra_pradesh,nellore,2014,GEN,562918,1187648,47.4,8300
105,anandaraosompalli,IND,1,Graduate,52,M,7813000.0,0,0,andhra_pradesh,nellore,2014,GEN,760,1187648,0.06,10809
106,kolatigopinath,Pyramid Party of India,0,Graduate Professional,33,M,2272624.0,0,0,andhra_pradesh,nellore,2014,GEN,999,1187648,0.08,6298
107,mallivenkateswarlu,IND,0,12th Pass,39,M,5482100.0,0,0,andhra_pradesh,nellore,2014,GEN,686,1187648,0.06,10809
108,malyadriravulakollu,IND,0,Post Graduate,31,M,500.0,0,0,andhra_pradesh,nellore,2014,GEN,875,1187648,0.07,10809
109,medamallareddy,IND,0,5th Pass,63,M,1382000.0,0,0,andhra_pradesh,nellore,2014,GEN,820,1187648,0.07,10809
110,pattapuravi,BSP,0,Post Graduate,56,M,11400123.0,1725000,0,andhra_pradesh,nellore,2014,SC,3299,1187648,0.28,16651
111,chapalavenkatarao,IND,0,10th Pass,30,M,550000.0,0,0,andhra_pradesh,ongole,2014,GEN,879,1208225,0.07,10809
112,damamohanrao,IND,0,8th Pass,58,M,20896812.0,0,0,andhra_pradesh,ongole,2014,GEN,492,1208225,0.04,10809
113,gollapallikishorekumarreddy,Jai Samaikyandhra Party,0,Post Graduate,35,M,335000.0,0,0,andhra_pradesh,ongole,2014,GEN,3724,1208225,0.31,16138
114,kavurivenubabunaidu,IND,2,10th Pass,37,M,1151500.0,950000,0,andhra_pradesh,ongole,2014,GEN,3207,1208225,0.27,10809
115,pammivenkareddy,Pyramid Party of India,0,12th Pass,39,M,771307.0,0,0,andhra_pradesh,ongole,2014,GEN,1392,1208225,0.12,6298
116,pidaparthimadhusudhanareddy,IND,0,Graduate,34,M,160000.0,0,0,andhra_pradesh,ongole,2014,GEN,625,1208225,0.05,10809
117,muralimohanmaganti,TDP,1,12th Pass,73,M,180822216.0,12245000,1,andhra_pradesh,rajahmundry,2014,GEN,630573,1154381,54.62,8300
118,annamdevuladharmarao,IND,0,Illiterate,62,M,100000.0,0,0,andhra_pradesh,rajahmundry,2014,GEN,590,1154381,0.05,10809
119,bodduvenkataramanachowdary,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,39,M,356200864.0,13796000,0,andhra_pradesh,rajahmundry,2014,GEN,463139,1154381,40.12,8615
120,cheekatlavenkateswararao,IND,1,Graduate,46,M,40000.0,0,0,andhra_pradesh,rajahmundry,2014,GEN,1356,1154381,0.12,10809
121,illagovindarajan,IND,0,Others,36,M,5000.0,0,0,andhra_pradesh,rajahmundry,2014,GEN,1390,1154381,0.12,10809
122,kollabathularichmondcarey,Gareeb Aadmi Party,0,Graduate,40,M,1990000.0,133630,0,andhra_pradesh,rajahmundry,2014,GEN,5481,1154381,0.47,3076
123,marrebabji,BSP,0,Post Graduate,47,M,7260922.0,2150000,0,andhra_pradesh,rajahmundry,2014,SC,6079,1154381,0.53,16651
124,medasrinivas,Rashtriya Praja Congress (Secular),4,Graduate Professional,44,M,21005000.0,0,0,andhra_pradesh,rajahmundry,2014,GEN,991,1154381,0.09,6772
125,mullapudisatyanarayana,Jai Samaikyandhra Party,2,Post Graduate,43,M,5529128.0,795000,0,andhra_pradesh,rajahmundry,2014,GEN,11718,1154381,1.02,16138
126,mutyalarambabu,IND,0,Graduate,30,M,1752500.0,0,0,andhra_pradesh,rajahmundry,2014,GEN,1282,1154381,0.11,10809
127,pvmidhunreddy,Yuvajana Sramika Rythu Congress Party,1,Post Graduate,36,M,225984036.0,8183862,1,andhra_pradesh,rajampet,2014,GEN,601752,1158317,51.95,8615
128,annayyagarisaiprathap,INC,0,12th Pass,69,M,11011974.0,4332082,0,andhra_pradesh,rajampet,2014,GEN,29332,1158317,2.53,3482
129,gmujeebhussain,Jai Samaikyandhra Party,0,Graduate,56,M,39415000.0,1950000,0,andhra_pradesh,rajampet,2014,GEN,59777,1158317,5.16,16138
130,ndeva,Hindustan Janta Party,0,10th Pass,33,M,300000.0,0,0,andhra_pradesh,rajampet,2014,GEN,3896,1158317,0.34,10341
131,rammohannaidukinjarapu,TDP,0,Post Graduate,27,M,84173423.0,0,1,andhra_pradesh,srikakulam,2014,GEN,556545,1052115,52.9,8300
132,boddepallirajarao,BSP,0,10th Pass,47,M,4877532.0,0,0,andhra_pradesh,srikakulam,2014,GEN,8049,1052115,0.77,16651
133,jaidevinjarapu,AAP,0,Post Graduate,41,M,680000.0,0,0,andhra_pradesh,srikakulam,2014,GEN,2559,1052115,0.24,13
134,kadiyamjayalakshmi,Pyramid Party of India,0,Graduate,32,F,510000.0,0,0,andhra_pradesh,srikakulam,2014,GEN,5026,1052115,0.48,6298
135,killikruparani,INC,0,Graduate Professional,52,F,34705308.0,556693,0,andhra_pradesh,srikakulam,2014,GEN,24171,1052115,2.3,3482
136,kinjaraputejeswararao,IND,0,Post Graduate,31,M,640000.0,0,0,andhra_pradesh,srikakulam,2014,GEN,2075,1052115,0.2,10809
137,paidirajarao,Jai Samaikyandhra Party,0,Graduate,40,M,14090000.0,1455000,0,andhra_pradesh,srikakulam,2014,GEN,11423,1052115,1.09,16138
138,chintamohan,INC,0,Graduate Professional,59,M,11433300.0,2242572,0,andhra_pradesh,tirupati,2014,SC,33333,1213062,2.75,3482
139,degalasuryanarayana,Pyramid Party of India,0,Others,39,M,80000.0,0,0,andhra_pradesh,tirupati,2014,SC,2875,1213062,0.24,6298
140,druramachandrambbs,BSP,1,Graduate Professional,43,M,19006100.0,3000000,0,andhra_pradesh,tirupati,2014,SC,6036,1213062,0.5,16651
141,kalavapallisahadevaiah,IND,0,Graduate Professional,46,M,5440036.0,657242,0,andhra_pradesh,tirupati,2014,SC,2510,1213062,0.21,10809
142,kattamanchiprabhakar,IND,0,Post Graduate,46,M,194845.0,700000,0,andhra_pradesh,tirupati,2014,SC,1455,1213062,0.12,10809
143,kothapallisubramanyam,CPI(M),0,Graduate Professional,45,M,1426110.0,0,0,andhra_pradesh,tirupati,2014,SC,11168,1213062,0.92,14635
144,neeruguttanageswara,AAP,1,Graduate,26,M,264920.0,120000,0,andhra_pradesh,tirupati,2014,SC,7280,1213062,0.6,13
145,nunevengaiah,IND,0,Graduate,56,M,6766231.0,99000,0,andhra_pradesh,tirupati,2014,SC,1829,1213062,0.15,10809
146,avinashdevineni,INC,0,Post Graduate,26,M,228035761.0,6541922,0,andhra_pradesh,vijayawada,2014,GEN,39760,1195765,3.33,3482
147,bolisettyharibabu,IND,0,Illiterate,55,M,22785000.0,2700000,0,andhra_pradesh,vijayawada,2014,GEN,667,1195765,0.06,10809
148,chatragaddapratap,IND,0,12th Pass,25,M,1978000.0,292000,0,andhra_pradesh,vijayawada,2014,GEN,950,1195765,0.08,10809
149,dasarivenkatanagesh,IND,0,Graduate Professional,50,M,4290000.0,0,0,andhra_pradesh,vijayawada,2014,GEN,1874,1195765,0.16,10809
150,ishwaryalakshmichinnam,Jai Samaikyandhra Party,0,Post Graduate,35,F,22247950.0,0,0,andhra_pradesh,vijayawada,2014,GEN,5296,1195765,0.44,16138
151,drkambhampatiharibabu,BJP,0,Doctorate,60,M,90103580.0,1854856,1,andhra_pradesh,visakhapatnam,2014,GEN,566832,1163558,48.72,1605
152,brahmaswaroopkasibhatta,IND,0,Graduate Professional,48,M,25254386.0,2268000,0,andhra_pradesh,visakhapatnam,2014,GEN,994,1163558,0.09,10809
153,dadijyothibhavani,Pyramid Party of India,0,10th Pass,43,F,380000.0,0,0,andhra_pradesh,visakhapatnam,2014,GEN,2717,1163558,0.23,6298
154,durgaprasadguntu,IND,0,Graduate,45,M,2587000.0,200000,0,andhra_pradesh,visakhapatnam,2014,GEN,2611,1163558,0.22,10809
155,gedelakrishnarao,IND,0,Post Graduate,60,M,658118000.0,0,0,andhra_pradesh,visakhapatnam,2014,ST,1118,1163558,0.1,10809
156,imandivenkatakurmarao,BSP,0,Graduate Professional,43,M,4032000.0,400000,0,andhra_pradesh,visakhapatnam,2014,GEN,14947,1163558,1.28,16651
157,kunaramam,AAP,0,Post Graduate,51,M,29512350.0,480000,0,andhra_pradesh,visakhapatnam,2014,GEN,6175,1163558,0.53,13
158,kutikuppalasuryarao,IND,0,Doctorate,60,M,53726000.0,700000,0,andhra_pradesh,visakhapatnam,2014,GEN,1889,1163558,0.16,10809
159,sabbamhari,Jai Samaikyandhra Party,0,12th Pass,60,M,108270254.0,824380,0,andhra_pradesh,visakhapatnam,2014,GEN,6644,1163558,0.57,16138
160,ashokgajapathirajupusapati,TDP,0,10th Pass,62,M,39754644.0,0,1,andhra_pradesh,vizianagaram,2014,GEN,536549,1120316,47.89,8300
161,bonukrishna,BSP,1,12th Pass,50,M,485000.0,0,0,andhra_pradesh,vizianagaram,2014,SC,4092,1120316,0.37,16651
162,harikishankuppili,IND,0,Doctorate,37,M,860000.0,0,0,andhra_pradesh,vizianagaram,2014,GEN,3603,1120316,0.32,10809
163,jhansilakshmibotcha,INC,0,Doctorate,50,F,54824574.0,8849835,0,andhra_pradesh,vizianagaram,2014,GEN,122487,1120316,10.93,3482
164,narusimhadrinaidu,AAP,0,Post Graduate,58,M,2252790.0,50000,0,andhra_pradesh,vizianagaram,2014,GEN,2505,1120316,0.22,13
165,prasadaraonanda,Pyramid Party of India,0,Post Graduate,42,M,1281000.0,0,0,andhra_pradesh,vizianagaram,2014,GEN,6401,1120316,0.57,6298
166,ninongering,INC,0,Graduate,55,M,88065000.0,0,1,arunachal_pradesh,arunachal_east,2014,ST,118455,261291,45.33,3482
167,kirenrijiju,BJP,0,Graduate Professional,42,M,12539868.0,475000,1,arunachal_pradesh,arunachal_west,2014,ST,169367,335665,50.46,1605
168,gichokabak,NCP,0,10th Pass,49,M,400000.0,0,0,arunachal_pradesh,arunachal_west,2014,ST,6065,335665,1.81,5792
169,gumjumhaider,AITC,0,Graduate,36,M,8808016.0,0,0,arunachal_pradesh,arunachal_west,2014,ST,9135,335665,2.72,18228
170,habungpayeng,AAP,0,Post Graduate,56,M,14587055.0,0,0,arunachal_pradesh,arunachal_west,2014,ST,3647,335665,1.09,13
171,jalleysonam,PPA,0,10th Pass,33,M,4680000.0,0,0,arunachal_pradesh,arunachal_west,2014,ST,14664,335665,4.37,6028
172,birensinghengti,INC,0,Post Graduate,74,M,35367390.0,0,1,assam,autonomous_district,2014,ST,213152,543280,39.23,3482
173,ashwengjrengma,JMM,0,10th Pass,56,M,960000.0,0,0,assam,autonomous_district,2014,ST,9263,543280,1.71,4653
174,chomangkro,IND,0,Graduate,48,M,4122196.0,0,0,assam,autonomous_district,2014,ST,108299,543280,19.93,10809
175,joyramengleng,BJP,0,10th Pass,54,M,22032158.0,5096806,0,assam,autonomous_district,2014,ST,189057,543280,34.8,1605
176,pratimaengheepi,CPI(ML)L,0,Graduate,39,F,469165.0,365000,0,assam,autonomous_district,2014,ST,11762,543280,2.16,9890
177,abulawal,SP,0,12th Pass,42,M,1224844.0,379980,0,assam,barpeta,2014,GEN,3099,1205863,0.26,7425
178,barunkarmakar,IND,0,12th Pass,36,M,713000.0,0,0,assam,barpeta,2014,SC,1649,1205863,0.14,10809
179,bhadreswarbarman,IND,0,12th Pass,40,M,251000.0,0,0,assam,barpeta,2014,GEN,1695,1205863,0.14,10809
180,drpervezaliahmed,AITC,0,Graduate Professional,65,M,327895738.0,1163236,0,assam,barpeta,2014,GEN,10944,1205863,0.91,18228
