,Unnamed: 0,Election_Type,State_Name,Constituency_Name,Assembly_No,Constituency_No,Year,month,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Turnout_Percentage,Vote_Share_Percentage,Margin,Margin_Percentage,Party_ID,MyNeta_education
5579,5579,GE,rajasthan,jhalawar_baran,17,25,2019,4,1,dushyant,M,BJP,887400,GEN,1369868,1903870,71.95,64.78,453928,33.14,1605,Post Graduate
5580,5580,GE,rajasthan,jhalawar_baran,17,25,2019,4,2,pramodsharma,M,INC,433472,GEN,1369868,1903870,71.95,31.64,416392,30.4,3482,Graduate Professional
5581,5581,GE,rajasthan,jhalawar_baran,17,25,2019,4,3,nota,,NOTA,17080,,1369868,1903870,71.95,1.25,3742,0.27,5897,
5582,5582,GE,rajasthan,jhalawar_baran,17,25,2019,4,4,badreelal,M,BSP,13338,,1369868,1903870,71.95,0.97,5916,0.43,16651,Graduate Professional
5583,5583,GE,rajasthan,jhalawar_baran,17,25,2019,4,5,harishkumardhakar,M,IND,7422,,1369868,1903870,71.95,0.54,2315,0.17,10809,Graduate
5584,5584,GE,rajasthan,jhalawar_baran,17,25,2019,4,6,mohammadnasir,M,IND,5107,,1369868,1903870,71.95,0.37,1763,0.13,10809,8th Pass
5585,5585,GE,rajasthan,jhalawar_baran,17,25,2019,4,7,abdulqayyumsiddiqui,M,IND,3344,GEN,1369868,1903870,71.95,0.24,639,0.05,10809,Graduate
5586,5586,GE,rajasthan,jhalawar_baran,17,25,2019,4,8,princemeena,M,IND,2705,ST,1369868,1903870,71.95,0.2,0,0.0,10809,
5587,5587,GE,sikkim,sikkim,17,1,2019,4,1,indrahangsubba,M,SKM,166922,,351746,434128,81.02,47.46,12433,3.53,16569,Post Graduate
5588,5588,GE,sikkim,sikkim,17,1,2019,4,2,dekbahadurkatwal,M,SDF,154489,,351746,434128,81.02,43.92,137917,39.21,7925,Graduate Professional
5589,5589,GE,sikkim,sikkim,17,1,2019,4,3,latentsheringsherpa,M,BJP,16572,,351746,434128,81.02,4.71,12582,3.58,1605,5th Pass
5590,5590,GE,sikkim,sikkim,17,1,2019,4,4,bharatbasnett,M,INC,3990,,351746,434128,81.02,1.13,1711,0.49,3482,10th Pass
5591,5591,GE,sikkim,sikkim,17,1,2019,4,5,nota,,NOTA,2279,,351746,434128,81.02,0.65,276,0.08,5897,
5592,5592,GE,sikkim,sikkim,17,1,2019,4,6,passanggyalisherpa,M,IND,2003,,351746,434128,81.02,0.57,5,0.0,10809,8th Pass
5593,5593,GE,sikkim,sikkim,17,1,2019,4,7,birajadhikari,M,HMSKP,1998,GEN,351746,434128,81.02,0.57,495,0.14,17265,Graduate Professional
