,Unnamed: 0,Unnamed: 0.1,Election_Type,State_Name,Assembly_No,Constituency_No,Year,month,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Margin,Margin_Percentage,Party_ID,MyNeta_education
2938,2938,2938,GE,karnataka,15,23,2013,,2,anithakumaraswamy,,JD(S),441601,,1053358,2024717,bangalore_rural,52.02,41.92,432202,41.03,10979,
7839,7839,7839,GE,uttarakhand,15,1,2009,4.0,13,anjanawalia,F,RJSD,1142,GEN,584075,1159691,tehri_garhwal,50.36,0.2,100,0.02,6483,Post Graduate
1031,1031,1031,GE,bihar,15,30,2009,4.0,16,anjanikumar,M,IND,773,GEN,552416,1641976,patna_sahib,33.64,0.14,0,0.0,10809,Post Graduate
2487,2487,2487,GE,jharkhand,15,8,2009,4.0,13,anjanipandey,M,IND,2426,GEN,724106,1625148,ranchi,44.56,0.34,164,0.02,10809,Graduate Professional
6248,6248,6248,GE,telangana,15,8,2009,4.0,1,anjankumaryadav,M,INC,340549,GEN,865038,1574818,secunderabad,54.93,39.37,170167,19.67,3482,
7511,7511,7511,GE,uttar_pradesh,15,62,2009,4.0,9,anju,F,IND,8163,GEN,800921,1694453,sant_kabir_nagar,47.27,1.02,2013,0.25,10809,12th Pass
3537,3537,3537,GE,madhya_pradesh,15,15,2009,4.0,17,anjuashokuikey,F,IND,2143,ST,756541,1339239,balaghat,56.49,0.28,216,0.03,10809,12th Pass
6593,6593,6593,GE,uttar_pradesh,15,9,2009,4.0,17,anjulanagpal,F,IND,1074,GEN,706365,1173915,amroha,60.17,0.15,59,0.01,10809,Graduate
5584,5584,5584,GE,tamil_nadu,15,10,2009,4.0,14,annaduraik,M,UMK,2434,GEN,778102,1069601,dharmapuri,72.75,0.31,23,0.0,13032,Not Given
5693,5693,5693,GE,tamil_nadu,15,15,2009,4.0,11,annaduraim,M,AIVP,2041,SC,895554,1171839,salem,76.42,0.23,209,0.02,457,Not Given
5892,5892,5892,GE,tamil_nadu,15,23,2009,4.0,36,annaduraivm,M,IND,355,GEN,824802,1012924,karur,81.43,0.04,60,0.01,10809,Graduate Professional
5937,5937,5937,GE,tamil_nadu,15,25,2009,4.0,19,annalakshmis,F,IND,742,GEN,832216,1049033,perambalur,79.33,0.09,24,0.0,10809,5th Pass
6117,6117,6117,GE,tamil_nadu,15,38,2009,4.0,2,annamalaik,M,ADMK,253629,GEN,700788,1059687,tirunelveli,66.13,36.19,159067,22.7,930,10th Pass
5517,5517,5517,GE,tamil_nadu,15,7,2009,4.0,7,annamalaisc,M,AIVP,4305,GEN,853116,1098607,arakkonam,77.65,0.5,221,0.03,457,Literate
175,175,175,GE,andhra_pradesh,15,14,2009,4.0,12,annamrajuvenugopalamadhavarao,M,IND,1106,GEN,1081754,1360431,narasaraopet,79.52,0.1,36,0.0,10809,10th Pass
349,349,349,GE,andhra_pradesh,15,24,2009,4.0,1,annayyagarisaiprathap,M,INC,423910,GEN,995648,1311449,rajampet,75.92,42.58,110377,11.09,3482,Post Graduate
6970,6970,6970,GE,uttar_pradesh,15,33,2009,4.0,1,annutandon,F,INC,475476,GEN,904542,1818980,unnao,49.73,52.57,302092,33.4,3482,Graduate
7433,7433,7433,GE,uttar_pradesh,15,57,2009,4.0,22,anokhilal,M,IND,1287,SC,565641,1376267,kaiserganj,41.1,0.23,243,0.04,10809,Literate
7797,7797,7797,GE,uttar_pradesh,15,79,2009,4.0,8,anoopkumar,M,IND,9127,GEN,732855,1405539,mirzapur,52.14,1.25,2183,0.3,10809,Post Graduate
1233,1233,1233,GE,chhattisgarh,15,1,2009,4.0,5,anoopminj,M,JMM,15021,ST,805202,1306822,sarguja,61.62,1.87,3354,0.42,4653,Post Graduate
2077,2077,2077,GE,haryana,15,4,2011,,25,anoopsingh,,IND,477,,916480,1194689,hisar,76.71,0.05,16,0.0,10809,
2098,2098,2098,GE,haryana,15,5,2009,4.0,6,anoopsingh,M,IND,3494,GEN,811029,1216977,karnal,66.64,0.43,115,0.01,10809,10th Pass
1795,1795,1795,GE,gujarat,15,11,2013,,4,anpandya,,IND,4439,,452560,1495066,porbandar,30.27,0.98,1587,0.35,10809,
3190,3190,3190,GE,kerala,15,12,2009,4.0,3,anradhakrishnan,M,BJP,52968,GEN,744869,1023053,ernakulam,72.81,7.11,48885,6.56,1605,Graduate
2705,2705,2705,GE,karnataka,15,8,2009,4.0,3,ansariiqbal,M,JD(S),180380,GEN,754684,1363431,koppal,55.35,23.9,168488,22.33,10979,12th Pass
3746,3746,3746,GE,maharashtra,15,2,2009,4.0,13,ansarimohdismailmohdibrahim,M,BMSM,1343,GEN,669906,1575225,dhule,42.53,0.2,13,0.0,1731,Graduate
4503,4503,4503,GE,maharashtra,15,44,2009,4.0,6,ansarishabbirahemad,M,IND,5221,GEN,776830,1490571,sangli,52.12,0.67,263,0.03,10809,Graduate
7255,7255,7255,GE,uttar_pradesh,15,48,2009,4.0,15,anshdhari,M,IND,1667,GEN,619218,1386265,banda,44.67,0.27,0,0.0,10809,Others
7265,7265,7265,GE,uttar_pradesh,15,49,2009,4.0,10,anshumansinghadvocate,M,IND,6031,GEN,694383,1536621,fatehpur,45.19,0.87,202,0.03,10809,Post Graduate
3241,3241,3241,GE,kerala,15,17,2009,4.0,1,antoantony,M,INC,408232,GEN,797154,1213370,pathanamthitta,65.7,51.21,111206,13.95,3482,Graduate
3246,3246,3246,GE,kerala,15,17,2009,4.0,6,antoantonytholanickal,M,IND,2346,GEN,797154,1213370,pathanamthitta,65.7,0.29,147,0.02,10809,
3225,3225,3225,GE,kerala,15,14,2009,4.0,18,antopjohn,M,IND,294,GEN,807820,1095242,kottayam,73.76,0.04,6,0.0,10809,Graduate
1302,1302,1302,GE,chhattisgarh,15,5,2009,4.0,18,anujdhritlahre,M,IND,1234,SC,770024,1472793,bilaspur,52.28,0.16,74,0.01,10809,5th Pass
2036,2036,2036,GE,haryana,15,4,2009,4.0,22,anup,M,IND,896,GEN,828461,1194689,hisar,69.35,0.11,98,0.01,10809,Doctorate
7004,7004,7004,GE,uttar_pradesh,15,35,2009,4.0,7,anupammishra,M,SWPI,1230,GEN,584051,1653123,lucknow,35.33,0.21,6,0.0,12962,Graduate
6851,6851,6851,GE,uttar_pradesh,15,23,2009,4.0,8,anupamsharma,M,IND,4128,GEN,737308,1405695,badaun,52.45,0.56,1905,0.26,10809,Not Given
6917,6917,6917,GE,uttar_pradesh,15,28,2009,4.0,12,anupamverma,M,AD,1949,GEN,707960,1297088,kheri,54.58,0.28,0,0.0,954,Not Given
8278,8278,8278,GE,west_bengal,15,38,2009,4.0,1,anupkumarsaha,M,CPM,531987,SC,1124373,1289311,bardhaman_purba,87.21,47.31,59419,5.28,14635,Post Graduate
2146,2146,2146,GE,haryana,15,7,2009,4.0,10,anupsinghmatanhel,M,IND,1532,GEN,835925,1274972,rohtak,65.56,0.18,435,0.05,10809,10th Pass
6473,6473,6473,GE,uttar_pradesh,15,3,2009,4.0,2,anuradhachaudhary,F,RLD,254720,GEN,745001,1370117,muzaffarnagar,54.37,34.19,148053,19.87,12169,Graduate
7457,7457,7457,GE,uttar_pradesh,15,59,2009,4.0,12,anuradhapatel,F,IND,3828,GEN,605243,1341455,gonda,45.12,0.63,445,0.07,10809,Literate
7792,7792,7792,GE,uttar_pradesh,15,79,2009,4.0,3,anuragsingh,M,BJP,139686,GEN,732855,1405539,mirzapur,52.14,19.06,83501,11.39,1605,Post Graduate
2249,2249,2249,GE,himachal_pradesh,15,3,2009,4.0,1,anuragsinghthakur,M,BJP,373598,GEN,698739,1187377,hamirpur,58.85,53.47,72732,10.41,1605,Graduate
7131,7131,7131,GE,uttar_pradesh,15,41,2009,4.0,6,anversingh,M,IND,3547,SC,637920,1416867,etawah,45.02,0.56,1538,0.24,10809,10th Pass
6651,6651,6651,GE,uttar_pradesh,15,12,2009,4.0,10,anwarahmed,M,NBNP,910,GEN,829823,1831688,ghaziabad,45.3,0.11,126,0.02,16966,Not Given
417,417,417,GE,assam,15,4,2009,4.0,2,anwarhussain,M,INC,356401,GEN,1046983,1371949,dhubri,76.31,34.04,274784,26.25,3482,Graduate Professional
2833,2833,2833,GE,karnataka,15,16,2009,4.0,4,apahamed,M,BSP,23002,GEN,980348,1417213,hassan,69.17,2.35,8555,0.87,16651,5th Pass
6295,6295,6295,GE,telangana,15,10,2009,4.0,2,apjithenderreddy,M,TDP,402275,GEN,1085000,1681664,chevella,64.52,37.08,289574,26.69,8300,
29,29,29,GE,andhra_pradesh,15,3,2009,4.0,2,appalanaidukondapalli,M,TDP,351013,GEN,1019825,1323238,vizianagaram,77.07,34.42,178979,17.55,8300,Graduate Professional
42,42,42,GE,andhra_pradesh,15,4,2009,4.0,6,apparaogolagana,M,IND,9670,GEN,1012261,1387482,visakhapatnam,72.96,0.96,832,0.08,10809,Graduate
17,17,17,GE,andhra_pradesh,15,1,2009,4.0,7,apparaokinjedi,M,IND,15851,ST,792367,1182514,aruku,67.01,2.0,1965,0.25,10809,Post Graduate
55,55,55,GE,andhra_pradesh,15,5,2009,4.0,4,apparaokirla,M,BJP,18493,GEN,1048154,1331695,anakapalli,78.71,1.76,6171,0.59,1605,Others
5831,5831,5831,GE,tamil_nadu,15,21,2009,4.0,16,appasks,M,IND,1406,GEN,771479,1017811,pollachi,75.8,0.18,76,0.01,10809,5th Pass
146,146,146,GE,andhra_pradesh,15,12,2009,4.0,13,appikatlajawahar,M,IND,1931,GEN,1088297,1402315,vijayawada,77.61,0.18,47,0.0,10809,
8008,8008,8008,GE,west_bengal,15,9,2012,,10,apurbasarkar,,IND,2386,,853392,1087054,jangipur,78.51,0.28,598,0.07,10809,
8088,8088,8088,GE,west_bengal,15,19,2009,4.0,6,arabindahalder,M,BSP,9209,SC,915836,1143640,joynagar,80.08,1.01,354,0.04,16651,Graduate
8202,8202,8202,GE,west_bengal,15,28,2009,4.0,9,arabindasen,M,SP,4894,GEN,1162644,1405684,hooghly,82.71,0.42,0,0.0,7425,Graduate Professional
4005,4005,4005,GE,maharashtra,15,16,2009,4.0,20,araeesajabbar,M,ANC,1635,GEN,774590,1439015,nanded,53.83,0.21,93,0.01,840,Literate
4729,4729,4729,GE,odisha,15,20,2009,4.0,8,araghunathvarma,M,IND,6203,GEN,710923,1207552,berhampur,58.87,0.87,2075,0.29,10809,Post Graduate
4754,4754,4754,GE,puducherry,15,1,2009,4.0,18,arajasekar,M,LJP,656,GEN,607948,762440,puducherry,79.74,0.11,29,0.0,5029,
4463,4463,4463,GE,maharashtra,15,41,2009,4.0,12,arakashokvikram,M,KM,2307,SC,829393,1509987,latur,54.93,0.28,131,0.02,11376,Graduate
2656,2656,2656,GE,karnataka,15,4,2009,4.0,9,arakerinirmalasrinivas,F,IND,3573,SC,649631,1373604,bijapur,47.29,0.55,303,0.05,10809,Post Graduate
2723,2723,2723,GE,karnataka,15,9,2009,4.0,3,aramanjanappa,M,IND,16167,ST,860869,1401258,bellary,61.44,1.88,1455,0.17,10809,Post Graduate
2785,2785,2785,GE,karnataka,15,13,2009,4.0,19,arameshhuli,M,IND,1118,ST,907277,1344920,davanagere,67.46,0.12,96,0.01,10809,
5437,5437,5437,GE,tamil_nadu,15,4,2009,4.0,16,arasakumarms,M,IND,526,GEN,610352,1000705,chennai_central,60.99,0.09,23,0.0,10809,Graduate Professional
7106,7106,7106,GE,uttar_pradesh,15,39,2009,4.0,20,arashidansari,M,MC,2281,GEN,641003,1435159,pratapgarh,44.66,0.36,382,0.06,5444,Graduate
647,647,647,GE,bihar,15,8,2009,4.0,16,arbindkumar,M,IND,3193,GEN,697659,1279549,supaul,54.52,0.46,0,0.0,10809,Post Graduate
4702,4702,4702,GE,odisha,15,18,2009,4.0,3,archananayak,F,BJP,93980,GEN,711041,1447002,bhubaneswar,49.14,13.22,71655,10.08,1605,Post Graduate
1146,1146,1146,GE,bihar,15,37,2009,4.0,4,archnachandra,F,BSP,45173,GEN,598309,1376323,aurangabad,43.47,7.55,37219,6.22,16651,Not Given
6170,6170,6170,GE,telangana,15,2,2009,4.0,3,arepellidavidraju,M,PRAP,175605,SC,904084,1315642,peddapalle,68.72,19.42,107769,11.92,6132,
7918,7918,7918,GE,west_bengal,15,1,2009,4.0,2,arghyaroypradhan,M,AITC,466928,SC,1121043,1329086,coochbehar,84.35,41.65,401603,35.82,18228,Graduate
3748,3748,3748,GE,maharashtra,15,2,2009,4.0,15,arifahmedshaikhjafhar,M,NBNP,955,GEN,669906,1575225,dhule,42.53,0.14,0,0.0,16966,8th Pass
6565,6565,6565,GE,uttar_pradesh,15,7,2009,4.0,16,arifsikandarurfrajumian,M,IND,511,GEN,606177,1154544,rampur,52.5,0.08,0,0.0,10809,5th Pass
21,21,21,GE,andhra_pradesh,15,1,2009,4.0,11,arikagumpaswamy,M,IND,7791,ST,792367,1182514,aruku,67.01,0.98,0,0.0,10809,
6017,6017,6017,GE,tamil_nadu,15,31,2009,4.0,11,arimazhamthiyagisubramanianmutharaiyarm,M,IND,2334,GEN,775253,1092438,sivaganga,70.97,0.3,313,0.04,10809,Not Given
5545,5545,5545,GE,tamil_nadu,15,8,2009,4.0,15,ariudainambid,M,IND,1059,GEN,723529,1010067,vellore,71.63,0.15,41,0.01,10809,12th Pass
5985,5985,5985,GE,tamil_nadu,15,28,2009,4.0,22,arivalagans,M,IND,627,SC,799580,1091519,mayiladuthurai,73.25,0.08,17,0.0,10809,Not Given
5590,5590,5590,GE,tamil_nadu,15,10,2009,4.0,20,arivazhaganp,M,IND,1285,GEN,778102,1069601,dharmapuri,72.75,0.17,387,0.05,10809,12th Pass
5434,5434,5434,GE,tamil_nadu,15,4,2009,4.0,13,arivudainambin,M,IND,839,GEN,610352,1000705,chennai_central,60.99,0.14,167,0.03,10809,12th Pass
2579,2579,2579,GE,jharkhand,15,12,2009,4.0,15,arjunbhagat,M,IND,2799,ST,522378,981666,lohardaga,53.21,0.54,0,0.0,10809,Post Graduate
1941,1941,1941,GE,gujarat,15,23,2009,4.0,11,arjunbhaibhaljibhaichaudhari,M,IND,2496,ST,832542,1440215,bardoli,57.81,0.3,152,0.02,10809,Graduate
4628,4628,4628,GE,odisha,15,7,2009,4.0,1,arjuncharansethi,M,BJD,416808,SC,929162,1372356,bhadrak,67.71,44.86,54938,5.91,9079,Post Graduate
6923,6923,6923,GE,uttar_pradesh,15,29,2009,4.0,6,arjunlal,M,CPI(ML)(L),4891,SC,759532,1269584,dhaurahra,59.83,0.64,783,0.1,2472,Graduate
1203,1203,1203,GE,bihar,15,40,2009,4.0,8,arjunmanjhi,M,JGP,7457,SC,535282,1404016,jamui,38.13,1.39,1188,0.22,4007,8th Pass
2501,2501,2501,GE,jharkhand,15,9,2009,4.0,1,arjunmunda,M,BJP,319620,ST,705568,1380279,jamshedpur,51.12,45.3,119663,16.96,1605,Graduate Professional
2366,2366,2366,GE,jharkhand,15,2,2009,4.0,10,arjunpujhar,M,SP,9112,ST,622012,1128361,dumka,55.13,1.46,1125,0.18,7425,Not Given
4998,4998,4998,GE,rajasthan,15,2,2009,4.0,1,arjunrammeghwal,M,BJP,244537,SC,569804,1381203,bikaner,41.25,42.92,19575,3.44,1605,Post Graduate
591,591,591,GE,bihar,15,5,2009,4.0,1,arjunroy,M,JD(U),232782,GEN,576748,1355817,sitamarhi,42.54,40.36,110566,19.17,11002,Doctorate
8302,8302,8302,GE,west_bengal,15,41,2009,4.0,3,arjunsaha,M,BJP,70084,SC,1078811,1307730,bolpur,82.49,6.5,48759,4.52,1605,Graduate
872,872,872,GE,bihar,15,22,2009,4.0,9,arjunsahani,M,IND,6838,GEN,564199,1229327,ujiarpur,45.89,1.21,311,0.06,10809,8th Pass
1301,1301,1301,GE,chhattisgarh,15,5,2009,4.0,17,arjunshrivasganguaa,M,IND,1338,GEN,770024,1472793,bilaspur,52.28,0.17,104,0.01,10809,Not Given
2909,2909,2909,GE,karnataka,15,22,2009,4.0,2,arkrishnamurthy,M,BJP,365968,SC,973693,1433825,chamarajanagar,67.91,37.59,259092,26.61,1605,
4572,4572,4572,GE,meghalaya,15,2,2009,4.0,4,arlenensangma,F,IND,10976,ST,342187,505774,tura,67.66,3.21,0,0.0,10809,Graduate
5944,5944,5944,GE,tamil_nadu,15,26,2009,4.0,5,arokiyadossc,M,BSP,8269,GEN,749394,986030,cuddalore,76.0,1.1,2777,0.37,16651,Others
462,462,462,GE,assam,15,8,2009,4.0,8,aroonbarooa,M,IND,6108,GEN,988533,1416682,mangaldoi,69.78,0.62,599,0.06,10809,Graduate
4240,4240,4240,GE,maharashtra,15,29,2009,4.0,18,arorarakeshvishwanath,M,IND,537,GEN,664647,1681985,mumbai_north_central,39.52,0.08,13,0.0,10809,10th Pass
7641,7641,7641,GE,uttar_pradesh,15,70,2009,4.0,2,arshadjamalansari,M,SP,159750,GEN,765865,1693231,ghosi,45.23,20.86,9508,1.24,7425,Post Graduate
2906,2906,2906,GE,karnataka,15,21,2009,4.0,11,arshadullashariff,M,BPJP,2457,GEN,973878,1653991,mysore,58.88,0.25,157,0.02,1758,Not Given
2482,2482,2482,GE,jharkhand,15,8,2009,4.0,8,artibehra,F,IND,3959,GEN,724106,1625148,ranchi,44.56,0.55,310,0.04,10809,10th Pass
5923,5923,5923,GE,tamil_nadu,15,25,2009,4.0,5,arulmanic,M,AIVP,4652,GEN,832216,1049033,perambalur,79.33,0.56,932,0.11,457,Literate
5887,5887,5887,GE,tamil_nadu,15,23,2009,4.0,31,arulrajkumarr,M,IND,465,GEN,824802,1012924,karur,81.43,0.06,52,0.01,10809,Graduate Professional
6146,6146,6146,GE,tamil_nadu,15,39,2009,4.0,10,arulthumiland,M,LJP,2812,GEN,765661,1178047,kanniyakumari,64.99,0.37,364,0.05,5029,Graduate Professional
5614,5614,5614,GE,tamil_nadu,15,11,2009,4.0,23,arumugamaa,M,IND,753,GEN,840545,1052587,tiruvannamalai,79.86,0.09,6,0.0,10809,10th Pass
5370,5370,5370,GE,tamil_nadu,15,2,2009,4.0,21,arumugamk,M,IND,509,GEN,659889,1016663,chennai_north,64.91,0.08,7,0.0,10809,10th Pass
5789,5789,5789,GE,tamil_nadu,15,19,2009,4.0,13,arumugamp,M,IND,1244,SC,709705,1003168,nilgiris,70.75,0.18,40,0.01,10809,Not Given
4756,4756,4756,GE,puducherry,15,1,2009,4.0,20,arunachalamk,M,IND,597,SC,607948,762440,puducherry,79.74,0.1,27,0.0,10809,
5810,5810,5810,GE,tamil_nadu,15,20,2009,4.0,20,arunachalamkv,M,IND,1237,GEN,824047,1163781,coimbatore,70.81,0.15,149,0.02,10809,10th Pass
6133,6133,6133,GE,tamil_nadu,15,38,2009,4.0,18,arunachalamm,M,IND,912,GEN,700788,1059687,tirunelveli,66.13,0.13,23,0.0,10809,5th Pass
4541,4541,4541,GE,maharashtra,15,48,2009,4.0,6,arunaliasshambajarangbuchade,M,IND,5284,GEN,978202,1458560,hatkanangle,67.07,0.54,1297,0.13,10809,12th Pass
4314,4314,4314,GE,maharashtra,15,34,2009,4.0,5,arunbhatia,M,PG,30340,GEN,734641,1806953,pune,40.66,4.13,27252,3.71,11876,Post Graduate
8127,8127,8127,GE,west_bengal,15,23,2009,4.0,10,arunbiswas,M,IND,1984,GEN,1007225,1505638,kolkata_dakshin,66.9,0.2,310,0.03,10809,Graduate
6427,6427,6427,GE,tripura,15,1,2009,4.0,5,arunchandrabhaumik,M,AITC,5504,GEN,937517,1093799,tripura_west,85.71,0.59,876,0.09,18228,Post Graduate
418,418,418,GE,assam,15,4,2009,4.0,3,arundas,M,RWS,81617,GEN,1046983,1371949,dhubri,76.31,7.8,61289,5.85,6394,10th Pass
4620,4620,4620,GE,odisha,15,6,2009,4.0,2,arundey,M,NCP,274988,GEN,892262,1269342,balasore,70.29,30.82,55080,6.17,5792,Graduate Professional
2777,2777,2777,GE,karnataka,15,13,2009,4.0,11,arundiningappa,M,IND,2081,GEN,907277,1344920,davanagere,67.46,0.23,207,0.02,10809,Graduate
5882,5882,5882,GE,tamil_nadu,15,23,2009,4.0,26,arung,M,IND,581,SC,824802,1012924,karur,81.43,0.07,74,0.01,10809,Post Graduate
1358,1358,1358,GE,chhattisgarh,15,8,2009,4.0,17,arunharpal,M,IND,937,SC,741861,1578868,raipur,46.99,0.13,5,0.0,10809,5th Pass
4622,4622,4622,GE,odisha,15,6,2009,4.0,4,arunjena,M,JMM,25577,SC,892262,1269342,balasore,70.29,2.87,92,0.01,4653,Post Graduate
4388,4388,4388,GE,maharashtra,15,37,2009,4.0,15,arunkahar,M,IND,1147,GEN,786980,1517951,ahmadnagar,51.84,0.15,0,0.0,10809,
5658,5658,5658,GE,tamil_nadu,15,14,2009,4.0,5,arunkennedia,M,IND,13216,GEN,854955,1106352,kallakurichi,77.28,1.55,5005,0.59,10809,10th Pass
914,914,914,GE,bihar,15,24,2009,4.0,18,arunkumar,M,IND,3003,SC,718265,1473263,begusarai,48.75,0.42,230,0.03,10809,10th Pass
996,996,996,GE,bihar,15,29,2009,4.0,6,arunkumar,M,IND,10676,GEN,568219,1719503,nalanda,33.05,1.88,1162,0.2,10809,12th Pass
7101,7101,7101,GE,uttar_pradesh,15,39,2009,4.0,15,arunkumar,M,SJP(R),3013,GEN,641003,1435159,pratapgarh,44.66,0.47,295,0.05,7408,12th Pass
7445,7445,7445,GE,uttar_pradesh,15,58,2009,4.0,11,arunkumar,M,ANC,3436,GEN,605386,1405884,shrawasti,43.06,0.57,0,0.0,840,Post Graduate
6809,6809,6809,GE,uttar_pradesh,15,20,2009,,16,arunkumar,M,IND,642,,787130,1422688,firozabad,55.33,0.08,0,0.0,10809,
2889,2889,2889,GE,karnataka,15,20,2013,,3,arunkumara,,IND,10115,,942451,1618142,mandya,58.24,1.07,1039,0.11,10809,
7954,7954,7954,GE,west_bengal,15,4,2009,4.0,9,arunkumaragarwal,M,IND,3227,GEN,966371,1215464,darjeeling,79.51,0.33,541,0.06,10809,12th Pass
8070,8070,8070,GE,west_bengal,15,17,2009,4.0,4,arunkumarbiswas,M,BSP,18381,SC,1025539,1226654,barasat,83.6,1.79,9220,0.9,16651,Graduate Professional
8226,8226,8226,GE,west_bengal,15,32,2009,4.0,6,arunkumardas,M,JMM,5333,GEN,1169934,1354861,ghatal,86.35,0.46,1818,0.16,4653,12th Pass
6605,6605,6605,GE,uttar_pradesh,15,10,2009,4.0,9,arunkumarjain,M,NCP,2505,GEN,727711,1508788,meerut,48.23,0.34,618,0.08,5792,Graduate
477,477,477,GE,assam,15,9,2009,4.0,10,arunkumarmurmoo,M,BVM,5645,GEN,843014,1210132,tezpur,69.66,0.67,398,0.05,9678,Graduate
6101,6101,6101,GE,tamil_nadu,15,36,2009,4.0,10,arunkumarpuviarasus,M,IND,956,GEN,656163,949153,thoothukkudi,69.13,0.15,43,0.01,10809,Post Graduate
7630,7630,7630,GE,uttar_pradesh,15,69,2009,4.0,7,arunkumarsingh,M,CPM,7088,GEN,704863,1578854,azamgarh,44.64,1.01,1635,0.23,14635,Graduate Professional
7176,7176,7176,GE,uttar_pradesh,15,44,2009,4.0,3,arunkumartiwaribaba,M,BJP,136907,GEN,637254,1461050,akbarpur,43.62,21.48,22087,3.47,1605,8th Pass
2403,2403,2403,GE,jharkhand,15,4,2009,4.0,5,arunkumaryadav,M,JD(U),46088,GEN,473947,1037665,chatra,45.67,9.72,12370,2.61,11002,Graduate
585,585,585,GE,bihar,15,4,2009,4.0,10,arunsah,M,BLPGL,3359,GEN,572269,1269056,sheohar,45.09,0.59,170,0.03,9417,Literate
3872,3872,3872,GE,maharashtra,15,10,2009,4.0,8,arunshamraojoshi,M,ABHM,2257,GEN,755369,1738920,nagpur,43.44,0.3,0,0.0,268,Post Graduate
6971,6971,6971,GE,uttar_pradesh,15,33,2009,4.0,2,arunshankarshukla,M,BSP,173384,GEN,904542,1818980,unnao,49.73,19.17,28245,3.12,16651,10th Pass
1050,1050,1050,GE,bihar,15,32,2009,4.0,3,arunsingh,M,CPI(ML)(L),115966,GEN,556351,1555122,arrah,35.78,20.84,94278,16.95,2472,10th Pass
4981,4981,4981,GE,punjab,15,13,2009,4.0,13,arunsood,M,IND,687,GEN,936005,1344864,patiala,69.6,0.07,2,0.0,10809,12th Pass
3698,3698,3698,GE,madhya_pradesh,15,28,2009,4.0,1,arunsubhashchandrayadav,M,INC,394241,GEN,812414,1355325,khandwa,59.94,48.53,49081,6.04,3482,Graduate
5461,5461,5461,GE,tamil_nadu,15,5,2009,4.0,3,arunsubramanianm,M,DMDK,84530,GEN,794052,1201237,sriperumbudur,66.1,10.65,80047,10.08,2956,Graduate Professional
6916,6916,6916,GE,uttar_pradesh,15,28,2009,4.0,11,arvind,M,IND,2585,GEN,707960,1297088,kheri,54.58,0.37,636,0.09,10809,Graduate
6666,6666,6666,GE,uttar_pradesh,15,13,2009,4.0,9,arvind,M,ANC,1672,GEN,738984,1522397,gautam_budhha_nagar,48.54,0.23,17,0.0,840,Graduate
1775,1775,1775,GE,gujarat,15,10,2009,4.0,18,arvindbhaijadavjibhairathod,M,IND,935,GEN,649606,1455072,rajkot,44.64,0.14,33,0.01,10809,Literate
3381,3381,3381,GE,madhya_pradesh,15,5,2009,4.0,6,arvinddangi,M,PRSP,6374,GEN,570321,1185166,sagar,48.12,1.12,3984,0.7,6192,Literate
1550,1550,1550,GE,delhi,15,5,2009,4.0,10,arvindkataria,M,AIBS,1217,SC,857543,1798181,north_west_delhi,47.69,0.14,313,0.04,8828,Graduate
7086,7086,7086,GE,uttar_pradesh,15,38,2009,4.0,16,arvindkumar,M,IND,1846,GEN,707855,1430955,sultanpur,49.47,0.26,0,0.0,10809,12th Pass
6899,6899,6899,GE,uttar_pradesh,15,27,2009,4.0,9,arvindkumar,M,RSMD,4291,SC,792508,1627964,shahjahanpur,48.68,0.54,988,0.12,6825,Literate
7487,7487,7487,GE,uttar_pradesh,15,61,2009,4.0,1,arvindkumarchaudhary,M,BSP,268666,GEN,773779,1570657,basti,49.26,34.72,105210,13.6,16651,12th Pass
7687,7687,7687,GE,uttar_pradesh,15,72,2009,4.0,7,arvindkumargond,M,GGP,4738,ST,677729,1679029,ballia,40.36,0.7,1965,0.29,3129,Post Graduate
566,566,566,GE,bihar,15,3,2009,4.0,3,arvindkumargupta,M,INC,68323,GEN,481874,1187264,purvi_champaran,40.59,14.18,37266,7.73,3482,Post Graduate
967,967,967,GE,bihar,15,27,2009,4.0,13,arvindkumarsah,M,RPP,2614,GEN,652208,1338025,banka,48.74,0.4,450,0.07,12352,Doctorate
2093,2093,2093,GE,haryana,15,5,2009,4.0,1,arvindkumarsharma,M,INC,304698,GEN,811029,1216977,karnal,66.64,37.57,76346,9.41,3482,Post Graduate
2503,2503,2503,GE,jharkhand,15,9,2009,4.0,3,arvindkumarsingh,M,JVM,79089,GEN,705568,1380279,jamshedpur,51.12,11.21,41689,5.91,4736,Graduate
1125,1125,1125,GE,bihar,15,36,2009,4.0,8,arvindprasadsingh,M,IND,3972,GEN,599200,1276912,jahanabad,46.93,0.66,430,0.07,10809,Post Graduate
2027,2027,2027,GE,haryana,15,4,2009,4.0,13,aryakrishan,M,IND,1377,GEN,828461,1194689,hisar,69.35,0.17,66,0.01,10809,
2102,2102,2102,GE,haryana,15,5,2009,4.0,10,aryasushilgarg,M,IND,2031,GEN,811029,1216977,karnal,66.64,0.25,372,0.05,10809,
4022,4022,4022,GE,maharashtra,15,17,2009,4.0,15,asadbinabdullahabin,M,IND,3641,GEN,870726,1610088,parbhani,54.08,0.42,143,0.02,10809,Literate
361,361,361,GE,andhra_pradesh,15,24,2009,4.0,13,asadivenkatadri,M,IND,1520,SC,995648,1311449,rajampet,75.92,0.15,75,0.01,10809,
