Sno,Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,Winner,State,Constituency
1,Bishnu Pada Ray   Winner ,BJP, 1 ,Graduate,64,"Rs 56,58,980 ~ 56 Lacs+","Rs 1,75,115 ~ 1 Lacs+",1,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
2,A Pandian,AIFB,0,12th Pass,41,"Rs 8,59,410 ~ 8 Lacs+","Rs 3,50,000 ~ 3 Lacs+",0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
3,Anita Mondal,AITC, 1 ,Graduate,48,"Rs 54,71,073 ~ 54 Lacs+","Rs 6,000 ~ 6 Thou+",0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
4,C G Saji Kumar,IND,0,12th Pass,41,"Rs 50,000 ~ 50 Thou+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
5,Gaur Chandra Majumder,BSP,0,Graduate,47,"Rs 31,92,819 ~ 31 Lacs+","Rs 6,88,689 ~ 6 Lacs+",0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
6,K.g.das,CPI(M),0,12th Pass,70,"Rs 42,21,392 ~ 42 Lacs+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
7,Kuldeep Rai Sharma,INC,0,Graduate Professional,46,"Rs 3,15,94,826 ~ 3 Crore+","Rs 50,34,619 ~ 50 Lacs+",0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
8,N K P Nair,CPI(ML)L,0,10th Pass,59,"Rs 52,87,805 ~ 52 Lacs+","Rs 43,642 ~ 43 Thou+",0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
9,N Kannan,IND,0,8th Pass,35,"Rs 32,400 ~ 32 Thou+","Rs 5,49,313 ~ 5 Lacs+",0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
10,Prakash Minj,IND,0,Post Graduate,38,"Rs 3,08,000 ~ 3 Lacs+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
11,R.s.uma Bharatthy,NCP,0,Post Graduate,49,"Rs 13,80,999 ~ 13 Lacs+","Rs 2,53,000 ~ 2 Lacs+",0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
12,Raghubir Singh,SP, 1 ,8th Pass,49,"Rs 11,28,697 ~ 11 Lacs+","Rs 20,000 ~ 20 Thou+",0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
13,Sanjay Meshack,AAP,0,10th Pass,43,"Rs 5,74,97,526 ~ 5 Crore+","Rs 6,33,088 ~ 6 Lacs+",0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
14,Saravanan,IND,0,Graduate,38,"Rs 2,36,000 ~ 2 Lacs+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
15,V V Khalid,IND,0,8th Pass,46,"Rs 2,35,000 ~ 2 Lacs+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
16,Pandula Ravindra Babu   Winner ,TDP,0,Graduate Professional,58,"Rs 2,71,31,000 ~ 2 Crore+","Rs 30,00,000 ~ 30 Lacs+",1,ANDHRA PRADESH,AMALAPURAM
17,Aithabathula Jogeswara Venkata Butchi Maheswara Rao,INC, 1 ,Post Graduate,63,"Rs 1,26,25,844 ~ 1 Crore+","Rs 25,04,500 ~ 25 Lacs+",0,ANDHRA PRADESH,AMALAPURAM
18,Bunga Bhaskararao,IND,0,12th Pass,65,"Rs 29,05,000 ~ 29 Lacs+","Rs 1,00,000 ~ 1 Lacs+",0,ANDHRA PRADESH,AMALAPURAM
19,Geddam Sampada Rao,BSP, 1 ,Graduate Professional,44,"Rs 11,74,000 ~ 11 Lacs+","Rs 1,00,000 ~ 1 Lacs+",0,ANDHRA PRADESH,AMALAPURAM
20,Kasi Chandramouli S/o Satyanandam,IND,0,Post Graduate,28,"Rs 46,513 ~ 46 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,AMALAPURAM
21,Konki Venkata Rao,Republican Paksha (Khoripa),0,Others,53,"Rs 31,500 ~ 31 Thou+","Rs 5,000 ~ 5 Thou+",0,ANDHRA PRADESH,AMALAPURAM
22,Kunche Peda Satyanarayana,Pyramid Party of India,0,5th Pass,43,"Rs 12,40,000 ~ 12 Lacs+","Rs 1,40,000 ~ 1 Lacs+",0,ANDHRA PRADESH,AMALAPURAM
23,Satyavathi Kommu,IND,0,Illiterate,41,"Rs 13,99,700 ~ 13 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,AMALAPURAM
24,Undru Gani Raju,IND, 1 ,Post Graduate,32,"Rs 31,721 ~ 31 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,AMALAPURAM
25,Vaddi Winston Churchil,IND,0,12th Pass,46,"Rs 2,95,000 ~ 2 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,AMALAPURAM
26,Vijaya Chakravarthy Panthagada,Republican Party of India (Khobragade),0,Post Graduate,61,"Rs 5,20,000 ~ 5 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,AMALAPURAM
27,Vijaya Harsha Kumar Geddam,Jai Samaikyandhra Party, 2 ,Post Graduate,54,"Rs 1,13,84,157 ~ 1 Crore+","Rs 40,50,000 ~ 40 Lacs+",0,ANDHRA PRADESH,AMALAPURAM
28,Viswarupu Pinipe,Yuvajana Sramika Rythu Congress Party, 1 ,Graduate Professional,51,"Rs 2,89,90,944 ~ 2 Crore+","Rs 79,77,496 ~ 79 Lacs+",0,ANDHRA PRADESH,AMALAPURAM
29,Yalangi Ramesh,IND,0,Post Graduate,50,"Rs 1,70,000 ~ 1 Lacs+","Rs 25,000 ~ 25 Thou+",0,ANDHRA PRADESH,AMALAPURAM
30,Muttamsetti Srinivasa Rao   Winner ,TDP, 1 ,Illiterate,47,"Rs 21,32,94,327 ~ 21 Crore+","Rs 6,48,99,193 ~ 6 Crore+",1,ANDHRA PRADESH,ANAKAPALLE
31,Appalaraju Sadaram,IND,0,Graduate,60,"Rs 31,500 ~ 31 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,ANAKAPALLE
32,Avss Amarnadh Gudivada,Yuvajana Sramika Rythu Congress Party, 6 ,Graduate Professional,29,"Rs 6,02,11,000 ~ 6 Crore+","Rs 16,25,000 ~ 16 Lacs+",0,ANDHRA PRADESH,ANAKAPALLE
33,Kondaraju Jampana,Jai Samaikyandhra Party,0,12th Pass,47,"Rs 41,21,000 ~ 41 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ANAKAPALLE
34,Sarisa Leela Prasanna Kumari,Pyramid Party of India,0,8th Pass,0,"Rs 3,70,000 ~ 3 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ANAKAPALLE
35,Smt. Thota Vijaya Lakshmi,INC,0,Post Graduate,44,"Rs 5,73,24,010 ~ 5 Crore+","Rs 40,98,674 ~ 40 Lacs+",0,ANDHRA PRADESH,ANAKAPALLE
36,Tirupathi Rao Karanam,BSP, 1 ,Graduate Professional,46,"Rs 61,51,000 ~ 61 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ANAKAPALLE
37,Vadlamuri Krishna Swaroop,Dalita Bahujana Party,0,Post Graduate,41,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,ANAKAPALLE
38,Jutur Chinna Reddy Divakar Reddy   Winner ,TDP,0,12th Pass,70,"Rs 22,64,81,020 ~ 22 Crore+","Rs 32,65,000 ~ 32 Lacs+",1,ANDHRA PRADESH,ANANTAPUR
39,Anantha Venkata Rami Reddy,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,57,"Rs 2,63,01,000 ~ 2 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,ANANTAPUR
40,Bandaru Srinivasulu,IND,0,Not Given,47,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,ANANTAPUR
41,Boya Anil Kumar,Jai Samaikyandhra Party,0,8th Pass,26,"Rs 6,05,000 ~ 6 Lacs+","Rs 3,00,000 ~ 3 Lacs+",0,ANDHRA PRADESH,ANANTAPUR
42,Bujji Reddy Venugopal Reddy,Indian Christian Secular Party,0,Post Graduate,53,"Rs 13,31,648 ~ 13 Lacs+","Rs 1,17,705 ~ 1 Lacs+",0,ANDHRA PRADESH,ANANTAPUR
