Sno,Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,Winner,State,Constituency
43,Deshmukh Somanath,IND,0,10th Pass,46,"Rs 50,63,528 ~ 50 Lacs+","Rs 12,00,000 ~ 12 Lacs+",0,ANDHRA PRADESH,ANANTAPUR
44,G Lalitha,SUCI(C), 1 ,Graduate Professional,51,"Rs 58,683 ~ 58 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,ANANTAPUR
45,Gujjala Nagaraju,IND,0,10th Pass,37,"Rs 5,28,46,700 ~ 5 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,ANANTAPUR
46,K.nagaraju,BSP,0,10th Pass,40,"Rs 12,80,000 ~ 12 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ANANTAPUR
47,P. Anil Chowdary,INC,0,Graduate,46,"Rs 1,02,40,000 ~ 1 Crore+","Rs 13,95,000 ~ 13 Lacs+",0,ANDHRA PRADESH,ANANTAPUR
48,Pavan Kumar,Pyramid Party of India,0,Graduate,27,"Rs 50,000 ~ 50 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,ANANTAPUR
49,Shaik. Mohammad Shafi,IND,0,Post Graduate,54,"Rs 1,43,86,694 ~ 1 Crore+","Rs 17,60,200 ~ 17 Lacs+",0,ANDHRA PRADESH,ANANTAPUR
50,T. Kuldeep Choudary,Samaikya Telugu Rajyam,0,Graduate Professional,60,"Rs 9,13,31,000 ~ 9 Crore+","Rs 6,36,000 ~ 6 Lacs+",0,ANDHRA PRADESH,ANANTAPUR
51,Kothapalli Geetha   Winner ,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,43,"Rs 6,51,47,467 ~ 6 Crore+","Rs 4,32,61,606 ~ 4 Crore+",1,ANDHRA PRADESH,ARAKU
52,Biddika Ramayya,IND,0,Literate,52,"Rs 15,500 ~ 15 Thou+","Rs 15,000 ~ 15 Thou+",0,ANDHRA PRADESH,ARAKU
53,Boorjabariki Dhanaraju,AAP,0,Graduate,33,"Rs 52,000 ~ 52 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,ARAKU
54,Gummidi Sandhya Rani,TDP,0,Graduate,41,"Rs 25,87,354 ~ 25 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ARAKU
55,Illa Ramireddy,IND,0,5th Pass,60,"Rs 3,10,000 ~ 3 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ARAKU
56,Kangala Baludora,IND,0,5th Pass,59,"Rs 6,50,000 ~ 6 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ARAKU
57,Kishore Chandra Suryanarayana Deo Vyricherla,INC,0,Post Graduate,67,"Rs 4,15,03,500 ~ 4 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,ARAKU
58,Midiyam Baburao,CPI(M),0,Graduate Professional,63,"Rs 22,30,750 ~ 22 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ARAKU
59,Sallangi Ratnam,IND,0,Graduate,35,"Rs 14,85,000 ~ 14 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ARAKU
60,Sankara Rao Chetti,IND,0,Post Graduate,33,"Rs 40,150 ~ 40 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,ARAKU
61,Sankara Rao Vanugu,IND,0,Doctorate,39,"Rs 6,12,528 ~ 6 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ARAKU
62,Malyadri Sriram   Winner ,TDP,0,Post Graduate,60,"Rs 4,53,59,744 ~ 4 Crore+",Rs 0 ~ ,1,ANDHRA PRADESH,BAPATLA
63,Bandela Nageswara Rao,IND,0,10th Pass,31,"Rs 40,000 ~ 40 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,BAPATLA
64,Eda Chennaiah,AAP,0,Others,39,"Rs 60,000 ~ 60 Thou+","Rs 50,000 ~ 50 Thou+",0,ANDHRA PRADESH,BAPATLA
65,Gadde Thyagaraju,IND,0,Graduate,0,"Rs 11,85,000 ~ 11 Lacs+","Rs 1,00,000 ~ 1 Lacs+",0,ANDHRA PRADESH,BAPATLA
66,Gogulamudi Narasimha Rao,IND,0,10th Pass,34,"Rs 12,62,200 ~ 12 Lacs+","Rs 7,33,400 ~ 7 Lacs+",0,ANDHRA PRADESH,BAPATLA
67,Golla Babu Rao,IND,0,Post Graduate,0,"Rs 1,55,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,BAPATLA
68,Nakkala Veeranjaneyulu,IND,0,Post Graduate,39,"Rs 1,90,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,BAPATLA
69,Panabaka Lakshmi,INC,0,Post Graduate,56,"Rs 6,57,82,130 ~ 6 Crore+","Rs 16,82,000 ~ 16 Lacs+",0,ANDHRA PRADESH,BAPATLA
70,Perli Prasanna Deevena Kumar,Indian Labour Party (Ambedkar Phule), 1 ,Post Graduate,48,"Rs 12,77,000 ~ 12 Lacs+","Rs 4,35,000 ~ 4 Lacs+",0,ANDHRA PRADESH,BAPATLA
71,Philipu Dwarapalli,BSP,0,Graduate Professional,45,"Rs 50,000 ~ 50 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,BAPATLA
72,Ratnababu Mamidi,IND,0,Post Graduate,29,"Rs 95,240 ~ 95 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,BAPATLA
73,Rayapati David Wilson,Jai Samaikyandhra Party,0,Graduate Professional,47,"Rs 24,60,000 ~ 24 Lacs+","Rs 1,50,000 ~ 1 Lacs+",0,ANDHRA PRADESH,BAPATLA
74,Varikuti Amruthapani,Yuvajana Sramika Rythu Congress Party,0,Post Graduate,54,"Rs 5,26,33,913 ~ 5 Crore+","Rs 1,46,62,335 ~ 1 Crore+",0,ANDHRA PRADESH,BAPATLA
75,Yellamati Ramesh,Pyramid Party of India,0,10th Pass,25,"Rs 71,000 ~ 71 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,BAPATLA
76,Naramalli Sivaprasad   Winner ,TDP,0,Graduate Professional,62,"Rs 1,48,78,003 ~ 1 Crore+",Rs 0 ~ ,1,ANDHRA PRADESH,CHITTOOR
77,B Rajagopal,INC,0,Doctorate,64,"Rs 2,03,22,000 ~ 2 Crore+","Rs 1,00,000 ~ 1 Lacs+",0,ANDHRA PRADESH,CHITTOOR
78,C S Udaya,Pyramid Party of India,0,Post Graduate,34,"Rs 5,46,700 ~ 5 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,CHITTOOR
79,D.jithendra Kumar,BSP,0,Graduate,38,"Rs 5,00,500 ~ 5 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,CHITTOOR
80,Gandavarapu Samanya,Yuvajana Sramika Rythu Congress Party,0,Doctorate,35,"Rs 2,92,54,634 ~ 2 Crore+","Rs 3,37,949 ~ 3 Lacs+",0,ANDHRA PRADESH,CHITTOOR
81,P Pushpa Raj,Jai Samaikyandhra Party,0,Graduate Professional,57,"Rs 8,41,732 ~ 8 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,CHITTOOR
82,S Anjappa,IND,0,10th Pass,43,"Rs 13,60,000 ~ 13 Lacs+","Rs 25,00,000 ~ 25 Lacs+",0,ANDHRA PRADESH,CHITTOOR
83,Venkateswara Rao Maganti   Winner ,TDP, 2 ,10th Pass,54,"Rs 12,93,94,729 ~ 12 Crore+","Rs 5,52,94,433 ~ 5 Crore+",1,ANDHRA PRADESH,ELURU
84,C.v.sarada Devi,IND,0,Graduate,53,"Rs 31,20,000 ~ 31 Lacs+","Rs 4,00,000 ~ 4 Lacs+",0,ANDHRA PRADESH,ELURU
85,Juluri Bhaskara Veera Venkata Anil Kumar Gupta,IND, 1 ,12th Pass,34,"Rs 27,41,859 ~ 27 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ELURU
86,Kamarushi Veera Venkata Satyanarayana,Jai Samaikyandhra Party,0,5th Pass,68,"Rs 59,68,041 ~ 59 Lacs+","Rs 9,80,000 ~ 9 Lacs+",0,ANDHRA PRADESH,ELURU
87,Korukonda Vijaya Lakshmi Pandit,IND,0,12th Pass,50,"Rs 1,03,18,671 ~ 1 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,ELURU
88,Mendem Santosh Kumar,Indian Labour Party (Ambedkar Phule),0,Not Given,39,"Rs 60,000 ~ 60 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,ELURU
89,Musunuri Nageswara Rao,INC,0,8th Pass,61,"Rs 1,74,20,000 ~ 1 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,ELURU
90,Nagaraju Savanapudi,Marxist Communist Party of India (United),0,Illiterate,55,"Rs 3,00,000 ~ 3 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ELURU
91,Nannapaneni Gangadhara Rao,IND,0,Graduate,65,"Rs 17,02,308 ~ 17 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ELURU
92,Ramesh Babu Netala,BSP,0,Graduate,51,"Rs 7,34,000 ~ 7 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ELURU
93,Thota Chandra Sekhar,Yuvajana Sramika Rythu Congress Party,0,Doctorate,52,"Rs 4,34,10,500 ~ 4 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,ELURU
94,Uda Venkateswararao,IND,0,Post Graduate,48,"Rs 13,80,000 ~ 13 Lacs+","Rs 10,00,000 ~ 10 Lacs+",0,ANDHRA PRADESH,ELURU
95,Venkata Rama Rao Uppala,Pyramid Party of India,0,10th Pass,47,"Rs 39,23,000 ~ 39 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ELURU
96,Vijaya Kumari Govada,Prem Janata Dal,0,10th Pass,38,"Rs 60,000 ~ 60 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,ELURU
97,Yantrapati Ashok,Mahajana Socialist Party,0,Graduate,52,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,ELURU
98,Jayadev Galla   Winner ,TDP,0,Graduate,48,"Rs 6,83,05,81,361 ~ 683 Crore+","Rs 20,23,34,283 ~ 20 Crore+",1,ANDHRA PRADESH,GUNTUR
99,Abburi Koteswara Rao,Pyramid Party of India,0,10th Pass,49,"Rs 1,76,20,000 ~ 1 Crore+","Rs 38,00,000 ~ 38 Lacs+",0,ANDHRA PRADESH,GUNTUR
100,Abdul Waheed Shaik,INC,0,10th Pass,44,"Rs 76,54,500 ~ 76 Lacs+","Rs 70,00,000 ~ 70 Lacs+",0,ANDHRA PRADESH,GUNTUR
101,Arudala Venkateswara Rao,IND,0,5th Pass,41,"Rs 4,00,000 ~ 4 Lacs+","Rs 50,000 ~ 50 Thou+",0,ANDHRA PRADESH,GUNTUR
102,Balashowry Vallabhaneni,Yuvajana Sramika Rythu Congress Party,0,Graduate,45,"Rs 79,40,17,805 ~ 79 Crore+","Rs 48,37,66,785 ~ 48 Crore+",0,ANDHRA PRADESH,GUNTUR
103,Bitra Venkata Sivannarayana,IND,0,10th Pass,36,"Rs 76,63,330 ~ 76 Lacs+","Rs 7,12,920 ~ 7 Lacs+",0,ANDHRA PRADESH,GUNTUR
104,Emani Chandra Sekhar Rao,Navodyam Party,0,Graduate,47,"Rs 1,35,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,GUNTUR
105,Kata Venkata Bhavani Veera Vara Prasad,AAP,0,Post Graduate,44,"Rs 2,23,50,000 ~ 2 Crore+","Rs 23,50,000 ~ 23 Lacs+",0,ANDHRA PRADESH,GUNTUR
106,Koutharapu Ravindra,Great India Party, 2 ,Graduate Professional,0,"Rs 3,88,61,445 ~ 3 Crore+","Rs 2,05,91,835 ~ 2 Crore+",0,ANDHRA PRADESH,GUNTUR
107,Mallela Babu Rao,BSP,0,Post Graduate,60,"Rs 64,13,204 ~ 64 Lacs+","Rs 10,62,915 ~ 10 Lacs+",0,ANDHRA PRADESH,GUNTUR
108,Mallela Venkata Rao,Jai Samaikyandhra Party,0,12th Pass,48,"Rs 69,07,000 ~ 69 Lacs+","Rs 13,50,000 ~ 13 Lacs+",0,ANDHRA PRADESH,GUNTUR
109,Udaia Kumar Musuku,Indian Christian Secular Party,0,Post Graduate,57,"Rs 44,26,24,916 ~ 44 Crore+","Rs 9,54,406 ~ 9 Lacs+",0,ANDHRA PRADESH,GUNTUR
110,Kristappa Nimmala   Winner ,TDP, 2 ,Graduate,57,"Rs 4,07,93,638 ~ 4 Crore+","Rs 9,98,480 ~ 9 Lacs+",1,ANDHRA PRADESH,HINDUPUR
111,Amudala Subramanyam,Rayalaseema Parirakshana Samithi,0,Post Graduate,0,"Rs 7,45,000 ~ 7 Lacs+","Rs 1,10,000 ~ 1 Lacs+",0,ANDHRA PRADESH,HINDUPUR
112,Appireddygari Konda Reddy,IND,0,12th Pass,41,"Rs 1,55,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,HINDUPUR
113,C.anand Kumar,Pyramid Party of India,0,Post Graduate,28,"Rs 1,20,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,HINDUPUR
114,Chinta Sarath Kumar Reddy,IND,0,Graduate,31,"Rs 12,85,000 ~ 12 Lacs+","Rs 8,70,000 ~ 8 Lacs+",0,ANDHRA PRADESH,HINDUPUR
115,Deshmukh Somnath,IND,0,12th Pass,46,"Rs 50,63,528 ~ 50 Lacs+","Rs 12,00,000 ~ 12 Lacs+",0,ANDHRA PRADESH,HINDUPUR
116,Duddukunta Sreedhar Reddy,Yuvajana Sramika Rythu Congress Party,0,Graduate,43,"Rs 42,09,13,035 ~ 42 Crore+","Rs 3,42,91,359 ~ 3 Crore+",0,ANDHRA PRADESH,HINDUPUR
117,Gutturu Chinna Venkataramudu,INC, 1 ,10th Pass,54,"Rs 33,20,000 ~ 33 Lacs+","Rs 2,00,000 ~ 2 Lacs+",0,ANDHRA PRADESH,HINDUPUR
118,K.m. Asadulla,IND,0,Post Graduate,61,"Rs 41,25,958 ~ 41 Lacs+","Rs 5,40,000 ~ 5 Lacs+",0,ANDHRA PRADESH,HINDUPUR
119,K.m.shameer Basha,Jai Samaikyandhra Party,0,Graduate,39,"Rs 7,80,000 ~ 7 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,HINDUPUR
120,K.pedda Reddi,IND, 3 ,10th Pass,48,"Rs 3,30,18,797 ~ 3 Crore+","Rs 98,83,924 ~ 98 Lacs+",0,ANDHRA PRADESH,HINDUPUR
121,M.sudhakar Naidu,IND,0,12th Pass,43,"Rs 58,83,944 ~ 58 Lacs+","Rs 5,97,451 ~ 5 Lacs+",0,ANDHRA PRADESH,HINDUPUR
122,Avinash Reddy Yeduguri Sandinti   Winner ,Yuvajana Sramika Rythu Congress Party, 1 ,Post Graduate,29,"Rs 7,04,80,623 ~ 7 Crore+","Rs 55,47,296 ~ 55 Lacs+",1,ANDHRA PRADESH,KADAPA
123,Gajjala Rama Subba Reddy,Pyramid Party of India,0,10th Pass,61,"Rs 5,35,800 ~ 5 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,KADAPA
124,Lakshmi Reddy Putta,AIFB, 3 ,Graduate Professional,26,"Rs 75,00,000 ~ 75 Lacs+","Rs 47,33,000 ~ 47 Lacs+",0,ANDHRA PRADESH,KADAPA
125,M. Hanumantha Reddy,BSP,0,12th Pass,35,"Rs 56,13,000 ~ 56 Lacs+","Rs 20,00,000 ~ 20 Lacs+",0,ANDHRA PRADESH,KADAPA
126,Poreddy Prabhakar Reddy,IND, 3 ,10th Pass,48,"Rs 3,13,12,193 ~ 3 Crore+","Rs 38,08,810 ~ 38 Lacs+",0,ANDHRA PRADESH,KADAPA
127,Pullaiah Byri,Ambedkar National Congress, 1 ,10th Pass,65,"Rs 2,80,000 ~ 2 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,KADAPA
128,Sajid Hussain,AAP,0,12th Pass,50,"Rs 5,46,32,098 ~ 5 Crore+","Rs 1,08,40,808 ~ 1 Crore+",0,ANDHRA PRADESH,KADAPA
129,Shaik Ghouse Peer,Jai Samaikyandhra Party,0,Graduate Professional,52,"Rs 1,39,29,207 ~ 1 Crore+","Rs 6,70,425 ~ 6 Lacs+",0,ANDHRA PRADESH,KADAPA
130,Shobarani Varadi,Dalita Bahujana Party,0,8th Pass,42,"Rs 8,63,200 ~ 8 Lacs+","Rs 69,000 ~ 69 Thou+",0,ANDHRA PRADESH,KADAPA
131,Srinivasa Reddy Reddeppagari,TDP,0,12th Pass,46,"Rs 49,75,43,411 ~ 49 Crore+","Rs 10,02,08,035 ~ 10 Crore+",0,ANDHRA PRADESH,KADAPA
132,Veena Ajaya Kumar,INC,0,Graduate Professional,51,"Rs 17,69,300 ~ 17 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,KADAPA
133,Veera Anil Kumar Reddy Gandluru,JD(S),0,Graduate Professional,40,"Rs 1,36,21,087 ~ 1 Crore+","Rs 3,00,000 ~ 3 Lacs+",0,ANDHRA PRADESH,KADAPA
134,Venugopal Rachineni,Rashtriya Praja Congress (Secular), 1 ,Not Given,36,"Rs 18,30,795 ~ 18 Lacs+","Rs 85,435 ~ 85 Thou+",0,ANDHRA PRADESH,KADAPA
135,Yellipalem Ramesh Reddy,JD(U),0,10th Pass,46,"Rs 4,27,30,000 ~ 4 Crore+","Rs 1,40,00,000 ~ 1 Crore+",0,ANDHRA PRADESH,KADAPA
136,Thota Venkata Narasimham   Winner ,TDP,0,Graduate,53,"Rs 1,74,95,976 ~ 1 Crore+","Rs 1,20,000 ~ 1 Lacs+",1,ANDHRA PRADESH,KAKINADA
137,Arjunarao Yegupati,CPI(ML)L, 1 ,5th Pass,57,"Rs 6,20,000 ~ 6 Lacs+","Rs 21,000 ~ 21 Thou+",0,ANDHRA PRADESH,KAKINADA
138,Chaganti Suryanarayana Murty,IND,0,10th Pass,49,"Rs 99,344 ~ 99 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,KAKINADA
139,Donam Neelakantam,IND,0,Post Graduate,43,"Rs 6,51,495 ~ 6 Lacs+","Rs 65,000 ~ 65 Thou+",0,ANDHRA PRADESH,KAKINADA
140,Donka Leelavathi,IND,0,5th Pass,62,"Rs 50,000 ~ 50 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,KAKINADA
141,Guttula Annapurna Seshagiri Rao,IND,0,5th Pass,55,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,KAKINADA
142,Jalluri Venkateswarlu,IND,0,Graduate Professional,47,"Rs 1,41,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,KAKINADA
143,Kola Venkata Prasad Varma,RJD,0,10th Pass,48,"Rs 1,000 ~ 1 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,KAKINADA
144,Kunche Ramadas,IND,0,Post Graduate,69,"Rs 2,02,000 ~ 2 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,KAKINADA
