Sno,Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,Winner,State,Constituency
1,Kuldeep Rai Sharma   Winner ,INC,0,Graduate Professional,52,"Rs 13,22,33,012 ~ 13 Crore+","Rs 8,04,50,870 ~ 8 Crore+",1,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
2,Ayan Mandal,AITC,0,Graduate,30,"Rs 72,70,440 ~ 72 Lacs+","Rs 15,00,000 ~ 15 Lacs+",0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
3,C G Saji Kumar,All India Hindustan Congress Party,0,12th Pass,48,"Rs 1,20,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
4,C U Rasheed,IND,0,12th Pass,34,"Rs 2,02,808 ~ 2 Lacs+","Rs 17,00,000 ~ 17 Lacs+",0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
5,Gour Chandra Majumder,IND,0,Graduate,52,"Rs 60,62,000 ~ 60 Lacs+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
6,Henry,IND,0,10th Pass,50,"Rs 56,459 ~ 56 Thou+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
7,K Kalimuthu,IND,0,8th Pass,66,"Rs 58,50,000 ~ 58 Lacs+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
8,K Venkat Ram Babu,IND,0,10th Pass,45,"Rs 3,52,000 ~ 3 Lacs+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
9,Minati Biswas,IND,0,8th Pass,51,"Rs 31,98,500 ~ 31 Lacs+","Rs 4,00,000 ~ 4 Lacs+",0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
10,Paritosh Kumar Haldar,IND,0,Post Graduate,61,"Rs 1,99,16,000 ~ 1 Crore+","Rs 13,11,000 ~ 13 Lacs+",0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
11,Prakash Minj,BSP,0,Post Graduate,43,"Rs 12,50,000 ~ 12 Lacs+","Rs 2,40,000 ~ 2 Lacs+",0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
12,S Sudershan Rao,IND,0,Doctorate,58,"Rs 87,60,000 ~ 87 Lacs+","Rs 80,00,000 ~ 80 Lacs+",0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
13,Sanjay Meshack,AAP,0,12th Pass,49,"Rs 9,98,87,782 ~ 9 Crore+","Rs 17,91,076 ~ 17 Lacs+",0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
14,V V Khalid,IND,0,8th Pass,51,"Rs 15,12,000 ~ 15 Lacs+","Rs 3,50,000 ~ 3 Lacs+",0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
15,Vishal Jolly,BJP, 1 ,Graduate Professional,46,"Rs 8,51,40,573 ~ 8 Crore+","Rs 46,33,914 ~ 46 Lacs+",0,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS
