Sno,Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,Winner,State,Constituency
16,Chinta Anuradha   Winner ,YSRCP,0,Graduate,46,"Rs 8,59,93,362 ~ 8 Crore+","Rs 24,31,407 ~ 24 Lacs+",1,ANDHRA PRADESH,AMALAPURAM
17,Ganti Harish Madhur,TDP,0,Graduate Professional,30,"Rs 7,30,49,918 ~ 7 Crore+","Rs 15,37,488 ~ 15 Lacs+",0,ANDHRA PRADESH,AMALAPURAM
18,Janga Goutham,INC,0,Graduate,49,"Rs 1,47,68,500 ~ 1 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,AMALAPURAM
19,Manepalli Ayyaji Vema,BJP,0,Graduate Professional,59,"Rs 67,85,061 ~ 67 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,AMALAPURAM
20,Mojas Raja Sekhar Duggirala,Janasena Party, 1 ,Post Graduate,59,"Rs 2,89,30,012 ~ 2 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,AMALAPURAM
21,Mortha Sivarama Krishna,Pyramid Party of India,0,Graduate,29,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,AMALAPURAM
22,Muralikrishna Kanderi,India Praja Bandhu Party,0,Others,41,"Rs 12,796 ~ 12 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,AMALAPURAM
23,Panthagada Vijaya Chakravarthy,RPI(Khobragade),0,Post Graduate,65,"Rs 5,50,000 ~ 5 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,AMALAPURAM
24,Rajani Chelle,Jana Jagruti Party,0,Graduate,30,"Rs 2,61,767 ~ 2 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,AMALAPURAM
25,Revu Sudhakar,IND,0,10th Pass,34,"Rs 11,000 ~ 11 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,AMALAPURAM
26,Dr.Beesetti Venkata Satyavathi   Winner ,YSRCP,0,Graduate Professional,52,"Rs 9,15,26,244 ~ 9 Crore+","Rs 1,11,39,279 ~ 1 Crore+",1,ANDHRA PRADESH,ANAKAPALLE
27,Adari Anand Kumar,TDP,0,10th Pass,43,"Rs 41,05,47,212 ~ 41 Crore+","Rs 20,55,91,400 ~ 20 Crore+",0,ANDHRA PRADESH,ANAKAPALLE
28,Appala Naidu Tummagonta,IND,0,10th Pass,38,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,ANAKAPALLE
29,Chintala Partha Sarathi,Janasena Party,0,Post Graduate,56,"Rs 33,53,08,506 ~ 33 Crore+","Rs 11,09,28,567 ~ 11 Crore+",0,ANDHRA PRADESH,ANAKAPALLE
30,Dr Gandi Venkata Satyanarayana Rao,BJP,0,Post Graduate,65,"Rs 5,76,88,924 ~ 5 Crore+","Rs 94,97,894 ~ 94 Lacs+",0,ANDHRA PRADESH,ANAKAPALLE
31,K B Swaroop,Jana Jagruti Party,0,Graduate Professional,51,"Rs 2,44,54,500 ~ 2 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,ANAKAPALLE
32,P.S.Ajay Kumar,CPI(ML)(L), 3 ,Post Graduate,57,"Rs 12,58,000 ~ 12 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ANAKAPALLE
33,Ruthala Srirama Murthy,INC,0,Graduate Professional,49,"Rs 2,76,11,641 ~ 2 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,ANAKAPALLE
34,Taadi Veera Jagadeeshwari,Pyramid Party of India,0,5th Pass,65,"Rs 28,62,42,307 ~ 28 Crore+","Rs 3,18,680 ~ 3 Lacs+",0,ANDHRA PRADESH,ANAKAPALLE
35,Vadlamuri Krishna Swaroop,Dalita Bahujana Party,0,Post Graduate,46,"Rs 16,500 ~ 16 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,ANAKAPALLE
36,Talari Rangaiah   Winner ,YSRCP, 1 ,Doctorate,48,"Rs 1,17,73,091 ~ 1 Crore+","Rs 11,35,547 ~ 11 Lacs+",1,ANDHRA PRADESH,ANANTAPUR
37,G. Lalitha,SUCI(C),0,Graduate,56,"Rs 12,79,676 ~ 12 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ANANTAPUR
38,Giddama Ranganayakulu,Vishwa Jana Party,0,Post Graduate,43,"Rs 6,61,000 ~ 6 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ANANTAPUR
39,Hamsa Devineni,BJP,0,Post Graduate,33,"Rs 87,62,212 ~ 87 Lacs+","Rs 17,00,000 ~ 17 Lacs+",0,ANDHRA PRADESH,ANANTAPUR
40,Jagadeesh Devaragudi,CPI, 9 ,8th Pass,58,"Rs 2,56,13,277 ~ 2 Crore+","Rs 27,61,973 ~ 27 Lacs+",0,ANDHRA PRADESH,ANANTAPUR
41,Juturu Chinna Reddy Pavan Reddy,TDP,0,Graduate,46,"Rs 37,38,87,429 ~ 37 Crore+","Rs 8,45,50,726 ~ 8 Crore+",0,ANDHRA PRADESH,ANANTAPUR
42,K Rajiv Reddy,INC,0,Graduate Professional,30,"Rs 72,64,263 ~ 72 Lacs+","Rs 17,00,000 ~ 17 Lacs+",0,ANDHRA PRADESH,ANANTAPUR
43,Lingutla Rangaiah,IND,0,5th Pass,70,"Rs 2,08,000 ~ 2 Lacs+","Rs 40,000 ~ 40 Thou+",0,ANDHRA PRADESH,ANANTAPUR
44,M.Venkatesulu,Pyramid Party of India,0,10th Pass,49,"Rs 23,45,567 ~ 23 Lacs+","Rs 3,12,273 ~ 3 Lacs+",0,ANDHRA PRADESH,ANANTAPUR
45,Padchuri Radha Krishna,Radical Democrats Party,0,Graduate,40,"Rs 10,45,000 ~ 10 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ANANTAPUR
46,Pothuru Rangaiah,IND,0,8th Pass,48,"Rs 15,09,000 ~ 15 Lacs+","Rs 1,30,000 ~ 1 Lacs+",0,ANDHRA PRADESH,ANANTAPUR
47,Somanath Deshmukh,IND,0,10th Pass,50,"Rs 93,27,000 ~ 93 Lacs+","Rs 3,00,000 ~ 3 Lacs+",0,ANDHRA PRADESH,ANANTAPUR
48,Vadde Kasinath,IND,0,Others,28,"Rs 10,54,611 ~ 10 Lacs+","Rs 3,50,000 ~ 3 Lacs+",0,ANDHRA PRADESH,ANANTAPUR
49,Viswa Prasad Yadav Sankireddy	,IND,0,Post Graduate,51,"Rs 41,65,000 ~ 41 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ANANTAPUR
50,Goddeti Madhavi   Winner ,YSRCP,0,Graduate Professional,26,"Rs 1,41,179 ~ 1 Lacs+",Rs 0 ~ ,1,ANDHRA PRADESH,ARAKU
51,Anumula Vamsi Krishna,IND,0,Post Graduate,41,"Rs 50,000 ~ 50 Thou+","Rs 1,00,000 ~ 1 Lacs+",0,ANDHRA PRADESH,ARAKU
52,Biddika Ramaiah,IND,0,Illiterate,57,"Rs 4,15,000 ~ 4 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ARAKU
53,Dr. Kasi Viswanadha Veera Venkata Satyanarayana Reddy Kosuri,BJP,0,Doctorate,54,"Rs 1,14,43,485 ~ 1 Crore+","Rs 22,00,000 ~ 22 Lacs+",0,ANDHRA PRADESH,ARAKU
54,Kangala Baladora,IND,0,Illiterate,61,"Rs 3,40,500 ~ 3 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ARAKU
55,Narava Satyavathi,IND,0,10th Pass,37,"Rs 9,64,000 ~ 9 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ARAKU
56,Shruti Devi Vyricherla,INC,0,Graduate Professional,46,"Rs 2,35,92,023 ~ 2 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,ARAKU
57,Swamula Subrahamanyam,Jana Jagruti Party,0,Graduate,50,"Rs 21,00,000 ~ 21 Lacs+","Rs 8,70,000 ~ 8 Lacs+",0,ANDHRA PRADESH,ARAKU
58,Vampuru Gangulaiah,Janasena Party, 3 ,10th Pass,49,"Rs 25,67,059 ~ 25 Lacs+","Rs 3,20,000 ~ 3 Lacs+",0,ANDHRA PRADESH,ARAKU
59,Vyricherla Kishore Chandra Suryanarayana Deo,TDP,0,Post Graduate,72,"Rs 6,57,29,020 ~ 6 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,ARAKU
60,Suresh Babu Nandigam   Winner ,YSRCP,0,8th Pass,43,"Rs 41,58,610 ~ 41 Lacs+","Rs 2,69,000 ~ 2 Lacs+",1,ANDHRA PRADESH,BAPATLA
61,Bussa Nagaraju,IND, 1 ,Others,29,"Rs 1,94,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,BAPATLA
62,Challagali Kishore Kumar,BJP, 1 ,Graduate Professional,43,"Rs 31,85,877 ~ 31 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,BAPATLA
63,China Nageswara Rao Sadhu,Mundadugu Praja Party,0,Post Graduate,35,"Rs 12,59,090 ~ 12 Lacs+","Rs 1,96,000 ~ 1 Lacs+",0,ANDHRA PRADESH,BAPATLA
64,Gadde Haribabu,Navodayam Party,0,Graduate,40,"Rs 20,000 ~ 20 Thou+","Rs 1,00,000 ~ 1 Lacs+",0,ANDHRA PRADESH,BAPATLA
65,Gella Nagamalli,IND,0,Graduate Professional,34,"Rs 4,48,500 ~ 4 Lacs+","Rs 4,65,000 ~ 4 Lacs+",0,ANDHRA PRADESH,BAPATLA
66,Golla Baburao,IND,0,Post Graduate,46,"Rs 78,000 ~ 78 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,BAPATLA
67,Jesudasu Seelam,INC,0,Post Graduate,67,"Rs 12,63,97,634 ~ 12 Crore+","Rs 83,42,498 ~ 83 Lacs+",0,ANDHRA PRADESH,BAPATLA
68,Kanthiraj Devanand,BSP,0,Post Graduate,64,"Rs 3,44,36,000 ~ 3 Crore+","Rs 12,00,000 ~ 12 Lacs+",0,ANDHRA PRADESH,BAPATLA
69,Kattepogu Vijay Kumar,Pyramid Party of India,0,5th Pass,53,"Rs 4,54,000 ~ 4 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,BAPATLA
70,Malyadri Sriram,TDP,0,Post Graduate,65,"Rs 4,25,20,353 ~ 4 Crore+","Rs 5,98,794 ~ 5 Lacs+",0,ANDHRA PRADESH,BAPATLA
71,Nuthakki Rama Rao,All India Praja Party,0,Post Graduate,71,"Rs 7,23,76,055 ~ 7 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,BAPATLA
72,Thumati Ravi,All Peoples Party,0,Post Graduate,46,"Rs 34,18,000 ~ 34 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,BAPATLA
73,N. Reddeppa   Winner ,YSRCP,0,Post Graduate,68,"Rs 1,73,55,862 ~ 1 Crore+","Rs 13,41,542 ~ 13 Lacs+",1,ANDHRA PRADESH,CHITTOOR
74,A. Hemanth,IND,0,5th Pass,28,"Rs 50,000 ~ 50 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,CHITTOOR
75,C. Punyamurthy,BSP, 4 ,Others,45,"Rs 3,03,23,800 ~ 3 Crore+","Rs 2,16,35,686 ~ 2 Crore+",0,ANDHRA PRADESH,CHITTOOR
76,Cheemala. Rangappa,INC,0,Graduate Professional,60,"Rs 1,28,32,000 ~ 1 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,CHITTOOR
77,Jayaram Duggani,BJP,0,Graduate,70,"Rs 51,00,000 ~ 51 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,CHITTOOR
78,Naramalli Siva Prasad,TDP,0,Graduate Professional,68,"Rs 6,96,28,816 ~ 6 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,CHITTOOR
79,P. Ramachandran,IND,0,Graduate Professional,42,"Rs 35,80,500 ~ 35 Lacs+","Rs 23,13,000 ~ 23 Lacs+",0,ANDHRA PRADESH,CHITTOOR
80,Pallipattu. Abhinav Vishnu,Mundadugu Praja Party,0,Graduate Professional,27,"Rs 92,600 ~ 92 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,CHITTOOR
81,Sridhar Kotagiri	   Winner ,YSRCP,0,Graduate,46,"Rs 46,28,08,829 ~ 46 Crore+","Rs 3,35,60,974 ~ 3 Crore+",1,ANDHRA PRADESH,ELURU
82,Alaga Ravi Kumar,IND,0,10th Pass,49,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,ELURU
83,Chinnam Rama Kotayya,BJP,0,10th Pass,58,"Rs 10,09,61,778 ~ 10 Crore+","Rs 77,13,964 ~ 77 Lacs+",0,ANDHRA PRADESH,ELURU
84,Gurunadha Rao Jetti,INC,0,Graduate,55,"Rs 6,96,00,598 ~ 6 Crore+","Rs 24,02,881 ~ 24 Lacs+",0,ANDHRA PRADESH,ELURU
85,Josyula China Venkata Suryanarayana,Pyramid Party of India,0,Graduate,62,"Rs 1,20,35,000 ~ 1 Crore+","Rs 25,00,000 ~ 25 Lacs+",0,ANDHRA PRADESH,ELURU
86,Maganti Venkateswara Rao,TDP, 1 ,10th Pass,59,"Rs 19,97,62,023 ~ 19 Crore+","Rs 3,33,03,902 ~ 3 Crore+",0,ANDHRA PRADESH,ELURU
87,Mathe Bobby,RPI(A),0,12th Pass,29,"Rs 10,000 ~ 10 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,ELURU
88,Mendem Santhosh Kumar,IND,0,Others,46,"Rs 10,000 ~ 10 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,ELURU
89,V Siva Rama Krishna,Jana Jagruti Party,0,10th Pass,55,"Rs 27,00,000 ~ 27 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,ELURU
90,Jayadev Galla   Winner ,TDP,0,Graduate,53,"Rs 3,05,14,85,242 ~ 305 Crore+","Rs 20,34,52,417 ~ 20 Crore+",1,ANDHRA PRADESH,GUNTUR
91,Araveti Hazarath Rao,Pyramid Party of India,0,Graduate Professional,68,"Rs 1,49,24,686 ~ 1 Crore+","Rs 1,80,700 ~ 1 Lacs+",0,ANDHRA PRADESH,GUNTUR
92,Bonaboyina Srinivasa Rao,Janasena Party, 1 ,10th Pass,50,"Rs 3,28,76,690 ~ 3 Crore+","Rs 1,24,82,935 ~ 1 Crore+",0,ANDHRA PRADESH,GUNTUR
93,Dasari Kiran Babu,IND,0,8th Pass,37,"Rs 59,80,980 ~ 59 Lacs+","Rs 26,45,782 ~ 26 Lacs+",0,ANDHRA PRADESH,GUNTUR
94,Doppalapudi Veera Das,IND,0,Graduate,60,"Rs 59,90,000 ~ 59 Lacs+","Rs 8,80,000 ~ 8 Lacs+",0,ANDHRA PRADESH,GUNTUR
95,Jacob Vidyasagar Nakka,Viduthalai Chiruthaigal Katchi, 2 ,Post Graduate,51,"Rs 30,73,000 ~ 30 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,GUNTUR
96,Jayaprakash Narayana Valluru,BJP,0,Graduate Professional,44,"Rs 3,95,26,187 ~ 3 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,GUNTUR
97,Jeldi Raja Mohan,All India Praja Party,0,12th Pass,61,"Rs 42,09,000 ~ 42 Lacs+","Rs 30,000 ~ 30 Thou+",0,ANDHRA PRADESH,GUNTUR
98,Mannava Hariprasad,CPI(ML) Red Star,0,Graduate Professional,55,"Rs 1,46,68,071 ~ 1 Crore+","Rs 1,07,102 ~ 1 Lacs+",0,ANDHRA PRADESH,GUNTUR
99,Modugula Venugopala Reddy,YSRCP, 3 ,Graduate Professional,52,"Rs 13,74,66,129 ~ 13 Crore+","Rs 16,75,274 ~ 16 Lacs+",0,ANDHRA PRADESH,GUNTUR
100,Ramarao Simhadri,Praja Shanthi Party,0,5th Pass,41,"Rs 2,19,000 ~ 2 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,GUNTUR
101,Samudrala Chinna Kotaiah,National Dalitha Dhal Party,0,10th Pass,41,"Rs 20,24,577 ~ 20 Lacs+","Rs 15,00,000 ~ 15 Lacs+",0,ANDHRA PRADESH,GUNTUR
102,Sarabandi Raju Sikhinam,Indian Labour Party (Ambedkar Phule),0,Post Graduate,35,"Rs 30,000 ~ 30 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,GUNTUR
103,Shaik Jaleel,Navarang Congress Party,0,5th Pass,43,"Rs 7,26,25,000 ~ 7 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,GUNTUR
104,Shaik Mastanvali,INC, 1 ,Post Graduate,53,"Rs 6,28,06,111 ~ 6 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,GUNTUR
105,Ullagi David Jayakumar,Hardam Manavtawadi Rashtriya Dal,0,Doctorate,61,"Rs 1,31,900 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,GUNTUR
106,Umar Basha Shaik,IND,0,Graduate Professional,29,"Rs 1,50,08,000 ~ 1 Crore+","Rs 20,00,000 ~ 20 Lacs+",0,ANDHRA PRADESH,GUNTUR
107,Yanamadala Venkata Suresh,IND,0,Graduate,50,"Rs 13,02,000 ~ 13 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,GUNTUR
108,Kuruva Gorantla Madhav   Winner ,YSRCP, 2 ,Graduate,50,"Rs 17,87,356 ~ 17 Lacs+","Rs 7,30,332 ~ 7 Lacs+",1,ANDHRA PRADESH,HINDUPUR
109,Gogula Pulakunta Jayanth,IND,0,Graduate,61,"Rs 31,96,142 ~ 31 Lacs+","Rs 16,710 ~ 16 Thou+",0,ANDHRA PRADESH,HINDUPUR
110,K.T.Sreedhar,INC, 1 ,Post Graduate,41,"Rs 4,34,62,500 ~ 4 Crore+","Rs 81,28,000 ~ 81 Lacs+",0,ANDHRA PRADESH,HINDUPUR
111,Mitta Parthasarathi,BJP, 2 ,Graduate,60,"Rs 35,78,49,990 ~ 35 Crore+","Rs 10,68,20,000 ~ 10 Crore+",0,ANDHRA PRADESH,HINDUPUR
112,Mugi Surya Prakash,IND,0,Graduate,63,"Rs 4,32,66,800 ~ 4 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,HINDUPUR
113,N.Kristappa,TDP, 4 ,Graduate,63,"Rs 5,13,75,301 ~ 5 Crore+","Rs 10,11,804 ~ 10 Lacs+",0,ANDHRA PRADESH,HINDUPUR
114,Ramamohan D.G.,IND,0,12th Pass,51,"Rs 4,47,500 ~ 4 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,HINDUPUR
115,S.R.Anjaneyulu,IND,0,Post Graduate,35,"Rs 43,000 ~ 43 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,HINDUPUR
116,S.Ram Mohan,Pyramid Party of India,0,10th Pass,33,"Rs 89,797 ~ 89 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,HINDUPUR
117,Yeduguri Sandinti Avinash Reddy   Winner ,YSRCP, 4 ,Post Graduate,34,"Rs 18,69,69,794 ~ 18 Crore+","Rs 2,28,33,319 ~ 2 Crore+",1,ANDHRA PRADESH,KADAPA
118,Ameen Peeran Shaik,Ambedkar National Congress,0,Post Graduate,48,"Rs 83,993 ~ 83 Thou+","Rs 9,000 ~ 9 Thou+",0,ANDHRA PRADESH,KADAPA
119,Chadipirala Adi Narayana Reddy,TDP,0,Post Graduate,61,"Rs 3,07,42,398 ~ 3 Crore+","Rs 9,61,319 ~ 9 Lacs+",0,ANDHRA PRADESH,KADAPA
120,Chadipiralla Siva Narayana Reddy,Navarang Congress Party,0,Others,53,"Rs 1,13,20,100 ~ 1 Crore+","Rs 5,91,000 ~ 5 Lacs+",0,ANDHRA PRADESH,KADAPA
121,Gona Purushottam Reddy,IND, 4 ,Graduate,40,"Rs 2,24,73,647 ~ 2 Crore+","Rs 92,06,703 ~ 92 Lacs+",0,ANDHRA PRADESH,KADAPA
122,Gujjula Eswaraiah,CPI, 1 ,Post Graduate,50,"Rs 3,27,881 ~ 3 Lacs+","Rs 1,00,000 ~ 1 Lacs+",0,ANDHRA PRADESH,KADAPA
123,Gundlakunta Sreeramulu,INC,0,12th Pass,42,"Rs 1,64,52,000 ~ 1 Crore+","Rs 11,30,000 ~ 11 Lacs+",0,ANDHRA PRADESH,KADAPA
124,Jakku Chenna Krishna Reddy,IND, 1 ,10th Pass,44,"Rs 2,47,46,957 ~ 2 Crore+","Rs 1,23,80,000 ~ 1 Crore+",0,ANDHRA PRADESH,KADAPA
125,Lakshmi Reddy Putha,Rajyadhikara Party, 3 ,Graduate Professional,32,"Rs 73,00,000 ~ 73 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,KADAPA
126,Nyamatulla Shaik,IND,0,Graduate,31,"Rs 49,09,000 ~ 49 Lacs+","Rs 10,00,000 ~ 10 Lacs+",0,ANDHRA PRADESH,KADAPA
127,Pedakala Varalakshmi,Pyramid Party of India,0,Graduate Professional,43,"Rs 1,10,34,583 ~ 1 Crore+","Rs 24,02,564 ~ 24 Lacs+",0,ANDHRA PRADESH,KADAPA
128,Siva Chandra Reddy Komma,Anna YSR Congress Party,0,Post Graduate,0,"Rs 51,60,000 ~ 51 Lacs+","Rs 11,00,000 ~ 11 Lacs+",0,ANDHRA PRADESH,KADAPA
129,Sri Rama Chandra Singareddy,BJP,0,Graduate,50,"Rs 8,49,71,019 ~ 8 Crore+","Rs 1,58,86,451 ~ 1 Crore+",0,ANDHRA PRADESH,KADAPA
130,Venu Gopal Rachineni,IND,0,10th Pass,39,"Rs 31,00,000 ~ 31 Lacs+","Rs 2,00,000 ~ 2 Lacs+",0,ANDHRA PRADESH,KADAPA
131,Vanga Geetha Viswanatham   Winner ,YSRCP,0,Post Graduate,55,"Rs 20,25,28,594 ~ 20 Crore+","Rs 3,44,16,887 ~ 3 Crore+",1,ANDHRA PRADESH,KAKINADA
132,Ankadi Sathibabu,IND,0,Illiterate,45,"Rs 50,000 ~ 50 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,KAKINADA
133,Appalakonda Vangalapudi,Mundadugu Praja Party,0,Post Graduate,28,"Rs 5,14,707 ~ 5 Lacs+","Rs 5,08,707 ~ 5 Lacs+",0,ANDHRA PRADESH,KAKINADA
134,Buddala Geetha Devi,Praja Shanthi Party,0,5th Pass,34,"Rs 32,000 ~ 32 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,KAKINADA
135,Donam Neelakantam,All India Praja Party,0,Post Graduate,49,"Rs 14,77,500 ~ 14 Lacs+","Rs 6,40,000 ~ 6 Lacs+",0,ANDHRA PRADESH,KAKINADA
136,Godugu Satyanarayana,CPI(ML)(L),0,Graduate,40,"Rs 28,000 ~ 28 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,KAKINADA
137,Jyothula Venkateswara Rao,Janasena Party,0,12th Pass,62,"Rs 17,34,51,539 ~ 17 Crore+","Rs 11,50,000 ~ 11 Lacs+",0,ANDHRA PRADESH,KAKINADA
138,Kakileti Ravindra,IND,0,10th Pass,41,"Rs 18,20,000 ~ 18 Lacs+","Rs 7,50,000 ~ 7 Lacs+",0,ANDHRA PRADESH,KAKINADA
139,Mallipudi Sri Ramachandra Murthy,INC,0,5th Pass,66,"Rs 39,95,000 ~ 39 Lacs+","Rs 5,95,000 ~ 5 Lacs+",0,ANDHRA PRADESH,KAKINADA
140,Medisetti Vijaya Kumar,IND, 8 ,12th Pass,53,"Rs 4,62,43,484 ~ 4 Crore+","Rs 1,13,58,500 ~ 1 Crore+",0,ANDHRA PRADESH,KAKINADA
141,Peddimsetti Venkateswara Rao,Jana Jagruti Party, 2 ,12th Pass,46,"Rs 2,37,42,000 ~ 2 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,KAKINADA
142,Sathi Veera Lakshmi,Pyramid Party of India,0,Illiterate,38,"Rs 30,000 ~ 30 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,KAKINADA
143,Sunil Kumar Chalamalasetty,TDP,0,Post Graduate,49,"Rs 25,32,66,524 ~ 25 Crore+","Rs 1,83,10,000 ~ 1 Crore+",0,ANDHRA PRADESH,KAKINADA
144,Vasamsetty Venakta Ramana,AIFB,0,10th Pass,0,"Rs 48,50,000 ~ 48 Lacs+","Rs 21,70,000 ~ 21 Lacs+",0,ANDHRA PRADESH,KAKINADA
