Sno,Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,Winner,State,Constituency
1,MANORANJAN BHAKTA   Winner ,INC,0,Post Graduate,65,"Rs 59,26,740 ~ 59 Lacs+","Rs 2,72,061 ~ 2 Lacs+",1,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
2,A K BISWAS,BSP,0,Graduate,61,"Rs 78,76,500 ~ 78 Lacs+","Rs 65,000 ~ 65 Thou+",0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
3,ASIT BARAN DUTTA,IND,0,Graduate,50,"Rs 30,70,000 ~ 30 Lacs+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
4,BISHNU PADA RAY,BJP,0,Graduate,54,"Rs 12,50,619 ~ 12 Lacs+","Rs 1,28,710 ~ 1 Lacs+",0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
5,DEEPAK BISWAS,IND,0,Not Given,28,"Rs 3,000 ~ 3 Thou+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
6,DR SHANMUGAM,LJNSP,0,Doctorate,66,"Rs 61,66,416 ~ 61 Lacs+","Rs 67,070 ~ 67 Thou+",0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
7,GOUR CHANDRA MAJUMDER,IND,0,Graduate,37,"Rs 36,200 ~ 36 Thou+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
8,K KALIMUTHU,IND,1,8th Pass,51,"Rs 4,72,440 ~ 4 Lacs+","Rs 73,878 ~ 73 Thou+",0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
9,K PERUMAL,SWD,0,Literate,65,"Rs 77,52,141 ~ 77 Lacs+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
10,N K P NAIR,CPI(ML)(L),0,Literate,49,"Rs 7,72,588 ~ 7 Lacs+","Rs 1,88,000 ~ 1 Lacs+",0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
