Sno,Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,Winner,State,Constituency
11,R S UMA BHARATHY,NCP,1,Not Given,40,"Rs 59,977 ~ 59 Thou+","Rs 35,000 ~ 35 Thou+",0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
12,TAPAN KUMAR BEPARI,CPM,0,Post Graduate,46,"Rs 24,35,276 ~ 24 Lacs+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
13,MADHUSUDHAN REDDY THAKKALA   Winner ,TRS,0,Graduate Professional,59,"Rs 75,50,000 ~ 75 Lacs+","Rs 1,20,000 ~ 1 Lacs+",1,ANDHRA PRADESH,Adilabad
14,DR S VENUGOPALA CHARY,TDP,0,Others,42,"Rs 1,15,80,000 ~ 1 Crore+","Rs 12,47,053 ~ 12 Lacs+",0,ANDHRA PRADESH,Adilabad
15,MOTHE BARIK RAO,PRBP,0,Graduate,32,Nil,"Rs 30,000 ~ 30 Thou+",0,ANDHRA PRADESH,Adilabad
16,NAINALA GOVERDHAN,IND,0,Post Graduate,30,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Adilabad
17,D. MURALIKRISHNA,BSP,0,Others,59,"Rs 67,63,811 ~ 67 Lacs+","Rs 7,48,000 ~ 7 Lacs+",1,ANDHRA PRADESH,Amalapuram
18,DUNNA JANARDHANA RAO,TDP,0,Graduate,51,"Rs 9,88,000 ~ 9 Lacs+","Rs 60,000 ~ 60 Thou+",0,ANDHRA PRADESH,Amalapuram
19,MUNEESWARA RAO BHUPATI,IND,0,Others,59,"Rs 2,36,200 ~ 2 Lacs+","Rs 35,000 ~ 35 Thou+",0,ANDHRA PRADESH,Amalapuram
20,YALANGI RAMESH,IND,0,Not Given,40,"Rs 3,40,000 ~ 3 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Amalapuram
21,CHALAPATHIRAO PAPPALA   Winner ,TDP,0,Graduate,58,"Rs 53,96,505 ~ 53 Lacs+","Rs 2,46,000 ~ 2 Lacs+",1,ANDHRA PRADESH,Anakapalli
22,NANDA GOPAL GANDHAM,INC,0,Not Given,0,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Anakapalli
23,ANANTHA VENKATA RAMI REDDY   Winner ,INC,0,Post Graduate,47,"Rs 38,90,000 ~ 38 Lacs+","Rs 4,37,636 ~ 4 Lacs+",1,ANDHRA PRADESH,Anantapur
24,A. JAGAN MOHAN RAO,TRS,0,Graduate,32,"Rs 5,05,000 ~ 5 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Anantapur
25,B. S. AMARNATH,IND,0,Graduate,42,"Rs 33,698 ~ 33 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Anantapur
26,GADDALA NAGABHUSHANAM,BSP,0,Graduate,41,"Rs 97,000 ~ 97 Thou+","Rs 9,000 ~ 9 Thou+",0,ANDHRA PRADESH,Anantapur
27,K. VENKATESULU,PPOI,0,12th Pass,44,"Rs 54,000 ~ 54 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Anantapur
28,KALAVA SRINIVASULU,TDP,0,Post Graduate,39,"Rs 3,00,320 ~ 3 Lacs+","Rs 88,000 ~ 88 Thou+",0,ANDHRA PRADESH,Anantapur
29,YATHAM POTHALAIAH,IND,0,Not Given,32,"Rs 1,20,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Anantapur
30,DAGGUBATI PURANDARESWARI   Winner ,INC,0,Others,44,"Rs 4,09,07,640 ~ 4 Crore+","Rs 52,12,201 ~ 52 Lacs+",1,ANDHRA PRADESH,Bapatla
31,CHELLAMALLA VENKATA REDDY,TRS,0,Graduate,0,"Rs 70,000 ~ 70 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Bapatla
32,DAGGUBATI RAMANAIDU,TDP,0,Graduate,67,"Rs 9,87,90,428 ~ 9 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,Bapatla
33,INAGANTI APPARAO,IND,0,Others,40,"Rs 32,98,000 ~ 32 Lacs+","Rs 2,00,000 ~ 2 Lacs+",0,ANDHRA PRADESH,Bapatla
34,PRATHIPATI SRINIVASU,IND,0,Graduate,0,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Bapatla
35,MIDIYAM BABU RAO   Winner ,CPM,0,Graduate Professional,52,"Rs 5,42,000 ~ 5 Lacs+","Rs 1,30,000 ~ 1 Lacs+",1,ANDHRA PRADESH,Bhadrachalam
36,JANNI APPA RAO,BSP,0,12th Pass,30,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Bhadrachalam
37,SMT.KPRK PHANEESWARAMMA,TDP,0,Others,39,"Rs 29,41,913 ~ 29 Lacs+","Rs 42,000 ~ 42 Thou+",0,ANDHRA PRADESH,Bhadrachalam
38,KONDAPALLI PYDITHALLI NAIDU   Winner ,TDP,0,Not Given,73,"Rs 19,79,000 ~ 19 Lacs+","Rs 50,000 ~ 50 Thou+",1,ANDHRA PRADESH,Bobbili
39,G.VENKATESH,TRS,0,Graduate,47,"Rs 38,000 ~ 38 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Bobbili
40,JHANSI BOTCHA,INC,0,Post Graduate,40,"Rs 2,59,00,500 ~ 2 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,Bobbili
41,PEDDINTI JAGANMOHAN RAO,IND,0,Others,0,"Rs 59,88,503 ~ 59 Lacs+","Rs 97,000 ~ 97 Thou+",0,ANDHRA PRADESH,Bobbili
42,D.K. AUDIKESAVULU   Winner ,TDP,0,Not Given,63,"Rs 67,05,76,468 ~ 67 Crore+",Rs 0 ~ ,1,ANDHRA PRADESH,Chittoor
43,A.MALLA RAO,TRS,0,Others,42,"Rs 3,55,000 ~ 3 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Chittoor
44,D.A NAGARAJU,IND,0,Not Given,46,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Chittoor
45,DR. RAVURI VENKATA SWAMY,INC,0,Graduate,54,"Rs 1,18,15,429 ~ 1 Crore+","Rs 2,28,886 ~ 2 Lacs+",0,ANDHRA PRADESH,Chittoor
46,S.SAHADEVA REDDY,IND,0,Post Graduate,31,"Rs 2,10,000 ~ 2 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Chittoor
47,SHAIK JEELANI BASHA,IND,0,Not Given,54,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Chittoor
48,Y.S. VIVEKANANDA REDDY   Winner ,INC,0,Graduate,51,"Rs 3,62,27,380 ~ 3 Crore+",Rs 0 ~ ,1,ANDHRA PRADESH,Cuddapah
49,B.NARAYANA REDDY,RPI,0,Not Given,42,"Rs 15,07,000 ~ 15 Lacs+","Rs 27,000 ~ 27 Thou+",0,ANDHRA PRADESH,Cuddapah
50,C.BALAVARADA REDDY,IND,0,Others,39,"Rs 1,30,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Cuddapah
51,C.GOPI NARASIMHA REDDY,IND,0,Graduate,28,"Rs 20,000 ~ 20 Thou+","Rs 20,000 ~ 20 Thou+",0,ANDHRA PRADESH,Cuddapah
52,G.RAVINDRANATHA REDDY,JP,0,8th Pass,53,"Rs 18,11,500 ~ 18 Lacs+","Rs 3,10,000 ~ 3 Lacs+",0,ANDHRA PRADESH,Cuddapah
53,INDI REDDY THIMMA REDDY,RJD,2,Not Given,38,"Rs 11,50,000 ~ 11 Lacs+","Rs 1,80,000 ~ 1 Lacs+",0,ANDHRA PRADESH,Cuddapah
54,KONDABOINA SREENIVASULU K,PPOI,0,Not Given,35,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Cuddapah
55,N BHASKARA REDDY,PP,0,Not Given,0,"Rs 3,81,000 ~ 3 Lacs+","Rs 20,000 ~ 20 Thou+",0,ANDHRA PRADESH,Cuddapah
56,O.SUBBA REDDY,Akhil Bharatiya Jan Sangh,0,Others,54,"Rs 4,08,000 ~ 4 Lacs+","Rs 30,000 ~ 30 Thou+",0,ANDHRA PRADESH,Cuddapah
57,PECHARA VENKATESHWAR RAO,TRS,0,Graduate,36,"Rs 12,50,000 ~ 12 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Cuddapah
58,PUTHA RAMAPRASADA REDDY,Ambedkar National Congress,0,8th Pass,37,"Rs 50,000 ~ 50 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Cuddapah
59,SIVANATHA REDDY CHADIPIRALLA,NTRTDP(LP),3,10th Pass,40,"Rs 17,10,000 ~ 17 Lacs+","Rs 86,755 ~ 86 Thou+",0,ANDHRA PRADESH,Cuddapah
60,T BHASKAR REDDY,IND,0,10th Pass,49,"Rs 9,21,500 ~ 9 Lacs+","Rs 2,00,000 ~ 2 Lacs+",0,ANDHRA PRADESH,Cuddapah
61,VENKATA MYSURA REDDY MULE,TDP,1,Others,55,"Rs 14,85,000 ~ 14 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Cuddapah
62,VITTA SUBBA RAO,IND,0,Post Graduate,64,"Rs 5,24,324 ~ 5 Lacs+","Rs 1,11,900 ~ 1 Lacs+",0,ANDHRA PRADESH,Cuddapah
63,KAVURU  SAMBA SIVA RAO   Winner ,INC,0,Not Given,60,"Rs 11,78,98,221 ~ 11 Crore+","Rs 1,91,621 ~ 1 Lacs+",1,ANDHRA PRADESH,Eluru
64,B.N.V.SATYANARAYANA,TRS,0,Post Graduate,42,"Rs 50,000 ~ 50 Thou+","Rs 10,50,000 ~ 10 Lacs+",0,ANDHRA PRADESH,Eluru
65,BOLLA BULLI RAMAIAH,TDP,0,Others,77,"Rs 8,33,68,069 ~ 8 Crore+","Rs 34,70,256 ~ 34 Lacs+",0,ANDHRA PRADESH,Eluru
66,D.S.V.KRISHNAJI,BSP,0,Others,38,"Rs 34,65,000 ~ 34 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Eluru
67,KODURI SRIRAMULU,IND,0,10th Pass,45,"Rs 31,46,414 ~ 31 Lacs+","Rs 1,42,243 ~ 1 Lacs+",0,ANDHRA PRADESH,Eluru
68,S.V.B.REDDY,IND,0,Others,57,"Rs 16,62,000 ~ 16 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Eluru
69,S.V.SUBBARAO,IND,0,Graduate,44,"Rs 42,927 ~ 42 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Eluru
70,RAYAPATI  SAMBASIVA RAO   Winner ,INC,0,Not Given,61,"Rs 4,81,98,297 ~ 4 Crore+","Rs 98,89,900 ~ 98 Lacs+",1,ANDHRA PRADESH,Guntur
71,JUPALLI HANUMANTHA RAO GOUD,BSP,0,10th Pass,39,"Rs 12,50,000 ~ 12 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Guntur
72,MUVVA VENKAT RAO,IND,0,Post Graduate,72,"Rs 58,90,000 ~ 58 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Guntur
73,VENKATESWARLU GUNDI,TRS,0,Others,38,"Rs 8,05,000 ~ 8 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Guntur
74,Y. V. RAO,TDP,0,Graduate,71,"Rs 2,78,26,692 ~ 2 Crore+","Rs 39,77,714 ~ 39 Lacs+",0,ANDHRA PRADESH,Guntur
75,B.VINOD KUMAR   Winner ,TRS,0,Graduate,45,"Rs 1,00,11,716 ~ 1 Crore+",Rs 0 ~ ,1,ANDHRA PRADESH,Hanamkonda
76,CHADA SURESH REDDY,TDP,0,Graduate,45,"Rs 2,36,65,000 ~ 2 Crore+","Rs 1,20,000 ~ 1 Lacs+",0,ANDHRA PRADESH,Hanamkonda
77,DR.DHARMAPUR SAMPATH RAJARAM YADAV,IND,0,Others,52,"Rs 77,00,000 ~ 77 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Hanamkonda
78,NIZAMODDIN   Winner ,INC,0,Graduate,50,"Rs 14,05,000 ~ 14 Lacs+","Rs 2,00,779 ~ 2 Lacs+",1,ANDHRA PRADESH,Hindupur
79,B. SURENDER KUMAR,TRS,0,Graduate,31,"Rs 70,000 ~ 70 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Hindupur
80,B.K.PARDHASARATHI,TDP,0,Graduate,45,"Rs 43,06,482 ~ 43 Lacs+","Rs 21,96,288 ~ 21 Lacs+",0,ANDHRA PRADESH,Hindupur
81,SMT DESAI REDDY PRABHAVATHI,IND,0,Not Given,44,"Rs 5,70,000 ~ 5 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Hindupur
82,ASADUDDIN OWAISI   Winner ,AIMIM,3,Graduate Professional,37,"Rs 39,02,342 ~ 39 Lacs+",Rs 0 ~ ,1,ANDHRA PRADESH,Hyderabad
83,BHAGWAN DAS,IND,0,Others,45,"Rs 1,02,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
84,G.SUBASH CHANDERJI,BJP,0,Others,51,"Rs 3,38,000 ~ 3 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
85,KONDA LAKSHMA REDDY,INC,0,Graduate,56,"Rs 10,25,000 ~ 10 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
86,MAJEEDULLAH KHAN @ FARHAT KHAN,MBT,0,12th Pass,36,"Rs 7,00,000 ~ 7 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
87,MOHSIN-BIN-HUSSAIN AL-KASARI,IND,0,Others,28,"Rs 47,15,000 ~ 47 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
88,SALAHUDDIN AHMED S.K.,IND,0,Not Given,50,"Rs 9,46,744 ~ 9 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
89,SMT.G.SHOBHA RANI,BSP,0,Others,41,"Rs 3,900 ~ 3 Thou+","Rs 2,50,000 ~ 2 Lacs+",0,ANDHRA PRADESH,Hyderabad
90,SMT.VARSHA DHAWAN,PPOI,0,12th Pass,48,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
91,SYED GAFFAR,IND,0,Not Given,40,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
92,MUDRAGADA PADMANABHAM,TDP,0,Not Given,0,Nil,Rs 0 ~ ,1,ANDHRA PRADESH,Kakinada
93,NAINALASETTI MURTHY,CPI(ML)(L),0,Not Given,51,"Rs 9,00,000 ~ 9 Lacs+","Rs 5,62,000 ~ 5 Lacs+",0,ANDHRA PRADESH,Kakinada
94,K. CHANDRA SHAKHER RAO   Winner ,TRS,0,Graduate,51,"Rs 85,98,858 ~ 85 Lacs+","Rs 25,59,507 ~ 25 Lacs+",1,ANDHRA PRADESH,Karimnagar
95,CHENNAMANENI VIDYASAGAR RAO,BJP,0,Graduate Professional,61,"Rs 51,96,600 ~ 51 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Karimnagar
96,KOTHAPALLI SANDRI MENAYYA,BSP,0,Graduate,69,"Rs 18,15,000 ~ 18 Lacs+","Rs 4,00,000 ~ 4 Lacs+",0,ANDHRA PRADESH,Karimnagar
97,MAMIDIPALLI GANGARAJAM,IND,0,12th Pass,50,"Rs 72,000 ~ 72 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Karimnagar
98,RENUKA CHOWDHURY   Winner ,INC,1,Post Graduate,49,"Rs 13,69,12,161 ~ 13 Crore+","Rs 3,00,414 ~ 3 Lacs+",1,ANDHRA PRADESH,Khammam
99,ARUNA CHANDRA,IND,0,Not Given,44,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Khammam
100,BANOTH SOMLA NAIK,IND,0,Others,58,"Rs 44,60,000 ~ 44 Lacs+","Rs 3,06,157 ~ 3 Lacs+",0,ANDHRA PRADESH,Khammam
101,BURRA VENKANNA,IND,0,5th Pass,39,"Rs 54,000 ~ 54 Thou+","Rs 3,000 ~ 3 Thou+",0,ANDHRA PRADESH,Khammam
102,NALAJALA SAROJA,PPOI,0,Not Given,46,"Rs 26,85,000 ~ 26 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Khammam
103,NAMA NAGESWARA RAO,TDP,0,12th Pass,45,"Rs 36,83,000 ~ 36 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Khammam
104,NAMA NAIK ISLAVATH,IND,0,Others,43,"Rs 1,60,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Khammam
105,PADIGA YERRAIAH,IND,0,10th Pass,60,"Rs 2,38,000 ~ 2 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Khammam
106,PITTALA VENKATA NARASAIAH MUDIRA,MRS,0,10th Pass,49,"Rs 6,35,000 ~ 6 Lacs+","Rs 50,000 ~ 50 Thou+",0,ANDHRA PRADESH,Khammam
107,KOTLA JAYASURYA PRAKASHA REDDY   Winner ,INC,0,Graduate,52,"Rs 1,59,41,801 ~ 1 Crore+","Rs 6,81,000 ~ 6 Lacs+",1,ANDHRA PRADESH,Kurnool
108,DR. PARAMESHWAR REDDY,PPOI,0,Graduate Professional,36,"Rs 78,000 ~ 78 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Kurnool
109,GIRI NIVARTHI RAO YADAV,IND,0,Post Graduate,52,"Rs 48,42,200 ~ 48 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Kurnool
110,JAMES,IND,0,12th Pass,39,"Rs 10,000 ~ 10 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Kurnool
111,K. V. KRISHNA KUMAR,IND,1,Graduate,26,"Rs 50,000 ~ 50 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Kurnool
112,KAMBALAPADU EDIGA KRISHNAMURTHI,TDP,0,Not Given,65,"Rs 3,24,96,805 ~ 3 Crore+","Rs 1,86,82,834 ~ 1 Crore+",0,ANDHRA PRADESH,Kurnool
113,R. V. MOHANA REDDY,JP,0,Graduate,42,"Rs 2,35,000 ~ 2 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Kurnool
114,REDDIPOGU DAVID,BSP,0,Not Given,47,"Rs 5,37,500 ~ 5 Lacs+","Rs 7,20,000 ~ 7 Lacs+",0,ANDHRA PRADESH,Kurnool
115,T. SESHAPHANI,IND,0,12th Pass,34,"Rs 2,000 ~ 2 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Kurnool
116,V. RAVINDER RAO,TRS,0,Not Given,35,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Kurnool
117,BADIGA RAMAKRISHNA   Winner ,INC,0,12th Pass,61,"Rs 13,85,45,000 ~ 13 Crore+","Rs 1,15,59,000 ~ 1 Crore+",1,ANDHRA PRADESH,Machilipatnam
118,ADAPALA SIVANNARAYANA,PPOI,0,Others,32,"Rs 2,98,906 ~ 2 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Machilipatnam
119,AMBATI BRAHMANAIAH,TDP,0,Post Graduate,64,"Rs 15,46,471 ~ 15 Lacs+","Rs 1,68,301 ~ 1 Lacs+",0,ANDHRA PRADESH,Machilipatnam
120,B.S.RAO,TRS,0,Others,42,"Rs 82,00,000 ~ 82 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Machilipatnam
121,DODDA KAMESWARA RAO,IND,0,10th Pass,49,"Rs 15,00,000 ~ 15 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Machilipatnam
122,YENDURI SUBRAHMANYESWARA RAO (MANI),IND,0,Others,46,"Rs 8,00,000 ~ 8 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Machilipatnam
123,D. VITTAL RAO   Winner ,INC,0,Graduate,53,"Rs 6,50,75,830 ~ 6 Crore+","Rs 30,00,000 ~ 30 Lacs+",1,ANDHRA PRADESH,Mahabubnagar
124,G. RAMCHANDRAIAH YADAV,BSP,0,Others,47,Rs 182 ~ 1 Hund+,Rs 0 ~ ,0,ANDHRA PRADESH,Mahabubnagar
125,MOHD. MAZHER HUSSAIN,Muslim League Kerala State Committee,0,Not Given,52,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Mahabubnagar
126,SMT. GUNDALA VIJAYA LAKSHMI,PPOI,0,12th Pass,56,"Rs 50,000 ~ 50 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Mahabubnagar
127,YELKOTI YELLA REDDY,TDP,0,12th Pass,64,"Rs 19,04,000 ~ 19 Lacs+","Rs 1,89,910 ~ 1 Lacs+",0,ANDHRA PRADESH,Mahabubnagar
128,A. NARENDRA   Winner ,TRS,0,Graduate,49,"Rs 20,20,000 ~ 20 Lacs+","Rs 5,00,000 ~ 5 Lacs+",1,ANDHRA PRADESH,Medak
129,K. LAXMAIAH YADAV,IND,0,Graduate,45,"Rs 1,80,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Medak
130,MD. ULFATHALI,IND,0,Not Given,62,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Medak
131,NALLA SURYAPRAKASH,BSP,0,Graduate,43,"Rs 10,000 ~ 10 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Medak
132,P RAMACHANDRA REDDY,BJP,0,Post Graduate,73,"Rs 64,54,939 ~ 64 Lacs+","Rs 6,40,392 ~ 6 Lacs+",0,ANDHRA PRADESH,Medak
133,P. JEEVULA NAIK,IND,0,5th Pass,57,"Rs 23,79,500 ~ 23 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Medak
134,JAIPAL REDDY SUDINI   Winner ,INC,0,Post Graduate,62,"Rs 1,22,64,007 ~ 1 Crore+","Rs 15,46,865 ~ 15 Lacs+",1,ANDHRA PRADESH,Miryalguda
135,MARRY NEHEMIAH,IND,0,Graduate,50,"Rs 80,000 ~ 80 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Miryalguda
136,VANGALA SWAMY GOUD,TDP,0,Not Given,52,"Rs 50,01,067 ~ 50 Lacs+","Rs 19,93,070 ~ 19 Lacs+",0,ANDHRA PRADESH,Miryalguda
137,VARIKUPPALA VENKANNA,MCPI(S),0,10th Pass,33,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Miryalguda
138,YANALA NARSI REDDY,IND,0,12th Pass,37,"Rs 62,000 ~ 62 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Miryalguda
139,DR.MANDA JAGANNATH   Winner ,TDP,0,Post Graduate,52,"Rs 65,45,314 ~ 65 Lacs+","Rs 23,39,000 ~ 23 Lacs+",1,ANDHRA PRADESH,Nagarkurnool
140,DR. G.RAGHAVULU,IND,0,Others,47,"Rs 1,35,000 ~ 1 Lacs+","Rs 1,70,000 ~ 1 Lacs+",0,ANDHRA PRADESH,Nagarkurnool
141,K.S.RATNAM,IND,0,Not Given,46,"Rs 68,97,500 ~ 68 Lacs+","Rs 5,06,545 ~ 5 Lacs+",0,ANDHRA PRADESH,Nagarkurnool
142,P. LALAIAH,BSP,0,Graduate,60,"Rs 50,000 ~ 50 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Nagarkurnool
143,P.BHAGAVANTHU,IND,0,Not Given,28,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Nagarkurnool
144,SURAVARAM SUDHAKAR REDDY   Winner ,CPI,1,Graduate Professional,62,"Rs 19,90,000 ~ 19 Lacs+","Rs 9,62,600 ~ 9 Lacs+",1,ANDHRA PRADESH,Nalgonda
145,A.NAGESWARA RAO,PPOI,0,Graduate,54,"Rs 6,45,000 ~ 6 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Nalgonda
146,GUMMI BAKKA REDDY,IND,0,Not Given,60,"Rs 1,25,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Nalgonda
147,GYARA PRATHAP,IND,0,10th Pass,41,"Rs 8,00,000 ~ 8 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Nalgonda
148,NALLU INDRASENA REDDY,BJP,0,Post Graduate,53,"Rs 1,62,42,000 ~ 1 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,Nalgonda
149,PUDARI NARSIMHA,BSP,0,Graduate,34,Nil,"Rs 1,25,000 ~ 1 Lacs+",0,ANDHRA PRADESH,Nalgonda
150,VATTIPALLY SRINIVAS GOUD,TRS,0,Graduate,40,"Rs 41,90,972 ~ 41 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Nalgonda
151,S. P. Y. REDDY   Winner ,INC,0,Graduate Professional,54,"Rs 6,46,46,900 ~ 6 Crore+","Rs 1,33,74,000 ~ 1 Crore+",1,ANDHRA PRADESH,Nandyal
152,A. C  V. SUBBAIAH,BSP,0,Graduate,40,"Rs 1,00,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Nandyal
153,BHUMA SHOBHA NAGI REDDY,TDP,0,12th Pass,34,"Rs 3,40,03,688 ~ 3 Crore+","Rs 48,19,821 ~ 48 Lacs+",0,ANDHRA PRADESH,Nandyal
154,BUDDA REDDY SRINIVASA REDDY,IND,0,Not Given,33,"Rs 66,86,000 ~ 66 Lacs+","Rs 23,00,000 ~ 23 Lacs+",0,ANDHRA PRADESH,Nandyal
155,INJETI KRISHNA REDDY,IND,2,Not Given,40,"Rs 30,50,000 ~ 30 Lacs+","Rs 30,000 ~ 30 Thou+",0,ANDHRA PRADESH,Nandyal
