Sno,Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,Winner,State,Constituency
1,Shri Bishnu Pada Ray   Winner ,BJP, 1 ,Graduate,59,"Rs 12,41,034 ~ 12 Lacs+",Rs 0 ~ ,1,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
2,Shri P. R. Ganeshan,RJD,0,Not Given,71,"Rs 3,29,563 ~ 3 Lacs+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
3,Shri Pradeep Kumar Ekka,JDP,0,Others,37,"Rs 4,10,000 ~ 4 Lacs+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
4,Shri T. Ali,IND,0,12th Pass,37,"Rs 4,45,957 ~ 4 Lacs+","Rs 2,96,000 ~ 2 Lacs+",0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
5,Shri Tapan Kumar Bepari,CPM,0,Post Graduate,52,"Rs 39,86,000 ~ 39 Lacs+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
6,Shri Vakiath Valappil Khalid,IND,0,8th Pass,41,"Rs 57,000 ~ 57 Thou+","Rs 48,362 ~ 48 Thou+",0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
7,Shri. Kuldeep Rai Sharma,INC, 1 ,Graduate Professional,41,"Rs 54,09,630 ~ 54 Lacs+","Rs 10,374 ~ 10 Thou+",0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
8,Shri. M. S. Mohan,BSP,0,10th Pass,50,"Rs 54,52,500 ~ 54 Lacs+","Rs 3,00,000 ~ 3 Lacs+",0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
9,Shri. N. K. P. Nair,CPI(ML)(L),0,10th Pass,54,"Rs 14,88,456 ~ 14 Lacs+","Rs 62,000 ~ 62 Thou+",0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
10,Smti. R. S. Uma Bharathy,NCP, 1 ,Graduate,44,"Rs 73,000 ~ 73 Thou+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
11,Ramesh Rathod   Winner ,TDP, 2 ,12th Pass,43,"Rs 34,10,000 ~ 34 Lacs+","Rs 8,15,241 ~ 8 Lacs+",1,ANDHRA PRADESH,Adilabad
12,A Laxman Rao,IND,0,10th Pass,47,"Rs 15,60,000 ~ 15 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Adilabad
13,Ade Tukaram,BJP,0,10th Pass,55,"Rs 8,65,000 ~ 8 Lacs+","Rs 3,70,000 ~ 3 Lacs+",0,ANDHRA PRADESH,Adilabad
14,Banka Sahadev,IND,0,Not Given,56,"Rs 1,18,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Adilabad
15,G Pentanna,IND,0,Post Graduate,36,"Rs 4,36,000 ~ 4 Lacs+","Rs 13,000 ~ 13 Thou+",0,ANDHRA PRADESH,Adilabad
16,Kotnak Ramesh,INC,0,12th Pass,39,"Rs 26,00,000 ~ 26 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Adilabad
17,Masram Nago Rao,PRAP,0,Post Graduate,59,"Rs 3,50,000 ~ 3 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Adilabad
18,N Ramdas,IND,0,5th Pass,35,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Adilabad
19,Rathod Sadashiv Naik,BSP,0,Graduate,50,"Rs 11,50,000 ~ 11 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Adilabad
20,G V Harsha Kumar   Winner ,INC, 1 ,Post Graduate,50,"Rs 72,89,000 ~ 72 Lacs+","Rs 10,14,298 ~ 10 Lacs+",1,ANDHRA PRADESH,Amalapuram
21,AKUMARTHI SURYANARAYANA,Trilinga Praja Pragati Party,0,5th Pass,50,"Rs 3,95,000 ~ 3 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Amalapuram
22,BHEEMARAO RAMJI MUTHABATHULA,PPOI,0,10th Pass,39,"Rs 50,000 ~ 50 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Amalapuram
23,Doctor G Varalakshmi,TDP,0,Graduate Professional,51,"Rs 1,08,53,316 ~ 1 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,Amalapuram
24,G Sampada Rao,BSP,0,Graduate Professional,39,"Rs 20,000 ~ 20 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Amalapuram
25,K Uma Maheswara Rao,BJP,0,Graduate Professional,65,"Rs 1,60,79,000 ~ 1 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,Amalapuram
26,KIRAN KUMAR BINEPE,PBHP,0,Not Given,43,"Rs 15,887 ~ 15 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Amalapuram
27,Masa Ramadasu,RDMP,0,Not Given,45,"Rs 20,000 ~ 20 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Amalapuram
28,P V Chakravarthi,RPI(KH),0,Graduate Professional,54,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Amalapuram
29,Pothula Prameela Devi,PRAP,0,Graduate,55,"Rs 5,50,000 ~ 5 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Amalapuram
30,Yalangi Ramesh,IND,0,Graduate Professional,45,"Rs 5,20,000 ~ 5 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Amalapuram
31,Sabbam Hari   Winner ,INC,0,12th Pass,55,"Rs 8,50,32,286 ~ 8 Crore+","Rs 4,50,000 ~ 4 Lacs+",1,ANDHRA PRADESH,Anakapalle
32,ALLU ARAVIND,PRAP, 1 ,Graduate,62,"Rs 45,21,81,969 ~ 45 Crore+","Rs 5,39,58,644 ~ 5 Crore+",0,ANDHRA PRADESH,Anakapalle
33,Bheemisetti Nageswararao,RJD,0,Post Graduate,41,"Rs 11,20,500 ~ 11 Lacs+","Rs 2,00,000 ~ 2 Lacs+",0,ANDHRA PRADESH,Anakapalle
34,Boyina Nageswara Rao,JD(U),0,5th Pass,52,"Rs 5,00,000 ~ 5 Lacs+","Rs 3,80,898 ~ 3 Lacs+",0,ANDHRA PRADESH,Anakapalle
35,Kirla Appa Rao,BJP,0,Not Given,57,"Rs 50,000 ~ 50 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Anakapalle
36,Nanda Gopal Gandham,IND,0,Others,60,"Rs 14,81,80,000 ~ 14 Crore+","Rs 3,00,00,000 ~ 3 Crore+",0,ANDHRA PRADESH,Anakapalle
37,NOOKARAPU SURYA PRAKASA RAO,TDP,0,Graduate,50,"Rs 11,97,26,600 ~ 11 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,Anakapalle
38,Pathala Satya Rao,IND,0,Literate,46,"Rs 1,50,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Anakapalle
39,Pulamarasetti .Venkata Ramana,PPOI,0,Graduate,28,"Rs 3,500 ~ 3 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Anakapalle
40,Venkata Ramana Babu Pilla,BSP,0,10th Pass,35,"Rs 60,46,173 ~ 60 Lacs+","Rs 17,98,837 ~ 17 Lacs+",0,ANDHRA PRADESH,Anakapalle
41,ANANTHA VENKATA RAMI REDDY   Winner ,INC,0,Post Graduate,52,"Rs 1,30,15,000 ~ 1 Crore+",Rs 0 ~ ,1,ANDHRA PRADESH,Anantapur
42,AMARNATH,LSP,0,Graduate,32,"Rs 4,88,500 ~ 4 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Anantapur
43,AMBATI RAMA KRISHNA REDDY,BJP,0,Graduate Professional,41,"Rs 2,55,50,000 ~ 2 Crore+","Rs 2,51,000 ~ 2 Lacs+",0,ANDHRA PRADESH,Anantapur
44,DEVELLA MURALI,IND,0,5th Pass,45,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Anantapur
45,G HARI,PPOI,0,Post Graduate,30,"Rs 80,000 ~ 80 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Anantapur
46,GADDALA NAGABHUSHANAM,BSP, 2 ,Post Graduate,48,"Rs 5,75,000 ~ 5 Lacs+","Rs 9,000 ~ 9 Thou+",0,ANDHRA PRADESH,Anantapur
47,J C RAMANUJULA REDDY,IND,0,8th Pass,52,"Rs 25,43,000 ~ 25 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Anantapur
48,K P NARAYANA SWAMY,IND,0,Graduate,41,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Anantapur
49,KALAVA SRINIVASULU,TDP,0,Post Graduate,44,"Rs 42,05,517 ~ 42 Lacs+","Rs 19,50,000 ~ 19 Lacs+",0,ANDHRA PRADESH,Anantapur
50,KRUSHNAPURAM GAYATHRI DEVI,CPI(ML)(L),0,5th Pass,36,"Rs 10,57,900 ~ 10 Lacs+","Rs 7,50,000 ~ 7 Lacs+",0,ANDHRA PRADESH,Anantapur
51,MANSOOR,PRAP,0,10th Pass,56,"Rs 3,37,90,000 ~ 3 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,Anantapur
52,T CHANDRA SEKHAR,IND,0,Not Given,30,"Rs 8,00,000 ~ 8 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Anantapur
53,V. Kishore Chandra Deo   Winner ,INC,0,Post Graduate,62,"Rs 24,74,10,000 ~ 24 Crore+",Rs 0 ~ ,1,ANDHRA PRADESH,Araku
54,A Gumpa Swamy,IND,0,Illiterate,60,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Araku
55,G Balayya Dora,RJD,0,Graduate,38,"Rs 5,09,264 ~ 5 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Araku
56,Illa Rami Reddy,IND,0,Literate,54,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Araku
57,Jayalakshmi Sambudu,IND,0,Not Given,39,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Araku
58,K Appa Rao,IND,0,10th Pass,48,"Rs 11,03,000 ~ 11 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Araku
59,Kurusa  Bojjaiah,BJP,0,10th Pass,56,"Rs 10,28,805 ~ 10 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Araku
60,Lake Raja Rao,BSP,0,12th Pass,50,"Rs 3,50,000 ~ 3 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Araku
61,Meenaka Simhachalam,PRAP,0,Graduate,43,"Rs 20,29,200 ~ 20 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Araku
62,Midiyam Babu Rao,CPM,0,Graduate Professional,58,"Rs 7,07,000 ~ 7 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Araku
63,Vadigala Pentayya,LSP,0,Graduate,56,"Rs 10,45,000 ~ 10 Lacs+","Rs 7,80,000 ~ 7 Lacs+",0,ANDHRA PRADESH,Araku
64,PANABAKA LAKSHMI   Winner ,INC,0,Post Graduate,50,"Rs 1,66,35,386 ~ 1 Crore+",Rs 0 ~ ,1,ANDHRA PRADESH,Bapatla
65,BATTULA ROSAYYA,BJP,0,Not Given,52,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Bapatla
66,DARA SAMBAIAH,BSP,0,Not Given,62,"Rs 71,70,000 ~ 71 Lacs+","Rs 6,98,162 ~ 6 Lacs+",0,ANDHRA PRADESH,Bapatla
67,GARIKAPATI SUDHAKAR,RDMP,0,8th Pass,32,"Rs 60,000 ~ 60 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Bapatla
68,GOLLA BABU RAO,IND,0,Post Graduate,34,"Rs 50,000 ~ 50 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Bapatla
69,GORREMUCHU CHINNA RAO,IND,0,5th Pass,42,"Rs 2,58,000 ~ 2 Lacs+","Rs 1,10,985 ~ 1 Lacs+",0,ANDHRA PRADESH,Bapatla
70,GUDIPALLI SATHYA BABUJI,IND,0,Graduate,40,"Rs 39,00,000 ~ 39 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Bapatla
71,MALYADRI SRIRAM,TDP,0,Post Graduate,55,"Rs 1,58,70,952 ~ 1 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,Bapatla
72,NUTHAKKI RAMA RAO,PRAP,0,Post Graduate,61,"Rs 3,28,25,159 ~ 3 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,Bapatla
73,KOMATIREDDY RAJ GOPAL REDDY   Winner ,INC,0,Graduate,41,"Rs 19,47,63,618 ~ 19 Crore+","Rs 60,57,899 ~ 60 Lacs+",1,ANDHRA PRADESH,Bhongir
74,Chintha Samba Murthy,BJP,0,Graduate,50,"Rs 1,65,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Bhongir
75,Gandam Chandramouli,PRAP,0,Post Graduate,49,"Rs 27,00,000 ~ 27 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Bhongir
76,Mamidigalla John Babu,IND,0,Not Given,40,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Bhongir
77,Medi Narsimha,IND,0,10th Pass,31,"Rs 3,60,000 ~ 3 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Bhongir
78,Nomula Narsimhaiah,CPM, 3 ,Post Graduate,53,"Rs 1,02,47,088 ~ 1 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,Bhongir
79,Palla Prabhakar Reddy,PPOI,0,Graduate,65,"Rs 66,00,000 ~ 66 Lacs+","Rs 50,000 ~ 50 Thou+",0,ANDHRA PRADESH,Bhongir
80,Peruku Anjaiah,IND,0,12th Pass,46,"Rs 5,70,000 ~ 5 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Bhongir
81,Poosa Bala Kishan,IND,0,12th Pass,35,"Rs 42,000 ~ 42 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Bhongir
82,Racha Subhadra Reddy,LSP,0,Graduate,59,"Rs 29,50,000 ~ 29 Lacs+","Rs 1,50,000 ~ 1 Lacs+",0,ANDHRA PRADESH,Bhongir
83,Rupani Ramesh Vaddera,IND,0,12th Pass,31,"Rs 1,60,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Bhongir
84,Sangu Mallayya,IND,0,Not Given,66,"Rs 50,000 ~ 50 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Bhongir
85,Siddhartha Pooley,BSP,0,Post Graduate,39,"Rs 1,10,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Bhongir
86,Sirupangi Ramulu,IND, 1 ,5th Pass,55,"Rs 15,05,000 ~ 15 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Bhongir
87,Sudini Jaipal Reddy   Winner ,INC,0,Post Graduate,67,"Rs 5,61,50,333 ~ 5 Crore+","Rs 20,42,919 ~ 20 Lacs+",1,ANDHRA PRADESH,Chevella
88,A.P.Jithender Reddy,TDP, 1 ,Graduate,54,"Rs 26,76,68,583 ~ 26 Crore+","Rs 36,21,000 ~ 36 Lacs+",0,ANDHRA PRADESH,Chevella
89,Baddam Bal Reddy,BJP, 1 ,12th Pass,64,"Rs 63,43,740 ~ 63 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Chevella
90,C. Srinivasa Rao,BSP,0,Post Graduate,39,"Rs 10,05,000 ~ 10 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Chevella
91,Dasari Sarala Devi,MCPI(S), 1 ,Not Given,39,"Rs 5,30,000 ~ 5 Lacs+","Rs 15,000 ~ 15 Thou+",0,ANDHRA PRADESH,Chevella
92,Dr. Raghuveera Reddy,LSP,0,Graduate Professional,42,"Rs 81,50,000 ~ 81 Lacs+","Rs 7,00,000 ~ 7 Lacs+",0,ANDHRA PRADESH,Chevella
93,Eedagi Laxminarayana,IND,0,10th Pass,27,"Rs 50,000 ~ 50 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Chevella
94,G.Mallesham Goud,IND,0,Graduate,32,"Rs 4,00,000 ~ 4 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Chevella
95,Kasani Gyaneshwar,MANP,0,8th Pass,54,"Rs 45,51,21,661 ~ 45 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,Chevella
96,Kummari Giri,PPOI,0,Not Given,28,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Chevella
97,Rameshwaram Jangaiah,IND,0,Not Given,52,"Rs 1,30,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Chevella
98,S. Malla Reddy,IND,0,5th Pass,43,"Rs 28,23,736 ~ 28 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Chevella
99,Sama Srinivasulu,GRIP,0,10th Pass,34,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Chevella
100,Sayamollu Narsimulu,IND,0,10th Pass,30,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Chevella
101,Venkatram Nayak,IND,0,Graduate,34,"Rs 12,83,750 ~ 12 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Chevella
102,NARAMALLI SIVAPRASAD   Winner ,TDP,0,Graduate Professional,57,"Rs 60,11,000 ~ 60 Lacs+",Rs 0 ~ ,1,ANDHRA PRADESH,Chittoor
103,A. AMARNADH,RKSP,0,Not Given,37,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Chittoor
104,B.SIVAKUMAR,BJP,0,10th Pass,40,"Rs 15,49,643 ~ 15 Lacs+","Rs 60,000 ~ 60 Thou+",0,ANDHRA PRADESH,Chittoor
105,G. VENKATACHALAM,LSP,0,Post Graduate,29,"Rs 2,50,000 ~ 2 Lacs+","Rs 1,15,000 ~ 1 Lacs+",0,ANDHRA PRADESH,Chittoor
106,JAYARAM DUGGANI,BSP,0,12th Pass,60,"Rs 3,15,000 ~ 3 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Chittoor
107,TALARI MANOHAR,PRAP,0,Post Graduate,54,"Rs 49,43,512 ~ 49 Lacs+","Rs 26,13,277 ~ 26 Lacs+",0,ANDHRA PRADESH,Chittoor
108,THIPPESWAMY M,INC, 1 ,Graduate Professional,55,"Rs 40,14,000 ~ 40 Lacs+","Rs 5,00,000 ~ 5 Lacs+",0,ANDHRA PRADESH,Chittoor
109,KAVURI SAMBASIVA RAO   Winner ,INC,0,Graduate Professional,66,"Rs 12,60,50,111 ~ 12 Crore+","Rs 9,45,674 ~ 9 Lacs+",1,ANDHRA PRADESH,Eluru
110,DODDA KAMESWARA RAO,IND,0,10th Pass,54,"Rs 20,10,000 ~ 20 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Eluru
111,DOWLURI GOVARDHAN,IND, 1 ,5th Pass,32,"Rs 33,227 ~ 33 Thou+","Rs 15,000 ~ 15 Thou+",0,ANDHRA PRADESH,Eluru
112,KASI NAIDU KAMMILI,IND,0,10th Pass,39,"Rs 60,000 ~ 60 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Eluru
113,KOLUSU PEDA REDDAIAH YADAV,PRAP,0,Graduate Professional,67,"Rs 7,93,64,590 ~ 7 Crore+","Rs 1,90,000 ~ 1 Lacs+",0,ANDHRA PRADESH,Eluru
114,MAGANTI VENKATESWARA RAO(BABU),TDP,0,12th Pass,49,"Rs 6,42,98,108 ~ 6 Crore+","Rs 12,53,750 ~ 12 Lacs+",0,ANDHRA PRADESH,Eluru
115,PILLELLI SUNIL,BSP,0,Not Given,35,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Eluru
116,SAVANAPUDI NAGARAJU,MCPI(S),0,Not Given,48,Rs 600 ~ 6 Hund+,Rs 0 ~ ,0,ANDHRA PRADESH,Eluru
117,SIRIKI SRINIVAS,RDMP,0,Post Graduate,32,"Rs 5,000 ~ 5 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Eluru
118,TANUKU SEKHAR,IND,0,8th Pass,45,"Rs 70,600 ~ 70 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Eluru
119,Y.V.S.V. PRASADA RAO (YERNENI PRASADA RAO),PPOI,0,Graduate,61,"Rs 43,15,000 ~ 43 Lacs+","Rs 3,73,750 ~ 3 Lacs+",0,ANDHRA PRADESH,Eluru
120,SAMBASIVA RAO RAYAPATI   Winner ,INC, 3 ,Graduate,65,"Rs 14,71,43,582 ~ 14 Crore+","Rs 4,52,04,329 ~ 4 Crore+",1,ANDHRA PRADESH,Guntur
121,AMANULLA KHAN,LSP,0,Literate,37,"Rs 90,000 ~ 90 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Guntur
122,KOMMANABOINA LAKSHMAIAH,RDHP,0,Not Given,39,"Rs 2,22,400 ~ 2 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Guntur
123,MALLELA BABU RAO,BSP,0,Post Graduate,61,"Rs 1,58,80,237 ~ 1 Crore+","Rs 31,33,480 ~ 31 Lacs+",0,ANDHRA PRADESH,Guntur
124,SRINIVASA RAO THOTAKURA,Ajeya Bharat Party,0,Graduate Professional,34,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Guntur
125,THOTA CHANDRA SEKHAR,PRAP,0,Doctorate,47,"Rs 3,91,50,000 ~ 3 Crore+","Rs 15,00,000 ~ 15 Lacs+",0,ANDHRA PRADESH,Guntur
126,VELAGAPUDI LAKSHMANA RAO,PPOI,0,10th Pass,59,"Rs 1,77,92,174 ~ 1 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,Guntur
127,YADLAPATI SWARUPARANI,BJP,0,Graduate,51,"Rs 6,90,21,000 ~ 6 Crore+","Rs 14,50,000 ~ 14 Lacs+",0,ANDHRA PRADESH,Guntur
128,YARRAKULA TULASI RAM YADAV,SP,0,Not Given,30,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Guntur
129,KRISTAPPA NIMMALA   Winner ,TDP,0,Graduate,52,"Rs 1,59,17,465 ~ 1 Crore+","Rs 12,16,390 ~ 12 Lacs+",1,ANDHRA PRADESH,Hindupur
130,B. NAGABHUSHANA RAO,IND,0,Graduate,76,"Rs 45,47,188 ~ 45 Lacs+","Rs 3,35,000 ~ 3 Lacs+",0,ANDHRA PRADESH,Hindupur
131,K. JAKEER,IND,0,8th Pass,40,"Rs 80,000 ~ 80 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Hindupur
132,KADAPALA SREEKANTHA REDDY,PRAP,0,Post Graduate,56,"Rs 6,60,73,943 ~ 6 Crore+","Rs 14,84,577 ~ 14 Lacs+",0,ANDHRA PRADESH,Hindupur
133,M SREERAMULU,BSP,0,Post Graduate,30,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Hindupur
134,Naresh Kumar,BJP,0,10th Pass,45,"Rs 6,96,65,000 ~ 6 Crore+","Rs 36,00,000 ~ 36 Lacs+",0,ANDHRA PRADESH,Hindupur
135,NIRANJAN BABU. K,LSP,0,Graduate Professional,30,"Rs 20,000 ~ 20 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Hindupur
136,P KHASIM KHAN,INC,0,Graduate,53,"Rs 51,90,960 ~ 51 Lacs+","Rs 24,32,826 ~ 24 Lacs+",0,ANDHRA PRADESH,Hindupur
137,P. PRASAD,IND,0,Graduate Professional,32,"Rs 2,80,000 ~ 2 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Hindupur
138,S. MUSKIN VALI,PPOI,0,Not Given,26,"Rs 50,000 ~ 50 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Hindupur
139,Asaduddin Owaisi   Winner ,AIMIM, 4 ,Graduate Professional,41,"Rs 93,02,233 ~ 93 Lacs+",Rs 0 ~ ,1,ANDHRA PRADESH,Hyderabad
140,A. Fatima,PRAP,0,Graduate Professional,41,"Rs 37,000 ~ 37 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
141,Altaf Ahmed Khan,IND,0,10th Pass,43,"Rs 2,40,000 ~ 2 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
142,B.Ravi Yadav,IND,0,Graduate,33,"Rs 16,90,187 ~ 16 Lacs+","Rs 6,20,000 ~ 6 Lacs+",0,ANDHRA PRADESH,Hyderabad
143,D.Sadanand,IND,0,8th Pass,45,"Rs 4,71,500 ~ 4 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
144,D.Surender,TNPP,0,8th Pass,36,"Rs 10,55,000 ~ 10 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
145,M.A.Basith,IND,0,10th Pass,55,"Rs 3,00,000 ~ 3 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
146,M.A.Quddus Ghori,IND, 1 ,Not Given,43,"Rs 30,000 ~ 30 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
147,M.A.Sattar,IND, 2 ,10th Pass,29,"Rs 35,000 ~ 35 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
148,Ma Habeeb,IND,0,10th Pass,33,"Rs 10,000 ~ 10 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
149,Md.Osman,IND,0,Illiterate,45,"Rs 25,000 ~ 25 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
150,Moullim Mohsin Bin Hussain Al Kasary,IND,0,Graduate,33,"Rs 1,36,30,000 ~ 1 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
151,N.L.Srinivas,IND,0,12th Pass,31,"Rs 1,97,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
152,P. Laxman Rao Goud,INC,0,12th Pass,55,"Rs 1,85,30,669 ~ 1 Crore+","Rs 20,00,000 ~ 20 Lacs+",0,ANDHRA PRADESH,Hyderabad
153,P.Venkateswara Rao,PPOI,0,Post Graduate,58,"Rs 19,78,000 ~ 19 Lacs+","Rs 6,00,000 ~ 6 Lacs+",0,ANDHRA PRADESH,Hyderabad
154,S. Gopal Singh,Akhil Bharatiya Jan Sangh, 1 ,5th Pass,34,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
155,Samy Mohammed,BSP,0,Post Graduate,29,"Rs 3,06,000 ~ 3 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
156,Sardar Singh,IND,0,8th Pass,62,"Rs 7,31,000 ~ 7 Lacs+","Rs 1,68,000 ~ 1 Lacs+",0,ANDHRA PRADESH,Hyderabad
157,Satish Agarwal,BJP,0,Graduate,38,"Rs 1,06,95,500 ~ 1 Crore+","Rs 49,21,846 ~ 49 Lacs+",0,ANDHRA PRADESH,Hyderabad
158,Syed Abdul Gaffer,IND,0,8th Pass,51,"Rs 20,000 ~ 20 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
159,Taher Kamal Khundmiri,JD(S),0,Not Given,52,"Rs 10,000 ~ 10 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
160,Zahid Ali Khan,IND,0,10th Pass,26,"Rs 65,000 ~ 65 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Hyderabad
161,ZAHID ALI KHAN,TDP, 7 ,Graduate,66,"Rs 9,61,94,429 ~ 9 Crore+","Rs 11,44,670 ~ 11 Lacs+",0,ANDHRA PRADESH,Hyderabad
